# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.292481989093424488e+00 8.988473104310242823e-01 1.097078669643565887e-03
-7.292178372846628065e+00 8.977436604913909823e-01 1.289768545034527874e-03
-7.291779434306231877e+00 1.012967206929893393e+00 1.053209923730891303e-03
-7.291779388988422816e+00 1.023965385140188866e+00 1.053283345683938632e-03
-7.291779340187588332e+00 1.025678895569948290e+00 1.053433935185898443e-03
-7.291779292224488174e+00 1.023742754198172733e+00 1.053310448441840529e-03
-7.291759283911776635e+00 9.988155573066992421e-01 1.053021692113508554e-03
-7.291759234554231028e+00 1.002349617876863164e+00 1.052998810983625175e-03
-7.291759186429231043e+00 1.000360860301407140e+00 1.052992708637553575e-03
-7.291759139330700634e+00 1.008558800516883514e+00 1.053084367773036989e-03
-7.291301644905275658e+00 9.685869795499746360e-01 1.299643225432556152e-03
-7.291301644021940476e+00 9.659512081642380732e-01 1.299677594025497145e-03
-7.291007500328950286e+00 9.034465716039961070e-01 1.289747375096339781e-03
-7.290972911499538078e+00 8.999291299562466317e-01 1.289797826144673150e-03
-7.290234826866869078e+00 9.855459018319606690e-01 1.013071345054480802e-03
-7.290234826434704551e+00 9.713060822125965110e-01 1.012990776742247415e-03
-7.290234792036983436e+00 9.471294979989570706e-01 1.012785442780357722e-03
-7.290234791626583721e+00 9.266059342721869596e-01 1.012642734386276630e-03
-7.288605885023309305e+00 9.717921267278053499e-01 1.299797627489574078e-03
-7.288556032114787975e+00 1.009872043545599007e+00 1.088562012083309780e-03
-7.288556030709493427e+00 9.911674499263306570e-01 1.088391071238734931e-03
-7.288556029131671110e+00 1.013732111328000896e+00 1.088515819143575638e-03
-7.288555946938902963e+00 9.911435133666405273e-01 1.088382492691659107e-03
-7.287678339843994380e+00 9.951611301192756498e-01 1.053217776606398285e-03
-7.287678274308739823e+00 1.004450086142217202e+00 1.053281622449421745e-03
-7.287678271899361349e+00 9.917538581075918680e-01 1.053170609618964658e-03
-7.287119800092948019e+00 9.907694033943497125e-01 7.119953374846291205e-02
-7.287043423939297604e+00 9.733542061993514238e-01 1.299934943667284491e-03
-7.287032877920729845e+00 9.750164825201114160e-01 7.089554445235542179e-02
-7.287028222566566349e+00 9.857077921947189347e-01 7.184348976002911946e-02
-7.286573016190352803e+00 9.999584579921487748e-01 7.230068577013197550e-02
-7.286390992871994321e+00 9.653698869737775690e-01 6.991466046215105701e-02
-7.286072175762265957e+00 9.977324685136191862e-01 7.143037668198906620e-02
-7.285792948825204007e+00 1.671059905957747319e-03 1.227290827746338507e-03
-7.285338086457517903e+00 9.744879380143443015e-01 1.300655730493662258e-03
-7.285338085221055415e+00 9.798341090491617944e-01 1.299928542818555187e-03
-7.285208383658931197e+00 9.699720772526028156e-01 7.081811777936117269e-02
-7.285197915397109369e+00 9.815504713984376517e-01 6.433382898877168521e-02
-7.285139236331630741e+00 1.025116889223289363e+00 1.013266049835361612e-03
-7.285139235151469883e+00 9.874925386327301213e-01 1.012939024214279914e-03
-7.285139173527817036e+00 1.034912421309399422e+00 1.013320811724869241e-03
-7.285139172939032903e+00 9.998632578092379042e-01 1.013087034572651788e-03
-7.285021126096959954e+00 8.931486850181578063e-01 1.095651311689563919e-03
-7.285021124143606031e+00 8.759041604438011497e-01 1.095489415540488575e-03
-7.285021016815925066e+00 8.735002118732374532e-01 1.095438281409375197e-03
-7.285020961656456073e+00 9.142322946699732444e-01 1.095822184799751442e-03
-7.284867646482177328e+00 9.998625209150682203e-01 7.171688628757338924e-02
-7.284822699179501093e+00 1.000041542007851225e+00 7.148538889054784073e-02
-7.284572078592557176e+00 9.027030195010268265e-01 1.289715926381344987e-03
-7.284565877098205355e+00 9.711353660327288750e-01 7.102448754476199666e-02
-7.284518158463678006e+00 9.689927919123941802e-01 7.118918000806566393e-02
-7.284233282927011111e+00 9.113448394872851743e-01 5.986669590092694865e-02
-7.283937963311880814e+00 1.003573658217959963e+00 7.160644323830418767e-02
-7.283897019972615183e+00 9.890469975592736107e-01 6.467987503434598218e-02
-7.283414602507805036e+00 9.697030643703600239e-01 7.109207549523810510e-02
-7.282873007037165891e+00 9.340275815132376147e-01 6.142485203666511046e-02
-7.282786572766050348e+00 1.004723608418203629e+00 7.153722711280900703e-02
-7.282785088022603937e+00 1.019739329394249161e+00 8.380814035054367063e-04
-7.282785022735517089e+00 1.050022545056542578e+00 8.382963288372883301e-04
-7.282785020967332379e+00 1.023434362309831203e+00 8.380831433538649036e-04
-7.282784989802999931e+00 1.010975615321540122e+00 8.380074261971788823e-04
-7.282755516155497766e+00 9.953530571943798311e-01 7.076487130244540902e-02
-7.282724349440962364e+00 9.840299638487666201e-01 6.969483506752605084e-02
-7.282460035917903696e+00 9.994721390039031927e-01 8.377831264551371991e-04
-7.282460023548436467e+00 1.013625305729185078e+00 8.378768511986058347e-04
-7.282459998704349680e+00 1.017197574672721538e+00 8.379257268847647251e-04
-7.282459998240821797e+00 1.005637561378958100e+00 8.377721985662542337e-04
-7.282339791614218072e+00 9.637208180562600868e-01 6.295354121392608693e-02
-7.281499233085810374e+00 9.760630008411966818e-01 1.299893606628985425e-03
-7.281303958458869907e+00 9.949717097805536037e-01 1.053360626631021308e-03
-7.281303956991372672e+00 9.940061749295597826e-01 1.053471627234106719e-03
-7.281108820510038271e+00 9.838016634709405572e-01 7.242969791684278347e-02
-7.281072396464788099e+00 9.811342857127302031e-01 7.254311116316006225e-02
-7.281003083912135132e+00 8.988729419991293712e-01 1.289626938286133132e-03
-7.280831737164544570e+00 1.176271617504505151e+00 9.188597997757699766e-04
-7.280831735301600105e+00 1.121848737191266432e+00 9.183367272095195556e-04
-7.280831685111654572e+00 1.119018800674101977e+00 9.183069416335683461e-04
-7.280831632919714913e+00 1.146191561005372339e+00 9.186440904921595917e-04
-7.280245896164866615e+00 9.895336187987020526e-01 6.456675669294395514e-02
-7.279853050533188430e+00 1.026523578108528234e+00 8.382677953514247647e-04
-7.279853043513027977e+00 1.012447234453311973e+00 8.380766043325408145e-04
-7.279853043378239796e+00 1.020424265412217313e+00 8.382798404495114602e-04
-7.279853035983739673e+00 1.019883429192533608e+00 8.381210247519703784e-04
-7.279810283221619827e+00 1.009642384443713681e+00 1.091940924706019016e-03
-7.279810075857873208e+00 1.030060901458085931e+00 1.092215385512594833e-03
-7.279810074116109142e+00 9.893390234806087591e-01 1.091811314021977949e-03
-7.279728562093167987e+00 9.798411380202075582e-01 7.260447290738840376e-02
-7.279365970873337588e+00 9.755037285542552672e-01 1.300007387340893460e-03
-7.279365969366482503e+00 9.695043304054647981e-01 1.299753769483991345e-03
-7.278823284594944987e+00 8.931524569606306141e-01 1.291384725562416810e-03
-7.278760670247060638e+00 9.256592321158266801e-01 1.291618052236186533e-03
-7.278748996382524261e+00 9.899446792286298313e-01 7.023557937721429389e-02
-7.278510819491677886e+00 9.628833073533216158e-01 6.346344348330826279e-02
-7.277754329572115211e+00 1.044621824951265099e+00 1.013186347795991997e-03
-7.277754278377900121e+00 1.043297964665409472e+00 1.013220342288173939e-03
-7.277622141736864059e+00 9.923549674746310334e-01 6.467822150041871443e-02
-7.277090336635899881e+00 9.657051871321019609e-01 1.299596885901351277e-03
-7.276601189609104736e+00 1.100590053316479411e+00 9.183349238400404175e-04
-7.276601116256105506e+00 1.117851291637468547e+00 9.184065783250526440e-04
-7.276601047010191614e+00 1.103169910901057538e+00 9.183479774759095889e-04
-7.276601044295098575e+00 1.112314589842760659e+00 9.184944436333656714e-04
-7.275510654054809123e+00 9.699046609850153766e-01 6.399749610499734509e-02
-7.275243326940022293e+00 8.657298058345371805e-01 1.094204145860041590e-03
-7.275243251911398090e+00 8.559254921827735840e-01 1.094143035054953843e-03
-7.275243175585632827e+00 8.470041769743452686e-01 1.094029640023464617e-03
-7.275243102074932189e+00 8.553822351890161269e-01 1.094122635722930567e-03
-7.274994132697056415e+00 1.056640787559780525e+00 8.113927332525820713e-02
-7.274985859537642874e+00 1.071798370698030745e+00 8.265968879476562337e-02
-7.274963264542638086e+00 9.890167687397822815e-01 7.579444814508431993e-02
-7.274961912948687548e+00 9.872329154541379381e-01 7.508062362868081485e-02
-7.274961691857845025e+00 1.036205371418524868e+00 8.382155356012304780e-04
-7.274961636956787991e+00 1.034175961280852318e+00 8.381780992802417667e-04
-7.274816819931591461e+00 1.098429524214694419e+00 8.421037355904313626e-02
-7.274788925863475697e+00 9.799816889116794716e-01 7.290601062770017682e-02
-7.274736852844254642e+00 9.831717343690569155e-01 7.300958399114469699e-02
-7.274717317313682763e+00 1.006679171349937230e+00 7.673626691705891234e-02
-7.274603251205851606e+00 1.009933597463165356e+00 1.300140555198786661e-03
-7.274345858626021233e+00 9.836496787767444738e-01 6.403881326153791631e-02
-7.274305240616600443e+00 9.968956771046926235e-01 7.564098310716096951e-02
-7.274075398091334854e+00 1.072092293390978668e+00 8.250561492311925260e-02
-7.273802489415263750e+00 9.988560279099302219e-01 7.510137368786230783e-02
-7.273755248118502159e+00 1.081938989077120938e+00 6.495951251694298545e-02
-7.273522436106978795e+00 1.064563483950499378e+00 6.384081160351773310e-02
-7.273474924557072008e+00 1.089961256205357998e+00 8.445708007267133111e-02
-7.273456229029083175e+00 1.069803474703542978e+00 8.328979140980982687e-02
-7.273448454230797111e+00 9.891253597606327608e-01 6.958413992619984223e-02
-7.273429203921465636e+00 1.067201596266899699e+00 6.422610786755821033e-02
-7.273111444275091486e+00 1.009344900748276874e+00 7.640997359045421933e-02
