# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.300952523070507461e+00 9.338950591452843675e-01 2.829845792936678660e-03 2.453436554876999930e+06
-7.300952497358709437e+00 9.388020066875285563e-01 2.829948448047184522e-03 2.453436804895000067e+06
-7.300448119415921866e+00 9.244405141948076610e-01 2.829198575081068919e-03 2.453436304831999820e+06
-7.300448114911540998e+00 9.149596863863234120e-01 2.829124796295665392e-03 2.453436054882000200e+06
-7.300448114826290968e+00 9.051529361637832283e-01 2.829153031356847724e-03 2.453435554899000097e+06
-7.299139102723343875e+00 9.504161858802506746e-01 2.808420984458184951e-03 2.453438054802999832e+06
-7.299139101981459099e+00 9.360260145472497628e-01 2.808347401315120125e-03 2.453437554837000091e+06
-7.299139057747853876e+00 9.544353098057117846e-01 2.808446236584444342e-03 2.453438304812999908e+06
-7.299139056079609666e+00 9.407744998008844561e-01 2.808411844770386696e-03 2.453437804887999780e+06
-7.297624625296908363e+00 8.949984722799944059e-01 2.826795187610047725e-03 2.453435305137000047e+06
-7.297624610457308592e+00 8.964776430282315189e-01 2.826826770594579197e-03 2.453434555124999955e+06
-7.297624609912237936e+00 8.947320152252200565e-01 2.826782741667244886e-03 2.453435055168000050e+06
-7.297624579977592063e+00 8.958315626390747077e-01 2.826780620413904370e-03 2.453434805112000089e+06
-7.296347270789316219e+00 9.671343222831388919e-01 3.592108436590763648e-03 2.454531054283999838e+06
-7.296345672090676082e+00 9.819209576369041237e-01 3.632409975087113121e-03 2.454531303613999858e+06
-7.296219627174727940e+00 9.939343440662031792e-01 3.628920011246752550e-03 2.454532053536999971e+06
-7.295957560950874665e+00 9.960836192883195661e-01 3.629107711164481810e-03 2.454532303129000124e+06
-7.295938478738595023e+00 9.921221152079380268e-01 3.628856954620746783e-03 2.454531803559000138e+06
-7.295865923485292726e+00 9.701282255054004544e-01 3.592069123147682407e-03 2.454530804264000151e+06
-7.295532693297448468e+00 1.001085510943116486e+00 3.628817588583532500e-03 2.454531553594000172e+06
-7.294997111343133334e+00 9.959137923059289133e-01 2.809398322927953318e-03 2.453439304374999832e+06
-7.294996985702588255e+00 9.607033945256677754e-01 2.809121103671934679e-03 2.453438554756999947e+06
-7.294842454601937476e+00 9.614915039955049814e-01 3.593383685602189077e-03 2.454530304243000224e+06
-7.294824028451157183e+00 9.635774600902754505e-01 3.593231428286334031e-03 2.454529804299999960e+06
-7.294805494479361663e+00 9.629634847048658131e-01 3.593335389111818306e-03 2.454530054264000151e+06
-7.294086580426847100e+00 9.539455740249322968e-01 3.593101084898189194e-03 2.454529554308999795e+06
-7.293553458635008369e+00 9.576375859228701826e-01 2.585486201973342685e-03 2.453071304351000115e+06
-7.293553458106397436e+00 9.338632973887924793e-01 2.540256486514432324e-03 2.453070554702000227e+06
-7.293553429439748825e+00 9.651112369369337918e-01 2.585562393876983129e-03 2.453071054827000014e+06
-7.293424502779059182e+00 9.973592057086532181e-01 3.627220955382036080e-03 2.454532553299000021e+06
-7.293398937058599429e+00 9.874416339881627591e-01 3.627499650723588903e-03 2.454533304721000139e+06
-7.293040245138595168e+00 9.284095957251882192e-01 2.540071119667378519e-03 2.453070304378000088e+06
-7.293040228971627847e+00 9.215703330800854021e-01 2.540074005392057698e-03 2.453070054475000128e+06
-7.293040228676385794e+00 9.224362698482792000e-01 2.540078017974360149e-03 2.453069804469000082e+06
-7.293040228520542456e+00 9.239570960916499986e-01 2.540109376360492714e-03 2.453069554326999933e+06
-7.292481989760704941e+00 8.938745752714120085e-01 2.826174049469839990e-03 2.453433802178000100e+06
-7.292481955286842954e+00 8.929814540434755088e-01 2.826190921080384832e-03 2.453434305128999986e+06
-7.292481954036555969e+00 9.001861194741751504e-01 2.826222990025188328e-03 2.453433552614999935e+06
-7.292434739468955485e+00 1.000629153792860659e+00 3.627427108355066147e-03 2.454533053259000182e+06
-7.292147800068299546e+00 9.514164516665100102e-01 3.596804078256314510e-03 2.454529304694999941e+06
-7.291779436918896629e+00 9.587669464054777713e-01 2.586036663253089927e-03 2.453071554483000189e+06
-7.291779338386634279e+00 9.798727178927486570e-01 2.586147832452915206e-03 2.453072304109000135e+06
-7.291779291319192779e+00 9.616504720109141369e-01 2.586044868646744828e-03 2.453072054401000030e+06
-7.291779290416193327e+00 9.646119933568885196e-01 2.586046281543903907e-03 2.453071804343999829e+06
-7.291759284814079756e+00 9.742467539631881612e-01 2.586075061209163351e-03 2.453073053365999833e+06
-7.291759283006815195e+00 9.712150126571198472e-01 2.586075285994787493e-03 2.453072553975000046e+06
-7.291759236359114382e+00 9.672911931042920131e-01 2.586045364690233231e-03 2.453072803367999848e+06
-7.291335055068223880e+00 9.982728376797411762e-01 3.627304460362741449e-03 2.454532803282999899e+06
-7.291041975904584582e+00 9.587751509911708325e-01 3.596836650698714919e-03 2.454529053948999848e+06
-7.290234826650565658e+00 9.142721175650219134e-01 2.539629782455296147e-03 2.453069304347000085e+06
