# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.288556030709493427e+00 1.033498248252108676e+00 1.405040687817863676e-01
-7.288556029131671110e+00 1.056954033624824651e+00 1.440538319070533702e-01
-7.288555946938902963e+00 1.033544143424874440e+00 1.401579672002826182e-01
-7.287678339843994380e+00 1.013074561236351423e+00 1.308418768413255051e-01
-7.287678274308739823e+00 1.022363937121938848e+00 1.316536384173035701e-01
-7.287678271899361349e+00 1.009276782345559509e+00 1.295863921627763427e-01
-7.287119800092948019e+00 9.907694033943497125e-01 7.119953374846291205e-02
-7.287043423939297604e+00 9.781828491444349849e-01 6.592084816576118667e-02
-7.287032877920729845e+00 9.750164825201114160e-01 7.089554445235542179e-02
-7.287028222566566349e+00 9.857077921947189347e-01 7.184348976002911946e-02
-7.286573016190352803e+00 9.999584579921487748e-01 7.230068577013197550e-02
-7.286390992871994321e+00 9.653698869737775690e-01 6.991466046215105701e-02
-7.286072175762265957e+00 9.977324685136191862e-01 7.143037668198906620e-02
-7.285792948825204007e+00 1.671059905957747319e-03 1.227290827746338507e-03
-7.285338086457517903e+00 9.792386768686345278e-01 6.605407064370125148e-02
-7.285338085221055415e+00 9.848629111554378923e-01 6.625185425870233624e-02
-7.285208383658931197e+00 9.699720772526028156e-01 7.081811777936117269e-02
-7.285197915397109369e+00 9.815504713984376517e-01 6.433382898877168521e-02
-7.285139236331630741e+00 1.043099151621512899e+00 1.246321553239116281e-01
-7.285139235151469883e+00 1.005304860700887648e+00 1.212171824314398350e-01
-7.285139173527817036e+00 1.053237574761818340e+00 1.262268835309745818e-01
-7.285139172939032903e+00 1.017733152311983913e+00 1.223433539967447442e-01
-7.285021126096959954e+00 8.995640454651810947e-01 1.137974188108708956e-01
-7.285021124143606031e+00 8.823170574079495232e-01 1.110291780112765414e-01
-7.285021016815925066e+00 8.798349716823559152e-01 1.110092027889996585e-01
-7.285020961656456073e+00 9.207357550277783798e-01 1.167820314338924165e-01
-7.284867646482177328e+00 9.998625209150682203e-01 7.171688628757338924e-02
-7.284822699179501093e+00 1.000041542007851225e+00 7.148538889054784073e-02
-7.284572078592557176e+00 8.992271562274385399e-01 5.977952262601195915e-02
-7.284565877098205355e+00 9.711353660327288750e-01 7.102448754476199666e-02
-7.284518158463678006e+00 9.689927919123941802e-01 7.118918000806566393e-02
-7.284233282927011111e+00 9.113448394872851743e-01 5.986669590092694865e-02
-7.283937963311880814e+00 1.003573658217959963e+00 7.160644323830418767e-02
-7.283897019972615183e+00 9.890469975592736107e-01 6.467987503434598218e-02
-7.283414602507805036e+00 9.697030643703600239e-01 7.109207549523810510e-02
-7.282873007037165891e+00 9.340275815132376147e-01 6.142485203666511046e-02
-7.282786572766050348e+00 1.004723608418203629e+00 7.153722711280900703e-02
-7.282785088022603937e+00 1.020436325190118287e+00 8.444921495287609214e-02
-7.282785022735517089e+00 1.050787775407598268e+00 8.744955487541686279e-02
-7.282785020967332379e+00 1.024156908463076165e+00 8.499320941997348666e-02
-7.282784989802999931e+00 1.011643918457517888e+00 8.349005000960170453e-02
-7.282755516155497766e+00 9.953530571943798311e-01 7.076487130244540902e-02
-7.282724349440962364e+00 9.840299638487666201e-01 6.969483506752605084e-02
-7.282460035917903696e+00 1.000042999794144016e+00 8.162849937537093592e-02
-7.282460023548436467e+00 1.014227050356943272e+00 8.301377446716264041e-02
-7.282459998704349680e+00 1.017824332720764557e+00 8.353799257652984311e-02
-7.282459998240821797e+00 1.006279745649579560e+00 8.281816082515661148e-02
-7.282339791614218072e+00 9.637208180562600868e-01 6.295354121392608693e-02
-7.281499233085810374e+00 9.805705707360936607e-01 6.634195202566485483e-02
-7.281303958458869907e+00 1.013707998959777257e+00 1.328539068362754594e-01
-7.281303956991372672e+00 1.012559059819866825e+00 1.323165639845859387e-01
-7.281108820510038271e+00 9.838016634709405572e-01 7.242969791684278347e-02
-7.281072396464788099e+00 9.811342857127302031e-01 7.254311116316006225e-02
-7.281003083912135132e+00 8.955522904720508715e-01 5.951744608980156365e-02
-7.280831737164544570e+00 1.191429189149495915e+00 9.971004746175511635e-02
-7.280831735301600105e+00 1.136356014035184048e+00 9.563648504022265184e-02
-7.280831685111654572e+00 1.133464005808643593e+00 9.512520945185444499e-02
-7.280831632919714913e+00 1.160935453946259299e+00 9.688686351598578550e-02
-7.280245896164866615e+00 9.895336187987020526e-01 6.456675669294395514e-02
-7.279853050533188430e+00 1.027040705501345963e+00 8.314904138341717987e-02
-7.279853043513027977e+00 1.012980030161446443e+00 8.223419320630713514e-02
-7.279853043378239796e+00 1.020915409473078572e+00 8.242962883212275049e-02
-7.279853035983739673e+00 1.020443019333538093e+00 8.306585467358983121e-02
-7.279810283221619827e+00 1.052617664546135590e+00 1.438228726563726967e-01
-7.279810075857873208e+00 1.073757842993308120e+00 1.474465267830389892e-01
-7.279810074116109142e+00 1.031379295855265221e+00 1.412741337145113629e-01
-7.279728562093167987e+00 9.798411380202075582e-01 7.260447290738840376e-02
-7.279365970873337588e+00 9.799251522619399912e-01 6.636816240053033944e-02
-7.279365969366482503e+00 9.740646775911758759e-01 6.583442336770617409e-02
-7.278823284594944987e+00 8.899290103037581501e-01 5.913690652572383549e-02
-7.278760670247060638e+00 9.225551110474082828e-01 6.129371717532372532e-02
-7.278748996382524261e+00 9.899446792286298313e-01 7.023557937721429389e-02
-7.278510819491677886e+00 9.628833073533216158e-01 6.346344348330826279e-02
-7.277754329572115211e+00 1.062256276049485804e+00 1.253814417766239697e-01
-7.277754278377900121e+00 1.061082369284412463e+00 1.256265229547292028e-01
-7.277622141736864059e+00 9.923549674746310334e-01 6.467822150041871443e-02
-7.277090336635899881e+00 9.703303437043814261e-01 6.551682247543805238e-02
-7.276601189609104736e+00 1.114922705983469653e+00 9.490010578199967184e-02
-7.276601116256105506e+00 1.132357811901994804e+00 9.583956767669871146e-02
-7.276601047010191614e+00 1.117460776867114314e+00 9.431201215761421397e-02
-7.276601044295098575e+00 1.126774585749991786e+00 9.563723347380384543e-02
-7.275510654054809123e+00 9.699046609850153766e-01 6.399749610499734509e-02
-7.275243326940022293e+00 8.721280508437121437e-01 1.094584747300461069e-01
-7.275243251911398090e+00 8.624291173640903363e-01 1.073854117190750079e-01
-7.275243175585632827e+00 8.533226659495785071e-01 1.068159789988491482e-01
-7.275243102074932189e+00 8.618224233238577225e-01 1.075949385614577564e-01
-7.274994132697056415e+00 1.056640787559780525e+00 8.113927332525820713e-02
