# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.300952570957398358e+00 8.988991387716112058e-01 1.649100328203661481e-01 2.453437295402000193e+06
-7.300952546586685799e+00 8.761249554566284958e-01 1.628932189110185724e-01 2.453437045506000053e+06
-7.300952522206680229e+00 8.660928274076348243e-01 1.619294163083475346e-01 2.453436795516999904e+06
-7.300952497821044496e+00 8.509842314784532569e-01 1.605780802025264797e-01 2.453436545471999794e+06
-7.300448123917272270e+00 8.376101185983482189e-01 1.593832253859869263e-01 2.453436295450000092e+06
-7.300448119415921866e+00 8.194002631438718209e-01 1.578381678909440977e-01 2.453436045493000187e+06
-7.300448114911540998e+00 8.096654561285571150e-01 1.569590604012058022e-01 2.453435795378000010e+06
-7.300448110411097424e+00 8.107803412396220599e-01 1.569021018940919554e-01 2.453435545491000172e+06
-7.299139101152411158e+00 1.096632762536701833e+00 1.908102276546389253e-01 2.453438295415999833e+06
-7.299139056920021851e+00 1.047724585144065523e+00 1.863311504823060849e-01 2.453438045477000065e+06
-7.299139012678356409e+00 1.020722909910912746e+00 1.838285607346255013e-01 2.453437795493000187e+06
-7.299138968436462704e+00 1.007316167350229552e+00 1.825075159068088593e-01 2.453437545506999828e+06
-7.297624610457308592e+00 7.611381489287772917e-01 1.528750084084977701e-01 2.453434795737999957e+06
-7.297624595068624487e+00 7.755704537073991878e-01 1.540377319913504295e-01 2.453435045791000128e+06
-7.296347270624205628e+00 8.885263978417883290e-01 1.656688611865331784e-01 2.454531294608999975e+06
-7.296330920108491824e+00 8.606654249874111651e-01 1.650467099287234729e-01 2.454531045280000195e+06
-7.296219627174727940e+00 1.019447589790283493e+00 1.890935531683473336e-01 2.454531544579999987e+06
-7.296170493619644759e+00 8.635336458482679722e-01 1.650983817932577813e-01 2.454530795260999817e+06
-7.295948071418357550e+00 1.021414919781710839e+00 1.891524413726517750e-01 2.454531794559000060e+06
-7.295865923485292726e+00 8.608364526181772058e-01 1.650303174084335744e-01 2.454530545258999802e+06
-7.295532692864492574e+00 1.030589395082181836e+00 1.893751418155717736e-01 2.454532044530999847e+06
-7.295417119256160987e+00 8.608231689263230457e-01 1.650208195054115312e-01 2.454530295245999936e+06
-7.294997112557683572e+00 1.208862082565304696e+00 2.020107366660094661e-01 2.453439294970000163e+06
-7.294996984498342663e+00 1.164440079759657909e+00 1.973838987144428403e-01 2.453438795394000132e+06
-7.294996920403803209e+00 1.118679061284769904e+00 1.929977114136981753e-01 2.453438545357000083e+06
-7.294973570256915174e+00 1.044336091085714013e+00 1.897053329581315784e-01 2.454532294304999989e+06
-7.294824028451157183e+00 8.852475291771769728e-01 1.655447688784463522e-01 2.454530045262000058e+06
-7.294270807949936319e+00 1.043216230346687201e+00 1.896975189110722271e-01 2.454532544294999912e+06
-7.294086580796127706e+00 8.592430264698553977e-01 1.649702916736641434e-01 2.454529795287999790e+06
-7.293959133457250665e+00 1.240983899993387318e+00 3.894768531325162181e-02 2.460011045497000217e+06
-7.293827165353023112e+00 1.232194772153760720e+00 3.868937138250955893e-02 2.460011545078999829e+06
-7.293553514395597404e+00 9.993529437201733590e-01 1.698347620928185586e-01 2.453071295090999920e+06
-7.293553486275576425e+00 9.701338037405700110e-01 1.670807853895686090e-01 2.453071045398999937e+06
-7.293553458106397436e+00 9.651834274960452431e-01 1.664148038646812433e-01 2.453070795289000031e+06
-7.293553429949502842e+00 9.370654301650414020e-01 1.638307259660097270e-01 2.453070545278000180e+06
-7.293516222963145168e+00 1.265936191675043121e+00 3.971296362425341675e-02 2.460010545549000148e+06
-7.293424502779059182e+00 1.040330849624241605e+00 1.896494389945101722e-01 2.454532794276000001e+06
-7.293204716291145751e+00 8.615933846514809424e-01 1.650133202102693486e-01 2.454529545307000168e+06
-7.293120580012173448e+00 1.213553350007548381e+00 3.812164567465413378e-02 2.460012045049000066e+06
-7.293040245291355639e+00 9.222449204290544822e-01 1.623830126224685699e-01 2.453070294939999934e+06
-7.293040228676385794e+00 8.730818061144179909e-01 1.580140337862558086e-01 2.453069795065999962e+06
-7.292498238904742358e+00 1.249441740437916115e+00 3.917822565559125891e-02 2.460010045657999814e+06
-7.292482061476176725e+00 7.508438167532062169e-01 1.515345371010306808e-01 2.453433543173999991e+06
-7.292482026254105243e+00 7.415465798042339962e-01 1.510141874164412090e-01 2.453433792791000102e+06
-7.292481989093424488e+00 7.494559523636186160e-01 1.516877266372497479e-01 2.453434056158000138e+06
-7.292481955286842954e+00 7.531729797712274355e-01 1.520643293463481982e-01 2.453434295748000033e+06
-7.292434738678998052e+00 1.046427482826190802e+00 1.898088077103926852e-01 2.454533044240999967e+06
-7.292178373393505275e+00 8.435172823246116502e-01 1.646216005627692824e-01 2.454529295710000210e+06
-7.291839677880300741e+00 1.222794265567663574e+00 3.842986631110161672e-02 2.460012544983999804e+06
-7.291779435208541216e+00 1.077643755166711514e+00 1.846015919495408719e-01 2.453072294677999802e+06
-7.291779387277693480e+00 1.081998372705398559e+00 1.846984924397160333e-01 2.453072044968000147e+06
-7.291779339289040429e+00 1.092035452587089228e+00 1.852897971511885955e-01 2.453071794958000071e+06
-7.291779291319192779e+00 1.065316551704709624e+00 1.826882784553992278e-01 2.453071545045999810e+06
-7.291759283911776635e+00 1.095028356677130832e+00 1.873046329716617220e-01 2.453073295659999829e+06
-7.291759187330428382e+00 1.101806903811041405e+00 1.873202323946274173e-01 2.453072793922999874e+06
-7.291759139330700634e+00 1.085992610153901916e+00 1.856231388995056297e-01 2.453072544567999896e+06
-7.291301644021940476e+00 1.036606322974586103e+00 1.896026493425696235e-01 2.454533295684999786e+06
-7.291007500965781318e+00 8.588972678038372388e-01 1.649423284774554077e-01 2.454529044978999998e+06
-7.290905029521947078e+00 1.216642519713883264e+00 3.813322008536616792e-02 2.460009545438999776e+06
-7.290234826650565658e+00 8.430183932793804402e-01 1.546960630553654015e-01 2.453068545407999773e+06
-7.290234815120093970e+00 8.502684876241759504e-01 1.554395416095437077e-01 2.453068795096000191e+06
-7.290234803578139910e+00 8.696838962701912701e-01 1.571265981119434052e-01 2.453069045028000139e+06
-7.290234792036983436e+00 8.568379911390197057e-01 1.563413410641568413e-01 2.453069294939999934e+06
-7.290025330084098698e+00 1.049044020502595043e+00 1.899103284042571449e-01 2.454533545681000222e+06
-7.289984831585490710e+00 1.212431445536023222e+00 3.812223102696041949e-02 2.460013045111000072e+06
-7.289692048219790443e+00 8.635640745320376510e-01 1.650370020220700840e-01 2.454528795363000128e+06
-7.288736513352102264e+00 1.160830098882940975e+00 3.636840207225354449e-02 2.460009045593000017e+06
-7.288605885023309305e+00 1.035180383571835838e+00 1.896113176580657977e-01 2.454533795644000173e+06
-7.288556113021378735e+00 1.225730406284088581e+00 2.046572544755174972e-01 2.453440294335999992e+06
-7.288556029131671110e+00 1.238228253545253787e+00 2.055895978305628258e-01 2.453440044354000129e+06
-7.288555945369665778e+00 1.231173486421101471e+00 2.046477191800956108e-01 2.453439794753000140e+06
-7.288555861571476058e+00 1.222942218318280094e+00 2.036006207938889645e-01 2.453439545043999795e+06
-7.287678407806426506e+00 1.139115763320329933e+00 1.925575502055061616e-01 2.453074295411000028e+06
-7.287678339843994380e+00 1.150159449473745044e+00 1.932683887069698014e-01 2.453074045299999882e+06
-7.287678271899361349e+00 1.152985661148822949e+00 1.932122364457808938e-01 2.453073795254999772e+06
-7.287678204016052597e+00 1.121689954260113531e+00 1.900199805882911985e-01 2.453073545435999986e+06
-7.287119799984456137e+00 8.924254778023017476e-01 1.916671462559753625e-01 2.454896335618000012e+06
-7.287043422793181513e+00 1.014157634886931891e+00 1.891533677676043301e-01 2.454534045642000157e+06
-7.287028222380829590e+00 9.835583854774295753e-01 2.081943424936564258e-01 2.454896543874000199e+06
-7.286787352847562182e+00 9.644748520359022192e-01 2.077968213896703165e-01 2.454896792956000194e+06
-7.286561886126194487e+00 8.966899033396470431e-01 1.916372975884143570e-01 2.454895544367999770e+06
-7.286403688847919113e+00 9.877498319552229233e-01 2.083872781037247879e-01 2.454897043163000140e+06
-7.286087408048987690e+00 9.040772904319215320e-01 1.917664234907212606e-01 2.454895294226000085e+06
-7.285992655418648489e+00 1.195834469015816692e+00 3.744913854444042317e-02 2.460008545369000174e+06
-7.285792948825204007e+00 9.551769979059338000e-01 2.076812235007432506e-01 2.454897336689999793e+06
-7.285469601950181229e+00 9.078153318259647442e-01 1.918125201710194350e-01 2.454895044238999952e+06
-7.285338085221055415e+00 1.003226729845468457e+00 1.889286424710291956e-01 2.454534295624999795e+06
-7.285208383658931197e+00 9.624339069559956217e-01 2.078880553570173484e-01 2.454897545708000194e+06
-7.285197915397109369e+00 1.103913043568868879e+00 8.115757085565207529e-02 2.459646045313000213e+06
-7.285139235740932584e+00 8.446281342857812069e-01 1.540400328064651658e-01 2.453067545353000052e+06
-7.285139204343521691e+00 8.446842505277750712e-01 1.542373648739829572e-01 2.453067795320999809e+06
-7.285139172939032903e+00 8.326791407791317434e-01 1.535410466770041338e-01 2.453068045342999976e+06
-7.285021126096959954e+00 6.908790942646206856e-01 1.470940872656682497e-01 2.453432543211999815e+06
-7.285021070929681208e+00 7.135898851633395434e-01 1.486751309138029664e-01 2.453432793242000043e+06
-7.285021015771446784e+00 7.294858652921636377e-01 1.498441289139186838e-01 2.453433043229999952e+06
-7.285020960608536100e+00 7.512394134944324620e-01 1.514405062910956501e-01 2.453433293238999788e+06
-7.285000746020644513e+00 9.265921605240216019e-01 6.771494174644712705e-02 2.459646545772000216e+06
-7.284845229893853968e+00 9.053130394024996308e-01 1.917231108258391215e-01 2.454894836234999821e+06
-7.284824324418823771e+00 1.101987754159504895e+00 8.099994443170312197e-02 2.459645545115999877e+06
-7.284572079599697325e+00 8.401786373538904229e-01 1.645262255561416309e-01 2.454528004383999854e+06
-7.284555065465313284e+00 1.173753837745665995e+00 3.694179242659478141e-02 2.460014044660000131e+06
-7.284542069318922231e+00 9.655500910319716468e-01 2.080000625088366251e-01 2.454897753440000117e+06
-7.284233282927011111e+00 9.134631718875809714e-01 6.708882886169596771e-02 2.459647045884999912e+06
-7.283964473857706956e+00 9.003663338485979883e-01 1.915727063492203841e-01 2.454894586304999888e+06
-7.283879994911186095e+00 1.087865562844626988e+00 8.022335689824129645e-02 2.459645045167999808e+06
-7.283489977998456766e+00 9.866313335306642340e-01 1.885799622600587144e-01 2.454534545599999838e+06
-7.283443126219884434e+00 9.682513527749588844e-01 2.081196517628670917e-01 2.454898045012999792e+06
-7.282785086867765934e+00 1.009011388877332882e+00 1.190774201568868124e-01 2.452706295785999857e+06
-7.282785054023732663e+00 1.014606473574314549e+00 1.192263437552276983e-01 2.452706042721999809e+06
-7.282785021578485285e+00 1.012064472448903185e+00 1.189274933508641524e-01 2.452705792737999931e+06
-7.282755516155497766e+00 9.313733114607243291e-01 1.922381501448712227e-01 2.454894294639000203e+06
-7.282673485768281552e+00 1.182257345782421920e+00 3.700856070989662350e-02 2.460008045626999810e+06
-7.282460036155258720e+00 9.997719818021342242e-01 1.179456399272225259e-01 2.452705293525999878e+06
-7.282460023548436467e+00 1.010784364111885436e+00 1.183907110265466078e-01 2.452705044356000144e+06
-7.282460010891339763e+00 9.998868080021539040e-01 1.176489108414586898e-01 2.452704794195000082e+06
-7.282459998240821797e+00 1.053061254371008060e+00 1.203869729650804271e-01 2.452704544182000216e+06
-7.282364856190370439e+00 1.115660902156775602e+00 8.157829875109701145e-02 2.459644545398999937e+06
-7.282347044555437243e+00 9.736194633163731682e-01 2.082960437944267051e-01 2.454898294954999816e+06
-7.281772320421686651e+00 9.100735658720272570e-01 1.917172848895969395e-01 2.454894086693999823e+06
-7.281499231675171657e+00 9.809318119715974005e-01 1.884756255852592655e-01 2.454534795357999858e+06
-7.281303955340354683e+00 1.148721682876950201e+00 1.944128889401852411e-01 2.453075044652000070e+06
-7.281303867719485012e+00 1.130990057338758348e+00 1.924274406303315699e-01 2.453074794912999962e+06
-7.281303780055435659e+00 1.143940362052854542e+00 1.933240227560232005e-01 2.453074545051999856e+06
-7.281108819588324010e+00 9.847597375172054690e-01 2.086133462162585717e-01 2.454898544615999795e+06
-7.280987994805818708e+00 9.234505901308928122e-01 6.770356329879342883e-02 2.459648045303999912e+06
-7.280981164795371718e+00 1.189174360347320158e+00 3.744552641992714148e-02 2.460014545512999874e+06
-7.280944499873931441e+00 8.362682398110128368e-01 1.644392460367084807e-01 2.454527545692999847e+06
-7.280831787509269404e+00 1.247187248249477243e+00 1.502132085231912273e-01 2.452707294511999935e+06
-7.280831735301600105e+00 1.263242445882269527e+00 1.509067656211605379e-01 2.452707044615999795e+06
-7.280831683245278185e+00 1.273010545381258352e+00 1.512497045993417000e-01 2.452706795444999821e+06
-7.280831631092029355e+00 1.283505833665948836e+00 1.516315753246782749e-01 2.452706545810999814e+06
-7.280278887561700607e+00 1.101795369358848253e+00 8.081274852648918927e-02 2.459644045442000031e+06
-7.280228220513457416e+00 8.867804799391955095e-01 1.911550736061160272e-01 2.454893795036999974e+06
-7.279853057678393746e+00 9.855434800520057603e-01 1.161568182539962218e-01 2.452703545452000108e+06
-7.279853050533188430e+00 9.916132720177756044e-01 1.166184945145767038e-01 2.452703795018000063e+06
-7.279853043378239796e+00 9.787577167240762988e-01 1.160858005199782161e-01 2.452704044923999812e+06
-7.279853036239510189e+00 9.747420673054382201e-01 1.160170692812068638e-01 2.452704294244999997e+06
