# heliocentricLat[deg] normalizedFlux[unitless]
-7.300952571414428327e+00 8.945365589162520559e-01
-7.300952546124467091e+00 8.837319095786370093e-01
-7.300952522206682005e+00 9.187369682602757326e-01
-7.300952498688435988e+00 8.676039345435905270e-01
-7.300448123917273158e+00 8.244014581348573234e-01
-7.300448123832103065e+00 8.339426822347705270e-01
-7.300448119575627004e+00 8.234803804825435725e-01
-7.300448110411097424e+00 8.533059595670101638e-01
-7.299139058477690511e+00 9.409619870617459414e-01
-7.299139012678358185e+00 9.279896084675891554e-01
-7.299139011839407942e+00 1.013441542937723483e+00
-7.299138969254833853e+00 9.668174295445005617e-01
-7.297624595360139743e+00 7.716485200932661215e-01
-7.297624579139871948e+00 7.870059535910521875e-01
-7.296348765826762950e+00 8.719025581106850664e-01
-7.296333321315830567e+00 8.719267062778288668e-01
-7.296176900759334671e+00 9.001770765499113036e-01
-7.295948071761533704e+00 1.015199805992110349e+00
-7.295865923382804041e+00 8.747307513954669655e-01
-7.295519098688753701e+00 1.026460245309041897e+00
-7.295431537728735982e+00 8.964755760165854515e-01
-7.295402595266916812e+00 8.718387909185881801e-01
-7.294997113756877205e+00 1.121108011813391592e+00
-7.294996984498342663e+00 1.078326929694740199e+00
-7.294996983282149294e+00 1.034637959024075071e+00
-7.294991039792592780e+00 1.017243980157253258e+00
-7.294973570757949055e+00 1.040228158717957152e+00
-7.294270807949936319e+00 1.039202394685309061e+00
-7.293553515379821661e+00 9.546591081857196404e-01
-7.293553514395599180e+00 9.875532245526570385e-01
-7.293553457577518273e+00 9.593234538462369621e-01
-7.293553429949506395e+00 9.274857729471687184e-01
-7.293449941569989825e+00 1.036419135920729317e+00
-7.293424503479328358e+00 1.042576345886907729e+00
-7.293204716291147527e+00 8.723945302731226370e-01
-7.293204715833112139e+00 8.700912981716049099e-01
-7.293040245447115488e+00 9.132249402937316907e-01
-7.293040220657090345e+00 8.657154629290679804e-01
-7.292482062143461619e+00 7.587319447729466981e-01
-7.292482060216831208e+00 7.597136976207964354e-01
-7.292481955953067363e+00 7.628432898734630596e-01
-7.292481954625945839e+00 7.502143662597119400e-01
-7.292434738678998940e+00 1.032888714976189171e+00
-7.292178373393507052e+00 8.540363734183641364e-01
-7.291779387277691704e+00 1.039491011965531841e+00
-7.291779386374088290e+00 1.055164794673703943e+00
-7.291779339289043982e+00 1.050833855284499130e+00
-7.291779293030591802e+00 1.064943541300656937e+00
-7.291759237171420160e+00 1.073663488923319642e+00
-7.291759188237222133e+00 1.058674223824948246e+00
-7.291759138429283915e+00 1.066848235243295973e+00
-7.290234814710705891e+00 8.501827465622768809e-01
-7.290234803795606844e+00 8.371234976468554523e-01
-7.290234792250935847e+00 8.628014817990232732e-01
-7.290234791820661364e+00 8.440489416147586299e-01
-7.290025330084101363e+00 1.045359823240259223e+00
-7.289987831021792708e+00 1.000000000000000000e+00
-7.289692047491954874e+00 8.695185071978278613e-01
-7.289653435065448051e+00 8.741639250100218250e-01
-7.288556113021376959e+00 1.142955458263096968e+00
-7.288555945369663114e+00 1.138471354779797551e+00
-7.288555861571478722e+00 1.149995070912623873e+00
-7.288555859982521312e+00 1.134803462976585076e+00
-7.287678407806430059e+00 1.122009768195111334e+00
-7.287678342256819874e+00 1.108398195467034997e+00
-7.287678273171818155e+00 1.119135697654452422e+00
-7.287678205246655772e+00 1.092214743636112262e+00
-7.287118346369478417e+00 9.616438923610562961e-01
-7.287088762020511368e+00 1.010799374085401992e+00
-7.287043422793183289e+00 1.031645184740371146e+00
-7.286795977728377061e+00 9.546527715087224086e-01
-7.286561886126196264e+00 9.232467088935791821e-01
-7.286403688847924442e+00 9.731460790596551114e-01
-7.286087408048988578e+00 9.307546297935600510e-01
-7.285792948325140017e+00 9.457816268455401243e-01
-7.285775741345513090e+00 9.773976707315827905e-01
