# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.287678205246653995e+00 1.092075460018647970e+00 1.815635808443411339e-02 2.453073545435999986e+06
-7.287118346369472199e+00 8.711575525813189946e-01 8.397879794666129882e-02 2.454895544367999770e+06
-7.287088762020513144e+00 1.012169637932735844e+00 5.699743160073379028e-02 2.454534045642000157e+06
-7.287043422793181513e+00 1.033043707668051869e+00 5.699342874607996740e-02 2.454533795644000173e+06
-7.286795977728375284e+00 9.652896283613513484e-01 9.386064506449309786e-02 2.454896792956000194e+06
-7.286561886126194487e+00 8.670821771879144713e-01 8.404594884055127668e-02 2.454896335618000012e+06
-7.286403688847919113e+00 9.840751052902559914e-01 9.477576182319574771e-02 2.454896543874000199e+06
-7.286087408048987690e+00 8.746709998530689534e-01 8.381973712675022670e-02 2.454894586304999888e+06
-7.285792948325140017e+00 9.561369929954056657e-01 9.359325098791122788e-02 2.454897336689999793e+06
-7.285775741345513090e+00 9.882010876698467117e-01 9.521752211186139403e-02 2.454897043163000140e+06
-7.285469601950181229e+00 8.817897697403430657e-01 8.435769348772961806e-02 2.454895044238999952e+06
-7.285469601580708776e+00 8.793984086387145460e-01 8.415742258079184079e-02 2.454894836234999821e+06
-7.285208384213651911e+00 9.632805599265956698e-01 9.404291288968656681e-02 2.454897545708000194e+06
-7.285139234625431115e+00 8.386756593967268358e-01 1.696915880783108482e-02 2.453067545353000052e+06
-7.285139172349764713e+00 8.268052829245330360e-01 1.696875827265487482e-02 2.453068045342999976e+06
-7.285139171822197390e+00 8.386044583204491643e-01 1.696898977962330718e-02 2.453067795320999809e+06
-7.285021125066274195e+00 7.200903080190773631e-01 3.305529398998992285e-02 2.453432793242000043e+06
-7.285021071978061258e+00 6.961441689544290989e-01 3.305548648225944963e-02 2.453432543211999815e+06
-7.285021015771446784e+00 7.369263026605780142e-01 3.305512271086627485e-02 2.453433043229999952e+06
-7.285020959585015277e+00 7.598979390046449733e-01 3.305530463978443440e-02 2.453433293238999788e+06
-7.285000746020644513e+00 8.675561727147488300e-01 5.899467711109383783e-02 2.459647045884999912e+06
-7.284833425401500584e+00 1.107473749199289870e+00 7.519070229270867489e-02 2.459646045313000213e+06
-7.284824324637708237e+00 1.105223538744118716e+00 7.496913081960129843e-02 2.459645545115999877e+06
-7.284623293202717065e+00 8.491833002099871130e-01 5.083759343006972325e-02 2.454528004383999854e+06
-7.284520748633013021e+00 8.451022792778611903e-01 5.083627957745144588e-02 2.454527545692999847e+06
-7.284233283702516104e+00 1.134553301412539073e+00 7.698806711309780226e-02 2.459646545772000216e+06
-7.283964473319326061e+00 8.782174428166806823e-01 8.425453211969216594e-02 2.454895294226000085e+06
-7.283879994911186095e+00 1.090219930728936859e+00 7.394045780816686786e-02 2.459645045167999808e+06
-7.283489977998456766e+00 9.608334109796236033e-01 5.987134295677359885e-02 2.454535045363000128e+06
-7.283443126219884434e+00 9.663480738620732202e-01 9.430232730283223674e-02 2.454897753440000117e+06
