# heliocentricLat[deg] normalizedFlux[unitless]
-7.300952523070511013e+00 9.120249730219790463e-01
-7.300952497358709437e+00 9.168170089750616869e-01
-7.300448119415921866e+00 9.027918359377006263e-01
-7.300448114911547215e+00 8.935330314911401617e-01
-7.300448114826290968e+00 8.839559371275269584e-01
-7.299139102723347428e+00 9.504747585105944863e-01
-7.299139101981460875e+00 9.360837003343430718e-01
-7.299139057747854764e+00 9.544941301282460211e-01
-7.299139056079611443e+00 9.408324782295144351e-01
-7.297624625296910139e+00 8.740392719101791608e-01
-7.297624610457310368e+00 8.754838032293663641e-01
-7.297624609912237936e+00 8.737790547842837485e-01
-7.297624579977590287e+00 8.748528528418132444e-01
-7.296347270789319772e+00 9.782398357465830196e-01
-7.296345672090677859e+00 9.822180247145060328e-01
-7.296219627174727940e+00 9.942350456335199427e-01
-7.295957560950876442e+00 9.963849710901375722e-01
-7.295938478738597688e+00 9.924222685095788199e-01
-7.295865923485292726e+00 9.701282255054144432e-01
-7.295532693297452909e+00 1.001388376000507341e+00
-7.294997111343135998e+00 9.959751688810202230e-01
-7.294996985702594472e+00 9.607626011402277122e-01
-7.294842454601939252e+00 9.614915039955291842e-01
-7.294824028451162512e+00 9.635774600902878850e-01
-7.294805494479366992e+00 9.629634847048664792e-01
-7.294086580426848876e+00 9.539455740249644933e-01
-7.293553458635010145e+00 9.411750059137917734e-01
-7.293553458106400100e+00 9.341254627351417428e-01
-7.293553429439750602e+00 9.485201787022969899e-01
-7.293424502779058294e+00 9.976609434221218597e-01
-7.293398937058602094e+00 9.877403712727058638e-01
-7.293040245138596944e+00 9.286702300427595036e-01
-7.293040228971628736e+00 9.218290473975000454e-01
-7.293040228676387571e+00 9.226952272619023399e-01
-7.293040228520542456e+00 9.242164804499272135e-01
-7.292481989760704941e+00 8.729416944801472455e-01
-7.292481955286842954e+00 8.720694884910186184e-01
-7.292481954036555969e+00 8.791054340511955667e-01
-7.292434739468958149e+00 1.000931880785486117e+00
-7.292147800068303098e+00 9.514164516665163385e-01
-7.291779436918896629e+00 9.584104951622605117e-01
-7.291779338386636056e+00 9.795084199266912428e-01
-7.291779291319194556e+00 9.612929487279429086e-01
-7.291779290416195103e+00 9.642533690368277899e-01
-7.291759284814082420e+00 9.738845476230988396e-01
-7.291759283006818748e+00 9.708539334605675863e-01
-7.291759236359116159e+00 9.669315727089233814e-01
-7.291335055068227433e+00 9.985748518003899621e-01
-7.291041975904584582e+00 9.587751509911923709e-01
-7.290234826650567435e+00 9.145287830395235629e-01
-7.290234826240284960e+00 9.174099334045666687e-01
-7.290234814904627214e+00 9.170313720702505389e-01
-7.290234803168334388e+00 9.167879521755496475e-01
-7.290062709885405390e+00 9.919397881393300365e-01
-7.289692048219788667e+00 9.602868579818707451e-01
-7.288564401577330543e+00 9.861746960266030149e-01
-7.288556111432278328e+00 1.032354784463904718e+00
-7.288555943780716362e+00 1.013620282188191224e+00
-7.287678341118968284e+00 9.956188675532485766e-01
-7.287678270626275712e+00 1.000740744077351696e+00
-7.287678206383170654e+00 1.005840465536772088e+00
-7.287678204016054373e+00 9.980804055339811409e-01
-7.287121140667811581e+00 1.045767484328604890e+00
-7.286787353125457223e+00 9.881380693431821571e-01
-7.286778626948365201e+00 9.856677428717856015e-01
-7.286561885927201665e+00 1.049151404069022187e+00
-7.286416276187716257e+00 9.856498501998531836e-01
-7.286087407772084745e+00 1.045425828462161588e+00
-7.285387385271063998e+00 9.945796727116444913e-01
-7.285288672900794182e+00 9.974329983745948702e-01
-7.285199085850676326e+00 1.027111728961358050e+00
-7.285196636319285268e+00 1.023517163498010474e+00
-7.285139204932814749e+00 9.199725269922864879e-01
-7.285139204343521691e+00 9.176948784222368483e-01
-7.285139203228754745e+00 9.246945128573101913e-01
-7.285139140914062672e+00 9.234627076649239985e-01
-7.285021127139859054e+00 8.775447430910355839e-01
-7.285021069893947043e+00 8.661834849231978550e-01
-7.285000746609474831e+00 9.514293990444790960e-01
-7.284845229893853968e+00 1.045362949326530844e+00
-7.284542069950741272e+00 9.798642158434289762e-01
-7.284247838607638137e+00 9.434834160927159097e-01
-7.283990882014104606e+00 1.048970336648052726e+00
-7.283862862051543097e+00 1.021002447662051171e+00
-7.283543241080757902e+00 9.964119666944225573e-01
-7.283489979364278000e+00 9.849141006118175001e-01
-7.283471541678940397e+00 9.760629370824842610e-01
-7.283436603549764854e+00 9.961667278501068479e-01
-7.282918078412276230e+00 9.462989487758344254e-01
-7.282785054636955024e+00 1.032743010903626413e+00
-7.282785022190535251e+00 1.041106496711317497e+00
-7.282785021578487061e+00 1.045821264355789149e+00
-7.282460036605487019e+00 1.027833165929383785e+00
-7.282460036392977898e+00 1.034428359012246945e+00
-7.282460023786513581e+00 1.033448699296973139e+00
-7.282460023309612396e+00 1.031027948231509894e+00
-7.282364856035542289e+00 1.011404668734854795e+00
-7.282347044555440796e+00 9.772659509010733769e-01
-7.281772320421689315e+00 1.045614227476298064e+00
-7.281772319697147999e+00 1.050285248744369238e+00
-7.281737822541566096e+00 1.045076508487888134e+00
-7.281303955340360012e+00 1.015025007564017256e+00
-7.281303870833053971e+00 1.013627530371944863e+00
-7.281303867719485012e+00 1.016547941526462884e+00
-7.281108819588323122e+00 9.896296580589781788e-01
-7.280987995953311476e+00 9.412912196291626232e-01
-7.280944499873933218e+00 9.557964851354090463e-01
-7.280885774354363349e+00 9.501531554100682841e-01
-7.280831786528535687e+00 1.156607190381009564e+00
-7.280831736285287903e+00 1.139601152586650068e+00
-7.280831734318856441e+00 1.141556567345607398e+00
-7.280831632040520418e+00 1.178138616710390441e+00
-7.280228220513461856e+00 1.047951526122775423e+00
-7.279853057543930639e+00 1.019796965367696151e+00
-7.279853036372789354e+00 1.014281505476170242e+00
-7.279853036239508413e+00 1.018454926797502491e+00
-7.279810179546341686e+00 1.032506509328360744e+00
-7.279810175807969408e+00 1.049023150485297373e+00
-7.279810173865458367e+00 1.030766412630788720e+00
-7.279688195119214278e+00 9.928848208286397137e-01
-7.278760668985013282e+00 9.397371860611622996e-01
-7.278549121396334698e+00 9.556587578719870635e-01
-7.278206398941964750e+00 9.857169714006014383e-01
-7.277754431121628009e+00 9.603159867987439702e-01
-7.277754379849583621e+00 9.307971936366069565e-01
-7.277754378987981276e+00 9.598345662228547903e-01
-7.277754277417867179e+00 9.399151088659518649e-01
-7.277622141204067141e+00 1.027048439370352728e+00
-7.277155462031181798e+00 9.861059454179239570e-01
-7.276601190958348120e+00 1.148518744800956171e+00
-7.276601120184937876e+00 1.159331061644075955e+00
-7.276601045656889255e+00 1.160732379312208851e+00
-7.276600972290861336e+00 1.164497369429659424e+00
-7.276542450586013011e+00 9.987300650175261474e-01
-7.276431992224702938e+00 9.525522663990055872e-01
-7.275613177480196647e+00 1.039673275302066102e+00
-7.275243250492005487e+00 8.585878659518196843e-01
-7.275243100649479544e+00 8.697169248513019202e-01
-7.275243097988483676e+00 8.571463059261448247e-01
-7.274961690879554688e+00 9.865986881727980551e-01
-7.274961638422047017e+00 1.005718172635631902e+00
-7.274961637410228832e+00 1.014705221002979219e+00
-7.274961610443650528e+00 9.977172979358436278e-01
-7.274957029339832459e+00 1.068653879530699680e+00
-7.274809353394176448e+00 9.257106857159398405e-01
-7.274801780211022972e+00 9.193767532511123441e-01
-7.274736851553877948e+00 9.895080863543097571e-01
-7.274708495152525600e+00 1.069143818765329712e+00
-7.274490584189455156e+00 9.350103648752227103e-01
-7.274075398467599207e+00 9.150577817868563724e-01
-7.274060626763370507e+00 9.177243480759836869e-01
-7.273785784719568603e+00 1.070959675503009967e+00
-7.273768981433113900e+00 1.074961787018197557e+00
-7.273515243198647617e+00 9.668688256150850258e-01
-7.273474924087924620e+00 9.232097328822099769e-01
-7.273429204594535236e+00 9.819632655440960756e-01
-7.273420706727799612e+00 9.998187138005496521e-01
-7.273393320391230432e+00 1.043482670464778161e+00
-7.273179430584347571e+00 9.933277943676251942e-01
-7.273068628084812914e+00 9.770144297765083197e-01
-7.272710714050778513e+00 9.191489971252484459e-01
-7.272651000272880140e+00 1.032012727304253863e+00
-7.272650679930105611e+00 1.030002163137837101e+00
-7.272039315728036968e+00 9.916439685768342338e-01
-7.271903440413156616e+00 9.624876367012692446e-01
-7.271341229399972406e+00 9.757289460168012685e-01
-7.271336346312949672e+00 1.076525297070357601e+00
-7.271334668187506622e+00 1.033788525830635630e+00
-7.271307693376257930e+00 1.078167476687885928e+00
-7.271265257772093094e+00 9.397492866390305677e-01
-7.271109106990561344e+00 9.785753898622953084e-01
-7.270857544288846341e+00 9.226556723793639669e-01
-7.270827210197846391e+00 9.154109942870839456e-01
-7.270653380093878404e+00 1.035511317520543928e+00
-7.270539964995180071e+00 1.009140201049520513e+00
-7.270235438082644386e+00 1.081572883902198079e+00
-7.270100254007175522e+00 1.148249143384184601e+00
-7.270100162277078226e+00 1.144831641744353146e+00
-7.270100160735560202e+00 1.138714012269545606e+00
-7.270100157281859765e+00 1.120868772246728984e+00
-7.269697176519314574e+00 9.325087935945055584e-01
-7.269487473061539085e+00 9.911848285837020489e-01
-7.269410506239893266e+00 9.890210820102514067e-01
-7.269406701761191414e+00 9.735268521946238707e-01
-7.269195179799049278e+00 1.046096342173306493e+00
-7.269065590598144944e+00 9.913772857234678382e-01
-7.268992186414142687e+00 1.080336665447184874e+00
-7.268802982041511207e+00 8.989952578790952886e-01
-7.268802944862981619e+00 9.088078177618007514e-01
-7.268802944164795221e+00 8.933262783250305317e-01
-7.268691603257319223e+00 9.025154457866493285e-01
-7.268691602307872479e+00 9.041662003487740407e-01
-7.268691585817725453e+00 9.025889926743401181e-01
-7.268691584868840039e+00 9.048156944047974770e-01
-7.268471499934990199e+00 9.900231472341094463e-01
-7.268396156794636020e+00 9.213929295348607384e-01
-7.268081694662077652e+00 9.678869809712764560e-01
-7.268081623578864559e+00 9.656577369859389304e-01
-7.268081622245862405e+00 9.751965172138962190e-01
-7.268081550077939212e+00 9.560178644379945245e-01
-7.267787646673991020e+00 9.856834530283844487e-01
-7.267787599045401059e+00 9.757503487757064331e-01
-7.267787554077805190e+00 9.740836966546896347e-01
-7.267787552322102052e+00 9.834370751134237087e-01
-7.267665992852508694e+00 9.618790982033030845e-01
-7.267566019818953116e+00 1.075705101314727852e+00
-7.266945833764733464e+00 9.617438719824880078e-01
-7.266662450107792104e+00 1.001435100700996284e+00
-7.266662449151440661e+00 9.703842159823963254e-01
-7.266662335353022861e+00 9.772643632648831957e-01
-7.266662278444718126e+00 1.002625125331933154e+00
-7.266515759932060448e+00 1.047260758745118592e+00
-7.266485702049357620e+00 9.894114655992785057e-01
-7.266448073505340055e+00 1.035653987851479441e+00
-7.266442128162995395e+00 9.914183007170566109e-01
-7.266329970934068072e+00 9.158385764054022271e-01
-7.266329968625186986e+00 9.068631394269236479e-01
-7.266329966442372168e+00 9.027424437013957803e-01
