# heliocentricLat[deg] normalizedFlux[unitless]
-7.286102520041694675e+00 9.987224704985286916e-01
-7.285450392127146735e+00 9.978078027185421917e-01
-7.285228885648772135e+00 9.451462009006793563e-01
-7.285197915800589286e+00 1.014169721910586963e+00
-7.285139235740932584e+00 9.326441663042102093e-01
-7.285139203754575909e+00 9.052484726136653670e-01
-7.285139142092052822e+00 8.973444931204849206e-01
-7.285139140388375623e+00 9.417699416069735818e-01
-7.285021070929682097e+00 8.252767389899122730e-01
-7.285021068967131086e+00 7.796633360265879942e-01
-7.285021014737052880e+00 8.067900937377130433e-01
-7.285020960608536100e+00 7.722903451808517117e-01
-7.284993993285650227e+00 9.052298443247724924e-01
-7.284845229446466064e+00 1.003283057633806985e+00
-7.284824324418825547e+00 1.008407888774264682e+00
-7.284572079599692884e+00 8.897244230167341561e-01
-7.284542069318925783e+00 9.403966985105340903e-01
-7.284218601247014924e+00 8.918695299797418929e-01
-7.283964473857707844e+00 1.004633302002253981e+00
-7.283879994942412672e+00 1.020705137594516421e+00
-7.282895601138147157e+00 9.186955717450251413e-01
-7.282785086867765934e+00 1.015948746529138358e+00
-7.282785054023732663e+00 1.000000000000000000e+00
-7.282785053414042586e+00 9.905070613836467475e-01
-7.282784990348603493e+00 9.957699386692020482e-01
-7.282460036155260497e+00 9.891830498426653628e-01
-7.282460024000364740e+00 9.773942916515439006e-01
-7.282460010891341540e+00 9.986156921722583180e-01
-7.282379411851073847e+00 9.397331350048706566e-01
-7.282364856190371327e+00 1.022426992014348279e+00
-7.281556461954701298e+00 9.653505692830017804e-01
-7.281499231675171657e+00 9.629454768535312681e-01
-7.281441901589860599e+00 9.643824212037223065e-01
-7.281304044535690245e+00 1.014529925543844913e+00
-7.281304041363397594e+00 1.009213575467674318e+00
-7.281303953693319286e+00 1.008061354470471294e+00
-7.281303780055440100e+00 1.014791009036315916e+00
-7.280987994805816932e+00 9.109716486357228860e-01
-7.280944498703683543e+00 9.087049472437599418e-01
-7.280831789367021578e+00 1.151567658524370374e+00
-7.280831788490263357e+00 1.146140565185799876e+00
-7.280831683245281738e+00 1.172438608682551786e+00
-7.280278887219108874e+00 1.052851754428415054e+00
-7.280267258294608190e+00 9.950287268627603376e-01
-7.280228219681450952e+00 9.916050613861551177e-01
-7.279853057813543415e+00 9.928817631637988361e-01
-7.279853043123429401e+00 9.824593928181679647e-01
-7.279853036104002584e+00 9.809216040751915777e-01
-7.279810277571590049e+00 1.026851041882465232e+00
-7.279810177750843714e+00 1.040729862493480429e+00
-7.279810070209269846e+00 1.016291056963598116e+00
-7.279728561077902782e+00 9.569091304367004502e-01
-7.278748997307280533e+00 9.882773401484645781e-01
-7.278697926079089164e+00 9.469150012985920739e-01
-7.278510820826721961e+00 9.599429988614860410e-01
-7.278162086523090046e+00 9.473243228740864108e-01
-7.277754432083644254e+00 9.739077739641613940e-01
-7.277754430263503771e+00 9.486091292503731065e-01
-7.277754381773499759e+00 9.667948885613464327e-01
-7.277754276558781932e+00 9.659249846839642606e-01
-7.277581218070353408e+00 1.028921881476269062e+00
-7.277025093639315045e+00 9.654774857980512603e-01
-7.276601188257636466e+00 1.150643672800199857e+00
-7.276601118972243931e+00 1.134995452382610015e+00
-7.276600976217590500e+00 1.151917136796268837e+00
-7.276590580857053681e+00 9.554371111703108266e-01
-7.276494210728450263e+00 9.643380510066456024e-01
-7.276365249821319381e+00 9.034357637732786106e-01
-7.275713984505580711e+00 9.926665715862715844e-01
-7.275663630034301832e+00 9.794009571026188743e-01
-7.275663628940400862e+00 9.913062048715942653e-01
-7.275464458562164616e+00 9.658154506817733242e-01
-7.275243325520979631e+00 7.514330175924455180e-01
-7.275243249090332931e+00 7.630046780374752924e-01
-7.275243247834201732e+00 7.392045635459513209e-01
-7.274994132568969540e+00 1.056436056058506878e+00
-7.274961637915881241e+00 9.944140129905393310e-01
-7.274961611457379185e+00 9.795492769595962601e-01
-7.274961610950698265e+00 9.667194931066799279e-01
-7.274961609990892697e+00 9.865427913449474895e-01
-7.274957029425199728e+00 1.062847321412750956e+00
-7.274741531149272689e+00 9.787597507748614367e-01
-7.274708494975845596e+00 1.101366866983548354e+00
-7.274684677267243771e+00 9.648000557483584760e-01
-7.274512824628446062e+00 9.706220938339549242e-01
-7.274490584454250452e+00 9.814235357169357465e-01
-7.274443441350991080e+00 9.959015173081698924e-01
-7.274394704259171895e+00 1.021860343068849319e+00
-7.274318110045753905e+00 1.058286554484791475e+00
-7.273785785074763588e+00 1.052003710109262302e+00
-7.273754702791029203e+00 9.426863128404510128e-01
-7.273507941279406808e+00 9.523499361190467249e-01
-7.273493513820016965e+00 9.882056508016713314e-01
-7.273132094281113957e+00 1.049433551305145373e+00
-7.273124077113952701e+00 9.771804458979066466e-01
-7.272755833583453899e+00 9.922012898093376387e-01
-7.272733325169664198e+00 9.867495751497545875e-01
-7.272725800574144195e+00 9.539540497732486024e-01
-7.272710758433039935e+00 9.617386485990515599e-01
-7.272651006106335636e+00 1.033479034515810024e+00
-7.272650894800158028e+00 1.016070363778041274e+00
-7.272650892772684728e+00 1.010267605320953166e+00
-7.272538867697821985e+00 1.000410671648940264e+00
-7.272522524969536661e+00 9.722599429922311742e-01
-7.272270280150415545e+00 1.078446453454717791e+00
-7.271824190793385156e+00 9.826134956833122436e-01
-7.271364896873525829e+00 1.060007180642790647e+00
-7.271340052684012178e+00 9.003397030990014649e-01
-7.271085034822136528e+00 1.000000000000000000e+00
-7.270641203017428111e+00 9.693019079364951773e-01
-7.270267935610303489e+00 1.061145446116660285e+00
-7.270235437348933516e+00 1.064760588149474829e+00
-7.270100346068251618e+00 1.175583529688262407e+00
-7.270100341083624684e+00 1.155292042354018944e+00
-7.270100068992066511e+00 1.159686571495981200e+00
-7.270100067260257148e+00 1.146739900589488714e+00
-7.269662940908100168e+00 9.793642504109081326e-01
-7.269410508088212097e+00 9.880724739725381678e-01
-7.269333414430061424e+00 9.845574597393054184e-01
-7.269258199036492840e+00 9.886428420428072794e-01
-7.269132049580981025e+00 1.022896492452852968e+00
-7.269065591825579986e+00 9.879975870264546822e-01
-7.268992185589086219e+00 1.065055830647876567e+00
-7.268802983365421078e+00 8.899114670749790346e-01
-7.268802981343245762e+00 8.955016003600354546e-01
-7.268802945563752615e+00 9.113486440904859931e-01
-7.268802909014540958e+00 9.175739369756995556e-01
-7.268691620402610631e+00 8.951847965997822287e-01
-7.268691619746856958e+00 9.100117478124424286e-01
-7.268691602964569398e+00 9.221081796710730583e-01
-7.268691602635978022e+00 9.128569220273106133e-01
-7.268576728951395616e+00 9.413198528304861368e-01
-7.268407545864215891e+00 9.678265492129589642e-01
-7.268358015456786170e+00 9.787221095543376936e-01
-7.268081695995388891e+00 9.921232529566108571e-01
-7.268081692127750237e+00 9.888114571512829354e-01
-7.268081624916590044e+00 9.806644545571576721e-01
-7.267787647559964981e+00 9.935278693804194816e-01
-7.267787645793536200e+00 9.596981824045740517e-01
-7.267787599927667763e+00 1.003872812353519883e+00
-7.267787553198901129e+00 1.005103528938554147e+00
-7.267665990962284717e+00 9.708780506545411360e-01
-7.267646947397244261e+00 1.068623349840298165e+00
-7.267603888462440764e+00 9.599300692472280128e-01
-7.266954620523089048e+00 9.724302089253589187e-01
-7.266912574495303367e+00 9.698153870000334464e-01
-7.266907251116597521e+00 9.621463258888675041e-01
-7.266907250679498276e+00 9.452677047843253133e-01
-7.266662448077222614e+00 9.867473368917238918e-01
-7.266662392242311697e+00 1.023329383566474515e+00
-7.266662333212061675e+00 1.002249914053062074e+00
-7.266662276307173762e+00 9.895008187171924208e-01
-7.266566726613106653e+00 9.864443555902425720e-01
-7.266481984296317975e+00 1.006551118752816443e+00
-7.266448074997339468e+00 1.003840100938308666e+00
-7.266329970972864594e+00 9.141792121659177983e-01
-7.266329968664188677e+00 8.846534930212529568e-01
-7.266329966355522529e+00 9.091545098883253573e-01
-7.266329966316723343e+00 9.187018834089215602e-01
-7.266166736256136183e+00 9.628483053447779438e-01
-7.266098968071749375e+00 9.738219937269343429e-01
-7.266016299226153663e+00 9.288463354790136295e-01
-7.264456061527350350e+00 1.041253851760175930e+00
-7.264407736212871392e+00 1.034622919365710381e+00
-7.264365838389691632e+00 1.009747548896576141e+00
-7.263658818901120640e+00 9.616028170229264926e-01
-7.263650501767303425e+00 9.902941368902298258e-01
-7.263382101172531691e+00 1.010509336193918362e+00
-7.263150960596889583e+00 7.648801652471315382e-01
-7.263150957025648502e+00 7.502129719285332010e-01
-7.263150862117941031e+00 7.527028031051951062e-01
-7.263150672657798346e+00 7.470158643636338747e-01
-7.262984815097654590e+00 9.663330313589659770e-01
-7.262914946135233585e+00 9.744038793626285111e-01
-7.262615357258730420e+00 9.536813934395809156e-01
-7.262594463328586158e+00 1.030758264718357520e+00
-7.262269104043865831e+00 9.982134054700315673e-01
-7.262269028722256436e+00 1.010224882114170164e+00
-7.262268874241843974e+00 9.990229838561477393e-01
-7.262268871358397604e+00 1.006434453137039053e+00
-7.261720565358510626e+00 9.025251317334498369e-01
-7.261720564987896864e+00 9.275854923566798638e-01
-7.261720521657247573e+00 9.010182262130372877e-01
-7.261720498809484781e+00 8.839432863319205413e-01
-7.261716474405136346e+00 1.015378531830696263e+00
-7.261716347204516531e+00 1.011715243140237641e+00
-7.261716344822050750e+00 1.007059639412819951e+00
-7.261716342431367543e+00 1.007857342639159270e+00
-7.261333368778996267e+00 1.188713264968603855e+00
-7.261333261324856458e+00 1.141349292465226428e+00
-7.261333259448203847e+00 1.154114775700038953e+00
-7.261290045313444352e+00 1.002284403812367497e+00
-7.261217446187425928e+00 1.010637858583697257e+00
-7.261150889811020193e+00 1.502910207791511965e+00
-7.260877738927284497e+00 1.444179303233957379e+00
-7.260871804791338313e+00 9.796979564634586968e-01
-7.260869996687278949e+00 1.517857538790315486e+00
-7.260268478594618102e+00 9.510660931648475813e-01
-7.260187442297933558e+00 9.733690877150573684e-01
-7.260183141042171329e+00 9.758908086474967769e-01
-7.259728274772318635e+00 9.890911921842159282e-01
-7.259693284373218702e+00 9.597892010848312339e-01
-7.259679004069223396e+00 9.955263794839467328e-01
-7.259039220561121830e+00 1.020260375642608297e+00
-7.258960198967115751e+00 1.026509448825968951e+00
-7.258671630217423676e+00 1.330746310375553687e+00
-7.258572847295792663e+00 9.709231585341483450e-01
-7.258539886584519429e+00 1.050276547428019347e+00
-7.258459269613005027e+00 9.636799107141652554e-01
-7.258459269583044104e+00 9.607541114248274727e-01
-7.258329410292306605e+00 9.893398932715536942e-01
-7.258329279665370670e+00 9.561701938969318082e-01
-7.258329209504567281e+00 9.586282907381786789e-01
-7.257866743195120485e+00 7.981628431503433596e-01
-7.257837735696146986e+00 9.968200303372580784e-01
-7.257837735047584005e+00 9.922218844498874590e-01
-7.257810980149729474e+00 9.909556188420863831e-01
-7.257582250493861409e+00 1.007477526025663872e+00
-7.257187340932122588e+00 9.718505650842664823e-01
-7.256943593326805164e+00 9.663634334600322839e-01
-7.256690688137325651e+00 1.362012178342147273e+00
-7.256621473659367716e+00 9.638833902276157106e-01
-7.256362657549996875e+00 1.075996580279643622e+00
-7.256123066151817014e+00 9.786098712736478467e-01
