# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.282785054636955024e+00 1.035786672017306120e+00 8.575174188978713918e-02 2.452705802172999829e+06
-7.282785022190534363e+00 1.178226081752792309e+00 9.809177063064121460e-02 2.452706305205000099e+06
-7.282785021578485285e+00 1.048879932053725650e+00 8.659500576792644733e-02 2.452705552635000087e+06
-7.282460036605488796e+00 1.030816079353102710e+00 8.486957068629136236e-02 2.452705302945999894e+06
-7.282460036392979674e+00 1.037407171350411161e+00 8.517733537616080375e-02 2.452705053809000179e+06
-7.282460023786510916e+00 1.036378098076762511e+00 8.462643184786494688e-02 2.452704553849000018e+06
-7.282460023309615060e+00 1.033973708845382866e+00 8.466207736491332403e-02 2.452704803640999831e+06
-7.282364856035538736e+00 1.017154663907926304e+00 6.815872935262083654e-02 2.459645054591999855e+06
-7.282347044555437243e+00 9.848362458739042813e-01 7.227895611004116205e-02 2.454898054351999890e+06
-7.281772320421686651e+00 9.833434416304255299e-01 6.998820470725154730e-02 2.454894096057999879e+06
-7.281772319697146223e+00 9.876640706332225905e-01 7.039951201723194940e-02 2.454894303973999806e+06
-7.281737822541567873e+00 9.829385599418916097e-01 6.981558292695824730e-02 2.454893804399000015e+06
-7.281303955340354683e+00 1.041321693025132999e+00 1.348830259550239108e-01 2.453074554434000049e+06
-7.281303870833048641e+00 1.040044582495041059e+00 1.351108503044978759e-01 2.453074804305000231e+06
-7.281303867719485012e+00 1.043198102259997428e+00 1.359151213517575951e-01 2.453075054059999995e+06
-7.281108819588324010e+00 9.970333749314992389e-01 7.363706851324371139e-02 2.454898803660999984e+06
-7.280987995953313252e+00 9.638195774280939876e-01 6.515578205485102192e-02 2.459648054725000169e+06
-7.280944499873931441e+00 9.484737789343691272e-01 6.314068797240343645e-02 2.454528013375000097e+06
-7.280885774354360684e+00 9.430215871055703802e-01 6.275991808780737036e-02 2.454527554688999895e+06
-7.280831786528535687e+00 1.173225638025404249e+00 9.822337523015664540e-02 2.452706804899000097e+06
-7.280831736285286127e+00 1.156001156339826030e+00 9.705318967943750430e-02 2.452707054053999949e+06
-7.280831734318857329e+00 1.158010735160049043e+00 9.749549377028496333e-02 2.452707303925000131e+06
-7.280831632040520418e+00 1.195039583164291264e+00 9.976907904205337130e-02 2.452706555071000010e+06
-7.280228220513457416e+00 9.857290412726187334e-01 6.989191651412687833e-02 2.454893555155999959e+06
-7.279853057543928863e+00 1.022618759160647262e+00 8.282329944733181348e-02 2.452703804450000171e+06
-7.279853036372789354e+00 1.017110890698626813e+00 8.260179045212370785e-02 2.452704054345000070e+06
-7.279853036239510189e+00 1.021318852971282443e+00 8.316939429843579756e-02 2.452704303708000109e+06
-7.279810179546339910e+00 1.078430890083281968e+00 1.481328803130111393e-01 2.453441053791000042e+06
-7.279810175807964967e+00 1.095832626279051203e+00 1.497718555381305217e-01 2.453440553743999917e+06
-7.279810173865455702e+00 1.076687306109686881e+00 1.475247216965782926e-01 2.453440803785999771e+06
-7.279688195119216054e+00 1.000137358026592205e+00 7.418465797066577105e-02 2.454899303578000050e+06
-7.278760668985013282e+00 9.327635314289450807e-01 6.207217039531028741e-02 2.454527304729999974e+06
-7.278549121396329369e+00 9.787024856586268307e-01 6.613670185071555963e-02 2.459649053958000150e+06
-7.278206398941963862e+00 9.931784862798469504e-01 7.319713859438957415e-02 2.454898553948000073e+06
-7.277754431121626233e+00 9.757295970779611416e-01 1.152303439554139830e-01 2.453066805147999898e+06
-7.277754379849580957e+00 9.460204501538924671e-01 1.124041033601181072e-01 2.453067304765000008e+06
