# t_obs[JD] flux[norm] flux_unc[norm]
2450135.0000000000 0.9996098491 0.0000962519
2450136.0000000000 0.9995547431 0.0000962519
2450137.0000000000 0.9995591516 0.0000999256
2450138.0000000000 0.9995584168 0.0000962519
2450139.0000000000 0.9995826635 0.0000999256
2450140.0000000000 0.9995988279 0.0000962519
2450141.0000000000 0.9995914805 0.0000991909
2450142.0000000000 0.9995672338 0.0000977214
2450143.0000000000 0.9995510694 0.0000977214
2450144.0000000000 0.9995378439 0.0000991909
2450145.0000000000 0.9995246184 0.0000962519
2450146.0000000000 0.9995304964 0.0001006604
2450147.0000000000 0.9995290269 0.0000962519
2450148.0000000000 0.9995510694 0.0000999256
2450149.0000000000 0.9995664990 0.0000962519
2450150.0000000000 0.9995709075 0.0000991909
2450151.0000000000 0.9995628253 0.0000984561
2450152.0000000000 0.9995488651 0.0000977214
2450153.0000000000 0.9995290269 0.0000999256
2450154.0000000000 0.9995077193 0.0000962519
2450155.0000000000 0.9995106582 0.0000999256
2450156.0000000000 0.9995084540 0.0000962519
2450157.0000000000 0.9995451914 0.0000999256
2450158.0000000000 0.9995804592 0.0000969867
2450159.0000000000 0.9995951542 0.0000991909
2450160.0000000000 0.9995951542 0.0000984561
2450161.0000000000 0.9995878067 0.0000969867
2450162.0000000000 0.9995731118 0.0000991909
2450163.0000000000 0.9995451914 0.0000962519
2450164.0000000000 0.9994996370 0.0001006604
2450165.0000000000 0.9994460005 0.0000962519
2450166.0000000000 0.9994878811 0.0000999256
2450167.0000000000 0.9995437219 0.0000969867
2450168.0000000000 0.9995848677 0.0000984561
2450169.0000000000 0.9996149924 0.0000984561
2450170.0000000000 0.9996216051 0.0000969867
2450171.0000000000 0.9995995627 0.0000999256
2450172.0000000000 0.9995731118 0.0000962519
2450173.0000000000 0.9995694380 0.0000999256
2450174.0000000000 0.9995606211 0.0000962519
2450175.0000000000 0.9996002974 0.0000999256
2450176.0000000000 0.9996451170 0.0000969867
2450177.0000000000 0.9996473213 0.0000984561
2450178.0000000000 0.9996186661 0.0000991909
2450179.0000000000 0.9995929500 0.0000969867
2450180.0000000000 0.9995878067 0.0001006604
2450181.0000000000 0.9995738465 0.0000962519
2450182.0000000000 0.9995878067 0.0000999256
2450183.0000000000 0.9995958889 0.0000962519
2450184.0000000000 0.9996304221 0.0000999256
2450185.0000000000 0.9996686289 0.0000977214
2450186.0000000000 0.9996671594 0.0000984561
2450187.0000000000 0.9996304221 0.0000991909
2450188.0000000000 0.9995951542 0.0000962519
2450189.0000000000 0.9995657643 0.0000999256
2450190.0000000000 0.9995341702 0.0000962519
2450191.0000000000 0.9995554778 0.0000999256
2450192.0000000000 0.9995731118 0.0000962519
2450193.0000000000 0.9995709075 0.0000999256
2450194.0000000000 0.9995540083 0.0000984561
2450195.0000000000 0.9995371092 0.0000977214
2450196.0000000000 0.9995216795 0.0000999256
2450197.0000000000 0.9995084540 0.0000969867
2450198.0000000000 0.9995297617 0.0001006604
2450199.0000000000 0.9995415176 0.0000962519
2450200.0000000000 0.9995657643 0.0001006604
2450201.0000000000 0.9995804592 0.0000969867
2450202.0000000000 0.9996076449 0.0000999256
2450203.0000000000 0.9996340958 0.0000991909
2450204.0000000000 0.9996399738 0.0000984561
2450205.0000000000 0.9996245441 0.0001006604
2450206.0000000000 0.9996120534 0.0000969867
2450207.0000000000 0.9996451170 0.0001013951
2450208.0000000000 0.9996759764 0.0000969867
2450209.0000000000 0.9997332867 0.0001006604
2450210.0000000000 0.9997891275 0.0000977214
2450211.0000000000 0.9998045572 0.0000991909
2450212.0000000000 0.9997935360 0.0000984561
2450213.0000000000 0.9997722283 0.0000969867
2450214.0000000000 0.9997369604 0.0000999256
2450215.0000000000 0.9997075705 0.0000962519
2450216.0000000000 0.9997222655 0.0001006604
2450217.0000000000 0.9997347562 0.0000962519
2450218.0000000000 0.9997759020 0.0001006604
2450219.0000000000 0.9998177826 0.0000969867
2450220.0000000000 0.9998097004 0.0000991909
2450221.0000000000 0.9997678198 0.0000991909
2450222.0000000000 0.9997259392 0.0000969867
2450223.0000000000 0.9996892019 0.0000999256
2450224.0000000000 0.9996539340 0.0000962519
2450225.0000000000 0.9996612815 0.0000999256
2450226.0000000000 0.9996656899 0.0000962519
2450227.0000000000 0.9996745069 0.0000999256
2450228.0000000000 0.9996774459 0.0000969867
2450229.0000000000 0.9996818544 0.0000984561
2450230.0000000000 0.9996855281 0.0000991909
2450231.0000000000 0.9996847934 0.0000969867
2450232.0000000000 0.9996847934 0.0001006604
2450233.0000000000 0.9996803849 0.0000962519
2450234.0000000000 0.9997112443 0.0000999256
2450235.0000000000 0.9997406342 0.0000962519
2450236.0000000000 0.9997861885 0.0000999256
2450237.0000000000 0.9998332123 0.0000977214
2450238.0000000000 0.9998501115 0.0000984561
2450239.0000000000 0.9998434988 0.0000991909
2450240.0000000000 0.9998251301 0.0000969867
2450241.0000000000 0.9997950055 0.0000999256
2450242.0000000000 0.9997656156 0.0000962519
2450243.0000000000 0.9997795758 0.0000999256
2450244.0000000000 0.9997950055 0.0000962519
2450245.0000000000 0.9998119047 0.0000991909
2450246.0000000000 0.9998251301 0.0000977214
2450247.0000000000 0.9998155784 0.0000977214
2450248.0000000000 0.9997817800 0.0000991909
2450249.0000000000 0.9997494511 0.0000962519
2450250.0000000000 0.9997274087 0.0000999256
2450251.0000000000 0.9997038968 0.0000962519
2450252.0000000000 0.9997075705 0.0000999256
2450253.0000000000 0.9997090400 0.0000969867
2450254.0000000000 0.9997075705 0.0000991909
2450255.0000000000 0.9997009578 0.0000984561
2450256.0000000000 0.9997083053 0.0000977214
2450257.0000000000 0.9997354909 0.0000999256
2450258.0000000000 0.9997516554 0.0000962519
2450259.0000000000 0.9997538596 0.0001006604
2450260.0000000000 0.9997523901 0.0000962519
2450261.0000000000 0.9997905970 0.0000999256
2450262.0000000000 0.9998317429 0.0000969867
2450263.0000000000 0.9998706845 0.0000991909
2450264.0000000000 0.9999088913 0.0000984561
2450265.0000000000 0.9999309337 0.0000969867
2450266.0000000000 0.9999331380 0.0000999256
2450267.0000000000 0.9999316685 0.0000962519
2450268.0000000000 0.9999279948 0.0000999256
2450269.0000000000 0.9999184430 0.0000962519
2450270.0000000000 0.9998868489 0.0000999256
2450271.0000000000 0.9998457031 0.0000969867
2450272.0000000000 0.9997751673 0.0000984561
2450273.0000000000 0.9996818544 0.0000984561
2450274.0000000000 0.9996554035 0.0000969867
2450275.0000000000 0.9997479816 0.0000999256
2450276.0000000000 0.9998119047 0.0000962519
2450277.0000000000 0.9997876580 0.0001006604
2450278.0000000000 0.9997516554 0.0000962519
2450279.0000000000 0.9997553291 0.0000999256
2450280.0000000000 0.9997641461 0.0000977214
2450281.0000000000 0.9997670851 0.0000984561
2450282.0000000000 0.9997648808 0.0000991909
2450283.0000000000 0.9997567986 0.0000969867
2450284.0000000000 0.9997457774 0.0000999256
2450285.0000000000 0.9997332867 0.0000962519
2450286.0000000000 0.9997376952 0.0001006604
2450287.0000000000 0.9997384299 0.0000977214
2450288.0000000000 0.9997567986 0.0001006604
2450289.0000000000 0.9997729631 0.0000977214
2450290.0000000000 0.9997861885 0.0000984561
2450291.0000000000 0.9997942707 0.0000991909
2450292.0000000000 0.9997920665 0.0000962519
2450293.0000000000 0.9997759020 0.0000999256
2450294.0000000000 0.9997479816 0.0000962519
2450295.0000000000 0.9996892019 0.0000999256
2450296.0000000000 0.9996223398 0.0000962519
2450297.0000000000 0.9996348306 0.0000991909
2450298.0000000000 0.9996745069 0.0000977214
2450299.0000000000 0.9997310825 0.0000977214
2450300.0000000000 0.9998089657 0.0000999256
2450301.0000000000 0.9998523158 0.0000962519
2450302.0000000000 0.9998229259 0.0001006604
2450303.0000000000 0.9997847190 0.0000962519
2450304.0000000000 0.9997538596 0.0001006604
2450305.0000000000 0.9997185918 0.0000969867
2450306.0000000000 0.9997384299 0.0000991909
2450307.0000000000 0.9997788410 0.0000984561
2450308.0000000000 0.9997920665 0.0000977214
2450309.0000000000 0.9997714936 0.0000999256
2450310.0000000000 0.9997509206 0.0000962519
2450311.0000000000 0.9997421037 0.0001006604
2450312.0000000000 0.9997296130 0.0000962519
2450313.0000000000 0.9997369604 0.0000999256
2450314.0000000000 0.9997421037 0.0000969867
2450315.0000000000 0.9997479816 0.0000991909
2450316.0000000000 0.9997494511 0.0000984561
2450317.0000000000 0.9997722283 0.0000969867
2450318.0000000000 0.9998288039 0.0000999256
2450319.0000000000 0.9998795014 0.0000962519
2450320.0000000000 0.9999257905 0.0001006604
2450321.0000000000 0.9999625279 0.0000962519
2450322.0000000000 0.9999331380 0.0000999256
2450323.0000000000 0.9998839099 0.0000969867
2450324.0000000000 0.9998765624 0.0000984561
2450325.0000000000 0.9998941964 0.0000991909
2450326.0000000000 0.9999147693 0.0000969867
2450327.0000000000 0.9999456287 0.0000999256
2450328.0000000000 0.9999551804 0.0000962519
2450329.0000000000 0.9999037481 0.0001006604
2450330.0000000000 0.9998471725 0.0000962519
2450331.0000000000 0.9998030877 0.0000999256
2450332.0000000000 0.9997567986 0.0000969867
2450333.0000000000 0.9997714936 0.0000984561
2450334.0000000000 0.9998310081 0.0000991909
2450335.0000000000 0.9998626022 0.0000947824
2450336.0000000000 nan nan
2450337.0000000000 nan nan
2450338.0000000000 nan nan
2450339.0000000000 0.9998633370 0.0001006604
2450340.0000000000 0.9998398251 0.0000969867
2450341.0000000000 0.9997876580 0.0000969867
2450342.0000000000 0.9997861885 0.0000984561
2450343.0000000000 0.9998265996 0.0000991909
2450344.0000000000 0.9998552548 0.0000969867
2450345.0000000000 0.9998670107 0.0001006604
2450346.0000000000 0.9998765624 0.0000962519
2450347.0000000000 0.9999088913 0.0001006604
2450348.0000000000 0.9999382812 0.0000969867
2450349.0000000000 0.9999493024 0.0000999256
2450350.0000000000 0.9999507719 0.0000984561
2450351.0000000000 0.9999500372 0.0000984561
2450352.0000000000 0.9999485677 0.0000999256
2450353.0000000000 0.9999500372 0.0000969867
2450354.0000000000 0.9999662016 0.0001006604
2450355.0000000000 0.9999735491 0.0000962519
2450356.0000000000 0.9999346075 0.0000999256
2450357.0000000000 0.9998853794 0.0000962519
2450358.0000000000 0.9998670107 0.0000991909
2450359.0000000000 0.9998603980 0.0000984561
2450360.0000000000 0.9998449683 0.0000977214
2450361.0000000000 0.9998199869 0.0000999256
2450362.0000000000 0.9997979445 0.0000977214
2450363.0000000000 0.9997994140 0.0001013951
2450364.0000000000 0.9997979445 0.0000969867
2450365.0000000000 0.9998104352 0.0001013951
2450366.0000000000 0.9998192521 0.0000984561
2450367.0000000000 0.9998067614 0.0000999256
2450368.0000000000 0.9997788410 0.0000991909
2450369.0000000000 0.9997700241 0.0000977214
2450370.0000000000 0.9997883928 0.0000999256
2450371.0000000000 0.9998089657 0.0000962519
2450372.0000000000 0.9998501115 0.0000999256
2450373.0000000000 0.9998868489 0.0000962519
2450374.0000000000 0.9998978701 0.0000999256
2450375.0000000000 0.9998978701 0.0000969867
2450376.0000000000 0.9998890531 0.0000991909
2450377.0000000000 0.9998706845 0.0000991909
2450378.0000000000 0.9998648065 0.0000969867
2450379.0000000000 0.9998802362 0.0000999256
2450380.0000000000 0.9998941964 0.0000962519
2450381.0000000000 0.9999184430 0.0000999256
2450382.0000000000 0.9999368117 0.0000962519
2450383.0000000000 0.9999382812 0.0000999256
2450384.0000000000 0.9999316685 0.0000977214
2450385.0000000000 0.9999059523 0.0000984561
2450386.0000000000 0.9998633370 0.0000991909
2450387.0000000000 0.9998383556 0.0000969867
2450388.0000000000 0.9998471725 0.0000999256
2450389.0000000000 0.9998523158 0.0000962519
2450390.0000000000 0.9998523158 0.0000999256
2450391.0000000000 0.9998464378 0.0000962519
2450392.0000000000 0.9998479073 0.0000999256
2450393.0000000000 0.9998479073 0.0000977214
2450394.0000000000 0.9998464378 0.0000984561
2450395.0000000000 0.9998449683 0.0000991909
2450396.0000000000 0.9998479073 0.0000969867
2450397.0000000000 0.9998758277 0.0001006604
2450398.0000000000 0.9999015439 0.0000962519
2450399.0000000000 0.9999412202 0.0000999256
2450400.0000000000 0.9999823661 0.0000962519
2450401.0000000000 1.0000095517 0.0000991909
2450402.0000000000 1.0000323289 0.0000977214
2450403.0000000000 1.0000433501 0.0000977214
2450404.0000000000 1.0000448196 0.0000991909
2450405.0000000000 1.0000433501 0.0000962519
2450406.0000000000 1.0000374721 0.0000999256
2450407.0000000000 1.0000249814 0.0000962519
2450408.0000000000 0.9999757533 0.0000999256
2450409.0000000000 0.9999125651 0.0000969867
2450410.0000000000 0.9997200612 0.0000991909
2450411.0000000000 0.9994555522 0.0000984561
2450412.0000000000 0.9992939078 0.0000977214
2450413.0000000000 0.9992571704 0.0000999256
2450414.0000000000 0.9992608441 0.0000962519
2450415.0000000000 0.9994342445 0.0001006604
2450416.0000000000 0.9996025017 0.0000962519
2450417.0000000000 0.9997369604 0.0000999256
2450418.0000000000 0.9998552548 0.0000969867
2450419.0000000000 0.9998795014 0.0000991909
2450420.0000000000 0.9998479073 0.0000984561
2450421.0000000000 0.9998310081 0.0000977214
2450422.0000000000 0.9998376208 0.0000999256
2450423.0000000000 0.9998434988 0.0000962519
2450424.0000000000 0.9998648065 0.0001006604
2450425.0000000000 0.9998824404 0.0000962519
2450426.0000000000 0.9998905226 0.0000999256
2450427.0000000000 0.9998919921 0.0000977214
2450428.0000000000 0.9999235863 0.0000991909
2450429.0000000000 0.9999728143 0.0000991909
2450430.0000000000 1.0000161644 0.0000977214
2450431.0000000000 1.0000543713 0.0001006604
2450432.0000000000 1.0000830265 0.0000962519
2450433.0000000000 1.0000822917 0.0001006604
2450434.0000000000 1.0000800875 0.0000962519
2450435.0000000000 1.0000947824 0.0000999256
2450436.0000000000 1.0001153553 0.0000969867
2450437.0000000000 1.0001263765 0.0000984561
2450438.0000000000 1.0001300503 0.0000991909
2450439.0000000000 1.0001153553 0.0000969867
2450440.0000000000 1.0000602493 0.0001006604
2450441.0000000000 1.0000117560 0.0000969867
2450442.0000000000 0.9999875093 0.0001013951
2450443.0000000000 0.9999662016 0.0000977214
2450444.0000000000 0.9999434245 0.0000999256
2450445.0000000000 0.9999184430 0.0000977214
2450446.0000000000 0.9998986049 0.0000984561
2450447.0000000000 0.9998846447 0.0000991909
2450448.0000000000 0.9998795014 0.0000969867
2450449.0000000000 0.9999015439 0.0000999256
2450450.0000000000 0.9999213820 0.0000962519
2450451.0000000000 0.9999382812 0.0001006604
2450452.0000000000 0.9999507719 0.0000977214
2450453.0000000000 0.9999500372 0.0001006604
2450454.0000000000 0.9999419550 0.0000984561
2450455.0000000000 0.9999559152 0.0000984561
2450456.0000000000 0.9999919178 0.0000999256
2450457.0000000000 1.0000227772 0.0000969867
2450458.0000000000 1.0000433501 0.0001006604
2450459.0000000000 1.0000587798 0.0000962519
2450460.0000000000 1.0000433501 0.0000999256
2450461.0000000000 1.0000220424 0.0000962519
2450462.0000000000 1.0000066127 0.0000991909
2450463.0000000000 0.9999926525 0.0000984561
2450464.0000000000 0.9999845703 0.0000977214
2450465.0000000000 0.9999845703 0.0000999256
2450466.0000000000 0.9999794271 0.0000962519
2450467.0000000000 0.9999698754 0.0001006604
2450468.0000000000 0.9999559152 0.0000962519
2450469.0000000000 0.9999235863 0.0001006604
2450470.0000000000 0.9998831752 0.0000969867
2450471.0000000000 0.9998890531 0.0000991909
2450472.0000000000 0.9999162388 0.0000991909
2450473.0000000000 0.9999162388 0.0000977214
2450474.0000000000 0.9998802362 0.0001006604
2450475.0000000000 0.9998523158 0.0000962519
2450476.0000000000 0.9998670107 0.0001006604
2450477.0000000000 0.9998802362 0.0000962519
2450478.0000000000 0.9999037481 0.0000999256
2450479.0000000000 0.9999257905 0.0000969867
2450480.0000000000 0.9999059523 0.0000984561
2450481.0000000000 0.9998596633 0.0000991909
2450482.0000000000 0.9998501115 0.0000969867
2450483.0000000000 0.9999088913 0.0000999256
2450484.0000000000 0.9999573847 0.0000962519
