# t_obs[JD] flux[norm] flux_unc[norm]
2450485.0000000000 0.9999772228 0.0000999256
2450486.0000000000 0.9999904483 0.0000962519
2450487.0000000000 0.9999875093 0.0000999256
2450488.0000000000 0.9999779576 0.0000969867
2450489.0000000000 0.9999581194 0.0000984561
2450490.0000000000 0.9999309337 0.0000991909
2450491.0000000000 0.9999059523 0.0000969867
2450492.0000000000 0.9998905226 0.0000999256
2450493.0000000000 0.9998758277 0.0000962519
2450494.0000000000 0.9998795014 0.0001006604
2450495.0000000000 0.9998795014 0.0000969867
2450496.0000000000 0.9998824404 0.0000999256
2450497.0000000000 0.9998824404 0.0000977214
2450498.0000000000 0.9998721540 0.0000984561
2450499.0000000000 0.9998501115 0.0000999256
2450500.0000000000 0.9998376208 0.0000977214
2450501.0000000000 0.9998471725 0.0001013951
2450502.0000000000 0.9998596633 0.0000969867
2450503.0000000000 0.9998978701 0.0001006604
2450504.0000000000 0.9999368117 0.0000969867
2450505.0000000000 0.9999426897 0.0000999256
2450506.0000000000 0.9999331380 0.0000977214
2450507.0000000000 0.9999331380 0.0000977214
2450508.0000000000 0.9999404855 0.0000999256
2450509.0000000000 0.9999456287 0.0000962519
2450510.0000000000 0.9999441592 0.0001006604
2450511.0000000000 0.9999412202 0.0000962519
2450512.0000000000 0.9999346075 0.0000999256
2450513.0000000000 0.9999257905 0.0000969867
2450514.0000000000 0.9999404855 0.0000991909
2450515.0000000000 0.9999632626 0.0000984561
2450516.0000000000 0.9999713449 0.0000977214
2450517.0000000000 0.9999603236 0.0000999256
2450518.0000000000 0.9999478329 0.0000969867
2450519.0000000000 0.9999404855 0.0001006604
2450520.0000000000 0.9999316685 0.0000962519
2450521.0000000000 0.9999404855 0.0001006604
2450522.0000000000 0.9999485677 0.0000969867
2450523.0000000000 0.9999500372 0.0000991909
2450524.0000000000 0.9999463634 0.0000991909
2450525.0000000000 0.9999213820 0.0000977214
2450526.0000000000 0.9998655412 0.0000999256
2450527.0000000000 0.9998192521 0.0000962519
2450528.0000000000 0.9998177826 0.0001006604
2450529.0000000000 0.9998155784 0.0000962519
2450530.0000000000 0.9998236606 0.0000999256
2450531.0000000000 0.9998288039 0.0000969867
2450532.0000000000 0.9998434988 0.0000991909
2450533.0000000000 0.9998618675 0.0000991909
2450534.0000000000 0.9998802362 0.0000969867
2450535.0000000000 0.9999000744 0.0001006604
2450536.0000000000 0.9999000744 0.0000962519
2450537.0000000000 0.9998302734 0.0001006604
2450538.0000000000 0.9997523901 0.0000969867
2450539.0000000000 0.9997714936 0.0001006604
2450540.0000000000 0.9998126394 0.0000984561
2450541.0000000000 0.9998412946 0.0000991909
2450542.0000000000 0.9998596633 0.0000999256
2450543.0000000000 0.9998655412 0.0000977214
2450544.0000000000 0.9998501115 0.0001013951
2450545.0000000000 0.9998332123 0.0000969867
2450546.0000000000 0.9998412946 0.0001006604
2450547.0000000000 0.9998464378 0.0000969867
2450548.0000000000 0.9998618675 0.0000999256
2450549.0000000000 0.9998765624 0.0000977214
2450550.0000000000 0.9998890531 0.0000984561
2450551.0000000000 0.9998971354 0.0000991909
2450552.0000000000 0.9998868489 0.0000962519
2450553.0000000000 0.9998390903 0.0000999256
2450554.0000000000 0.9997935360 0.0000962519
2450555.0000000000 0.9998023530 0.0000999256
2450556.0000000000 0.9998155784 0.0000962519
2450557.0000000000 0.9998346818 0.0000991909
2450558.0000000000 0.9998523158 0.0000984561
2450559.0000000000 0.9998559895 0.0000984561
2450560.0000000000 0.9998434988 0.0000999256
2450561.0000000000 0.9998339471 0.0000969867
2450562.0000000000 0.9998412946 0.0001006604
2450563.0000000000 0.9998464378 0.0000962519
2450564.0000000000 0.9998706845 0.0000999256
2450565.0000000000 0.9998941964 0.0000969867
2450566.0000000000 0.9999088913 0.0000991909
2450567.0000000000 0.9999147693 0.0000984561
2450568.0000000000 0.9999287295 0.0000977214
2450569.0000000000 0.9999529762 0.0000999256
2450570.0000000000 0.9999684059 0.0000962519
2450571.0000000000 0.9999654669 0.0001006604
2450572.0000000000 0.9999588541 0.0000962519
2450573.0000000000 0.9999559152 0.0000999256
2450574.0000000000 0.9999500372 0.0000969867
2450575.0000000000 0.9999331380 0.0000991909
2450576.0000000000 0.9999066871 0.0000984561
2450577.0000000000 0.9998853794 0.0000969867
2450578.0000000000 0.9998721540 0.0000999256
2450579.0000000000 0.9998530505 0.0000962519
2450580.0000000000 0.9998229259 0.0000999256
2450581.0000000000 0.9997905970 0.0000962519
2450582.0000000000 0.9998310081 0.0000999256
2450583.0000000000 0.9998831752 0.0000969867
2450584.0000000000 0.9998868489 0.0000984561
2450585.0000000000 0.9998545200 0.0000984561
2450586.0000000000 0.9998229259 0.0000969867
2450587.0000000000 0.9997935360 0.0000999256
2450588.0000000000 0.9997670851 0.0000962519
2450589.0000000000 0.9997832495 0.0000999256
2450590.0000000000 0.9998008835 0.0000962519
2450591.0000000000 0.9998648065 0.0000999256
2450592.0000000000 0.9999382812 0.0000969867
2450593.0000000000 0.9999698754 0.0000984561
2450594.0000000000 0.9999684059 0.0000991909
2450595.0000000000 0.9999698754 0.0000969867
2450596.0000000000 0.9999772228 0.0000999256
2450597.0000000000 0.9999897135 0.0000962519
2450598.0000000000 1.0000264509 0.0000999256
2450599.0000000000 1.0000609840 0.0000962519
2450600.0000000000 1.0000198382 0.0000999256
2450601.0000000000 0.9999493024 0.0000977214
2450602.0000000000 0.9999088913 0.0000984561
2450603.0000000000 0.9998949311 0.0000999256
2450604.0000000000 0.9998846447 0.0000969867
2450605.0000000000 0.9998890531 0.0001006604
2450606.0000000000 0.9998890531 0.0000962519
2450607.0000000000 0.9998831752 0.0001006604
2450608.0000000000 0.9998721540 0.0000969867
2450609.0000000000 0.9998750929 0.0000999256
2450610.0000000000 0.9998802362 0.0000984561
2450611.0000000000 0.9998831752 0.0000977214
2450612.0000000000 0.9998839099 0.0000999256
2450613.0000000000 0.9998795014 0.0000962519
2450614.0000000000 0.9998721540 0.0001006604
2450615.0000000000 0.9998648065 0.0000962519
2450616.0000000000 0.9998964006 0.0000999256
2450617.0000000000 0.9999316685 0.0000969867
2450618.0000000000 0.9999404855 0.0000991909
2450619.0000000000 0.9999331380 0.0000984561
2450620.0000000000 0.9999294643 0.0000977214
2450621.0000000000 0.9999331380 0.0000999256
2450622.0000000000 0.9999265253 0.0000962519
2450623.0000000000 0.9999015439 0.0000999256
2450624.0000000000 0.9998758277 0.0000962519
2450625.0000000000 0.9999015439 0.0000999256
2450626.0000000000 0.9999346075 0.0000969867
2450627.0000000000 0.9999515067 0.0000991909
2450628.0000000000 0.9999573847 0.0000984561
2450629.0000000000 0.9999493024 0.0000969867
2450630.0000000000 0.9999235863 0.0000999256
2450631.0000000000 0.9999000744 0.0000962519
2450632.0000000000 0.9998993396 0.0001006604
2450633.0000000000 0.9998949311 0.0000962519
2450634.0000000000 0.9998750929 0.0000999256
2450635.0000000000 0.9998471725 0.0000977214
2450636.0000000000 0.9998412946 0.0000991909
2450637.0000000000 0.9998464378 0.0000991909
2450638.0000000000 0.9998449683 0.0000969867
2450639.0000000000 0.9998361513 0.0000999256
2450640.0000000000 0.9998258649 0.0000962519
2450641.0000000000 0.9998324776 0.0001006604
2450642.0000000000 0.9998346818 0.0000962519
2450643.0000000000 0.9998302734 0.0000999256
2450644.0000000000 0.9998177826 0.0000969867
2450645.0000000000 0.9998317429 0.0000991909
2450646.0000000000 0.9998581938 0.0000991909
2450647.0000000000 0.9998831752 0.0000969867
2450648.0000000000 0.9999125651 0.0000999256
2450649.0000000000 0.9999331380 0.0000962519
2450650.0000000000 0.9999235863 0.0001006604
2450651.0000000000 0.9999088913 0.0000969867
2450652.0000000000 0.9999044828 0.0000999256
2450653.0000000000 0.9999022786 0.0000977214
2450654.0000000000 0.9999118303 0.0000984561
2450655.0000000000 0.9999309337 0.0000999256
2450656.0000000000 0.9999404855 0.0000977214
2450657.0000000000 0.9999309337 0.0001013951
2450658.0000000000 0.9999162388 0.0000984561
2450659.0000000000 0.9998890531 0.0001021299
2450660.0000000000 0.9998552548 0.0000984561
2450661.0000000000 0.9998471725 0.0001006604
2450662.0000000000 0.9998449683 0.0000991909
2450663.0000000000 0.9998523158 0.0000984561
2450664.0000000000 0.9998721540 0.0000999256
2450665.0000000000 0.9998802362 0.0000962519
2450666.0000000000 0.9998706845 0.0001006604
2450667.0000000000 0.9998581938 0.0000962519
2450668.0000000000 0.9998670107 0.0001006604
2450669.0000000000 0.9998743582 0.0000969867
2450670.0000000000 0.9998890531 0.0000991909
2450671.0000000000 0.9999052176 0.0000984561
2450672.0000000000 0.9999162388 0.0000977214
2450673.0000000000 0.9999221168 0.0001006604
2450674.0000000000 0.9999213820 0.0000969867
2450675.0000000000 0.9999110956 0.0001013951
2450676.0000000000 0.9998964006 0.0000977214
2450677.0000000000 0.9998927269 0.0001013951
2450678.0000000000 0.9998890531 0.0000984561
2450679.0000000000 0.9998897879 0.0001006604
2450680.0000000000 0.9998912574 0.0000999256
2450681.0000000000 0.9998964006 0.0000984561
2450682.0000000000 0.9999088913 0.0001006604
2450683.0000000000 0.9999272600 0.0000969867
2450684.0000000000 0.9999845703 0.0001006604
2450685.0000000000 1.0000345331 0.0000962519
2450686.0000000000 1.0000066127 0.0000999256
2450687.0000000000 0.9999559152 0.0000969867
2450688.0000000000 0.9999037481 0.0000984561
2450689.0000000000 0.9998464378 0.0000991909
2450690.0000000000 0.9998361513 0.0000969867
2450691.0000000000 0.9999059523 0.0000999256
2450692.0000000000 0.9999772228 0.0000962519
2450693.0000000000 1.0000602493 0.0000999256
2450694.0000000000 1.0001359283 0.0000962519
2450695.0000000000 1.0000742095 0.0000999256
2450696.0000000000 0.9999713449 0.0000969867
2450697.0000000000 0.9998750929 0.0000984561
2450698.0000000000 0.9997832495 0.0000991909
2450699.0000000000 0.9996686289 0.0000969867
2450700.0000000000 0.9995121277 0.0000999256
2450701.0000000000 0.9993776690 0.0000962519
2450702.0000000000 0.9994070589 0.0001006604
2450703.0000000000 0.9994504090 0.0000962519
2450704.0000000000 0.9996113186 0.0000999256
2450705.0000000000 0.9998067614 0.0000977214
2450706.0000000000 0.9998941964 0.0000984561
2450707.0000000000 0.9998868489 0.0000991909
2450708.0000000000 0.9998846447 0.0000962519
2450709.0000000000 0.9999015439 0.0000999256
2450710.0000000000 0.9999221168 0.0000962519
2450711.0000000000 0.9999897135 0.0000999256
2450712.0000000000 1.0000580450 0.0000962519
2450713.0000000000 1.0000558408 0.0000991909
2450714.0000000000 1.0000213077 0.0000977214
2450715.0000000000 0.9999808966 0.0000977214
2450716.0000000000 0.9999331380 0.0000991909
2450717.0000000000 0.9999162388 0.0000962519
2450718.0000000000 0.9999897135 0.0000999256
2450719.0000000000 1.0000624535 0.0000962519
2450720.0000000000 1.0001065384 0.0000999256
2450721.0000000000 1.0001440105 0.0000962519
2450722.0000000000 1.0001366630 0.0000991909
2450723.0000000000 1.0001094774 0.0000984561
2450724.0000000000 1.0000991909 0.0000977214
2450725.0000000000 1.0001102121 0.0000999256
2450726.0000000000 1.0001271113 0.0000962519
2450727.0000000000 1.0001609097 0.0000999256
2450728.0000000000 1.0001947081 0.0000962519
2450729.0000000000 1.0002123420 0.0000999256
2450730.0000000000 1.0002299759 0.0000969867
2450731.0000000000 1.0002255674 0.0000991909
2450732.0000000000 1.0002101378 0.0000984561
2450733.0000000000 1.0001888301 0.0000969867
2450734.0000000000 1.0001542969 0.0000999256
2450735.0000000000 1.0001197638 0.0000962519
2450736.0000000000 1.0000771485 0.0001006604
2450737.0000000000 1.0000411459 0.0000962519
2450738.0000000000 1.0000529018 0.0000999256
2450739.0000000000 1.0000778832 0.0000969867
2450740.0000000000 1.0000925782 0.0000984561
2450741.0000000000 1.0001006604 0.0000991909
