# t_obs[JD] firstOrderFlux[norm] firstOrderFluxUnc[norm] centralOrderFlux[norm] centralOrderFluxUnc[norm]
2452349.0000000000 1.7567101762 0.0076462580 3.3629409892 1.1683176759
2452350.0000000000 1.7551833938 0.0086152886 3.9396782354 1.0229610387
2452351.0000000000 1.7448955847 0.0068195540 3.3363457764 0.4103885031
2452352.0000000000 1.7558535109 0.0132324623 3.8717521654 0.9990753944
2452353.0000000000 1.7580412638 0.0088974770 3.6186724591 0.6694880064
2452354.0000000000 1.7601094328 0.0057123991 3.6049848683 0.3854330797
2452355.0000000000 1.7555113929 0.0064547496 3.7145852133 0.4713128204
2452356.0000000000 1.7383456540 0.0105107389 3.9287072839 0.9765767059
2452357.0000000000 1.7156424456 0.0052902996 3.3881537064 0.1667894054
2452358.0000000000 1.7004417418 0.0055957041 3.4021732244 0.3672509205
2452359.0000000000 1.6782861849 0.0081156797 3.2690505839 0.1951489420
2452360.0000000000 1.6598065710 0.0052370374 3.0596299551 0.1480493277
2452361.0000000000 1.6717368899 0.0044678616 3.1565366571 0.1360317003
2452362.0000000000 1.6945698034 0.0036182664 3.4748938098 0.2285044444
2452363.0000000000 1.6875980063 0.0063126701 3.7972043529 0.3035459603
2452364.0000000000 1.6857795499 0.0052267890 4.1913235796 0.8226916592
2452365.0000000000 1.6689829380 0.0049555906 4.1622446846 0.3760648642
2452366.0000000000 1.6745441675 0.0033376036 3.6549899837 0.1527046025
2452367.0000000000 1.6573984876 0.0060714754 3.7536050727 0.3210277044
2452368.0000000000 1.6665995045 0.0052841689 3.5598525978 0.1678427965
2452369.0000000000 1.6703867322 0.0061588307 4.0604840843 0.6098825550
2452370.0000000000 1.7003744595 0.0110291637 3.9899112799 0.1826887477
2452371.0000000000 1.7272462911 0.0049903265 3.8710655441 0.2415872025
2452372.0000000000 1.7658796497 0.0113730263 4.2583819961 0.3630822305
2452373.0000000000 1.8018553182 0.0049758615 4.2187100184 0.2024861692
2452374.0000000000 1.8116035629 0.0081085813 4.4014334485 0.6137231222
2452375.0000000000 1.7937508122 0.0134357992 4.3887293597 1.2110687403
2452376.0000000000 1.7783302934 0.0066759136 3.9941111212 0.4059465429
2452377.0000000000 1.7747409924 0.0099501761 4.3439774072 0.8680039023
2452378.0000000000 1.8009259463 0.0124964120 4.1525104525 0.1810208146
2452379.0000000000 1.7972014946 0.0069876041 4.7049794277 0.6460444489
2452380.0000000000 1.7954825631 0.0118317193 4.8030207808 1.1507304482
2452381.0000000000 1.7733174995 0.0134489505 4.2676822443 0.6215153652
2452382.0000000000 1.7281027091 0.0128101932 4.7226811715 1.3774240523
2452383.0000000000 1.6772531139 0.0056038689 3.8619988580 0.3863907449
2452384.0000000000 1.6676027484 0.0026974125 3.5917602849 0.1513956253
2452385.0000000000 1.6638637611 0.0041923901 3.6728433300 0.1738387879
2452386.0000000000 2.9345853293 0.4047947518 5.9827191465 4.6710120264
2452387.0000000000 2.1917995077 0.2165434878 3.3479513287 0.1731104194
2452388.0000000000 1.7466149683 0.0315279011 3.2633169531 0.1070360363
2452389.0000000000 1.6933856688 0.0184544201 3.3545557743 0.2874264094
2452390.0000000000 1.6185185099 0.0103262107 2.9620530491 0.1554521411
2452391.0000000000 1.5939162350 0.0066148044 2.8378456426 0.1767976869
2452392.0000000000 1.5942405613 0.0037351239 2.9327303848 0.1889600030
2452393.0000000000 1.5847781848 0.0056339432 2.8101200719 0.1295804586
2452394.0000000000 1.5775114788 0.0055258226 3.1790353212 0.1686729042
2452395.0000000000 1.5885942155 0.0052573859 3.2792573885 0.2668405183
2452396.0000000000 1.6165594078 0.0058443573 3.1995716810 0.1209024698
2452397.0000000000 1.6523087422 0.0139045852 3.4588911488 0.5388211298
2452398.0000000000 1.6884917171 0.0056624354 3.5323939062 0.2100474527
2452399.0000000000 1.7122577035 0.0058275403 3.6396627982 0.2841747417
2452400.0000000000 1.7385668604 0.0058572190 3.4450968789 0.1418932433
2452401.0000000000 1.7386094786 0.0058278793 3.5670969833 0.2044725587
2452402.0000000000 1.7308840867 0.0082563960 3.7118920328 0.5261539983
2452403.0000000000 1.7265028811 0.0091491815 3.5288228184 0.2377735035
2452404.0000000000 1.7001589601 0.0033677486 3.4132500025 0.1290373368
2452405.0000000000 1.6942339009 0.0070613419 3.5251692641 0.2192530388
2452406.0000000000 1.6803296970 0.0072959539 3.4723001230 0.3328496748
2452407.0000000000 1.6658535731 0.0042424881 3.3916763764 0.1735969104
2452408.0000000000 1.6389019861 0.0104210528 3.3997520441 0.1410756263
2452409.0000000000 1.5989610032 0.0099138511 3.3823889155 0.1960067260
2452410.0000000000 1.5513375079 0.0060220626 3.3227912272 0.2992792814
2452411.0000000000 1.5237504902 0.0086046094 3.3649526219 0.4546755120
2452412.0000000000 1.5047287268 0.0059472371 3.3550400545 0.7092805828
2452413.0000000000 1.5072266729 0.0048087365 3.1049400055 0.2092464301
2452414.0000000000 1.5194530448 0.0076167487 3.1751204268 0.2460534980
2452415.0000000000 1.5444885153 0.0075645813 3.6227647986 1.2452603888
2452416.0000000000 1.5661159780 0.0085177626 3.3985989868 0.6505324946
2452417.0000000000 1.5925388776 0.0082068631 3.6903313586 0.7968587741
2452418.0000000000 1.6265686307 0.0618650779 2.9167816510 0.0838009631
2452419.0000000000 1.5923156018 0.0056435065 2.9890851545 0.2510860705
2452420.0000000000 1.6080959809 0.0060357366 3.1438522586 0.1278023403
2452421.0000000000 1.6347148296 0.0067508591 3.3174176477 0.1457306017
2452422.0000000000 1.6633786312 0.0087131184 3.8798440486 0.6326265293
2452423.0000000000 1.6804936083 0.0102939257 3.9910665163 0.1829886866
2452424.0000000000 1.6816242618 0.0034642293 4.0677683070 0.4547454540
2452425.0000000000 1.6711862154 0.0073813669 4.0834195232 0.6961055996
2452426.0000000000 1.6642271599 0.0053950722 3.6273388477 0.6838918810
2452427.0000000000 1.6527177328 0.0051642672 3.3272543883 0.2724544864
2452428.0000000000 1.6261267406 0.0114192608 3.4133644324 0.4615230889
2452429.0000000000 1.6007232027 0.0057876696 2.9310771742 0.1656909118
2452430.0000000000 1.5855126600 0.0046275704 2.8027648473 0.1393964850
2452431.0000000000 1.5637245986 0.0089824874 2.6986063429 0.2572061265
2452432.0000000000 1.5555453165 0.0052923831 2.5433403961 0.0588005813
2452433.0000000000 1.5547824975 0.0033576555 2.5953928937 0.0579183090
2452434.0000000000 1.5490824516 0.0028993863 2.6478822320 0.0621818880
2452435.0000000000 1.5523079935 0.0036621489 2.7021379590 0.1010338591
2452436.0000000000 1.5247043707 0.0075915267 2.8029494663 0.0685821276
2452437.0000000000 1.5050320618 0.0059368121 2.8626991720 0.1627937056
2452438.0000000000 1.4634649765 0.0088443915 2.5690379522 0.1018300886
2452439.0000000000 1.4261507760 0.0067869864 2.4191600088 0.0752660918
2452440.0000000000 1.4241620729 0.0034305104 2.4667369814 0.0940844633
2452441.0000000000 1.4226400510 0.0049356164 2.4818703892 0.1435396603
2452442.0000000000 1.4376129446 0.0057887573 2.4480325371 0.0898539471
2452443.0000000000 1.4540905416 0.0040769382 2.4375128262 0.1283273046
2452444.0000000000 1.4833396547 0.0071212080 2.4722258274 0.0441348602
2452445.0000000000 1.5052923408 0.0051924204 2.5494748757 0.1579548337
2452446.0000000000 1.5124841435 0.0029776515 2.6208076993 0.1767756298
2452447.0000000000 1.4962747149 0.0066455921 2.5057940739 0.1445775293
2452448.0000000000 1.5034490297 0.0066188162 2.4304777091 0.0958680968
2452449.0000000000 1.5129540031 0.0083680480 2.7086805862 0.9179870548
2452450.0000000000 1.5117943277 0.0054420271 2.4729199560 0.1226704616
2452451.0000000000 1.5001610154 0.0058990815 2.3876011671 0.0280395521
2452452.0000000000 1.4875192467 0.0050555251 2.4153790080 0.1820354751
2452453.0000000000 1.4744858059 0.0025401264 2.2653410254 0.0283608942
2452454.0000000000 1.4681957092 0.0026299537 2.3663027666 0.0755945880
2452455.0000000000 1.4717393267 0.0025210139 2.5451171526 0.0969760664
2452456.0000000000 1.4817716738 0.0029694725 2.8863069746 0.1971874785
2452457.0000000000 1.4814611204 0.0041866197 2.7905523794 0.1233673116
2452458.0000000000 1.4710761525 0.0039213401 2.7552776133 0.3354335427
2452459.0000000000 1.4886618579 0.0100175643 3.5760796579 1.6183333053
2452460.0000000000 1.4886914731 0.0064513876 3.0113386726 0.3331790420
2452461.0000000000 1.4555129256 0.0069601220 2.7625071476 0.5686319551
2452462.0000000000 1.4344476501 0.0039626940 2.5568412626 0.3537879726
2452463.0000000000 1.4313054022 0.0051827087 2.8661750021 0.7256319692
2452464.0000000000 1.4146093323 0.0039110211 2.4293158169 0.4696421088
2452465.0000000000 1.3994966688 0.0047372730 2.5809092653 0.2857868658
2452466.0000000000 1.3933288328 0.0031703940 2.2396951873 0.1185165337
2452467.0000000000 1.3975913939 0.0065620932 2.7928319262 0.8359280408
2452468.0000000000 1.3782970831 0.0063375460 2.3932947546 0.1615789061
2452469.0000000000 1.3849528389 0.0081017231 2.4316302732 0.3420089688
2452470.0000000000 1.4165445543 0.0064872818 2.4187589293 0.1348065834
2452471.0000000000 1.4491620305 0.0310774931 3.6161469783 2.4081378881
2452472.0000000000 1.4777620037 0.0124923013 3.1605752815 0.2998352477
2452473.0000000000 1.5082080567 0.0125365087 3.0468978225 1.0081742506
2452474.0000000000 1.4671072783 0.0151045834 3.0750084730 1.3111637153
2452475.0000000000 1.4675534486 0.0048027542 3.0160883695 0.2734206322
2452476.0000000000 1.4801108850 0.0137585081 4.5826962773 4.1383066475
2452477.0000000000 1.5000844100 0.0047122912 3.6649093148 0.7218462074
2452478.0000000000 1.5405039259 0.0097936457 3.4351769009 0.1955527832
2452479.0000000000 1.5662166329 0.0154907463 4.6528471619 3.3168078317
2452480.0000000000 1.5882912548 0.0073964676 4.1379629393 0.6263925745
2452481.0000000000 1.5977351120 0.0052088772 3.6816380922 0.2584635672
2452482.0000000000 1.6327381336 0.0171188405 5.2108296558 2.3996368193
2452483.0000000000 1.6317838081 0.0072353392 4.3821882710 1.0521903029
2452484.0000000000 1.6286595497 0.0092644357 4.1807671675 0.6625856557
2452485.0000000000 1.6285699272 0.0156337652 4.7722067911 1.4153786325
2452486.0000000000 1.5910711844 0.0049544676 3.9148154982 0.1741004926
2452487.0000000000 1.5693688114 0.0132858233 3.9260995351 0.4171160994
2452488.0000000000 1.5346745493 0.0071107759 3.9141354463 0.2531880410
2452489.0000000000 1.4989623875 0.0057580191 3.9687699511 0.3882054574
2452490.0000000000 1.4917416970 0.0082514377 3.9092404225 0.8068652676
2452491.0000000000 1.4698238881 0.0151071119 4.4256372812 2.7563718812
2452492.0000000000 1.4338367775 0.0061601444 3.0901568137 0.2908935336
2452493.0000000000 1.4193206770 0.0049721958 2.8543684507 0.3560661740
2452494.0000000000 1.4132735125 0.0063132422 2.7407961165 0.3216734674
2452495.0000000000 1.4120624607 0.0038100977 2.6208021205 0.1082746072
2452496.0000000000 1.4273937808 0.0052462688 2.7591893152 0.0914321307
2452497.0000000000 1.4601968093 0.0063606844 2.9941168857 0.1106394608
2452498.0000000000 1.5048077053 0.0180135330 3.3694184928 0.3427925328
2452499.0000000000 1.5565214597 0.0069786836 3.3340526280 0.1965407313
2452500.0000000000 1.5936578419 0.0132996739 3.6883705543 0.4345961577
2452501.0000000000 1.6371209424 0.0134596793 4.2120144812 1.2263757932
2452502.0000000000 1.6756706539 0.0085649011 3.7749469355 0.3307009221
2452503.0000000000 1.7101714037 0.0174363651 5.3243422918 2.2466784758
2452504.0000000000 1.7362808540 0.0092516657 4.3258510280 0.5206213107
2452505.0000000000 1.7783042804 0.0132628050 4.7990407652 0.7318820445
2452506.0000000000 1.7794002969 0.0080251672 4.4713545115 0.5242722350
2452507.0000000000 1.7642305925 0.0172052423 4.5921157270 0.5529476424
2452508.0000000000 1.7414339547 0.0081338386 4.8637525034 0.6597242307
2452509.0000000000 1.7357423561 0.0112904456 5.0706473507 1.0653565223
2452510.0000000000 1.6916867539 0.0198395044 5.4150220299 1.0338784800
2452511.0000000000 1.7600735528 0.0370889258 5.9024172702 3.6476786543
2452512.0000000000 1.5983165530 0.0223081531 3.4710280077 0.3347085468
2452513.0000000000 1.5265724942 0.0138996129 3.4113751953 0.7912393057
2452514.0000000000 1.4752893008 0.0100815410 2.9339308417 0.0935168632
2452515.0000000000 1.4539067126 0.0065478895 3.4073894201 0.4335898960
2452516.0000000000 1.4879735959 0.0181929546 3.9961371097 0.4467265233
2452517.0000000000 1.5203609381 0.0048611158 3.7275600622 0.8225599058
2452518.0000000000 1.5284374746 0.0043527204 3.7892249591 0.2610357906
2452519.0000000000 1.5377535196 0.0097269497 3.8701096818 0.2903351382
2452520.0000000000 1.5408841983 0.0072659503 3.2982675518 0.1610423212
2452521.0000000000 1.5523881516 0.0055035883 3.2984615893 0.2879529104
2452522.0000000000 1.5573637659 0.0079206488 3.1698150080 0.1140205943
2452523.0000000000 1.5897315788 0.0062652773 3.2918985209 0.3808343650
2452524.0000000000 1.6096345514 0.0048968970 3.4020802243 0.1767479578
2452525.0000000000 1.6437436080 0.0215738686 3.4546989678 0.1938232060
2452526.0000000000 1.6978140129 0.0118575134 3.6067166664 0.3327487486
2452527.0000000000 1.7300309035 0.0104762078 3.7466210709 0.4655470059
2452528.0000000000 1.7404455501 0.0067536490 3.8149713024 0.3742133668
2452529.0000000000 1.7576800615 0.0071567844 3.6841853282 0.4648253327
2452530.0000000000 1.7402391408 0.0053433710 3.4440238093 0.1813233351
2452531.0000000000 1.7314609650 0.0066493990 3.3571653601 0.1678764788
2452532.0000000000 1.7136890575 0.0037643718 3.6190671794 0.3960694390
2452533.0000000000 1.6906261654 0.0049861735 3.4886612894 0.2243929669
2452534.0000000000 1.6791798039 0.0061495216 3.6010195206 0.2941651553
2452535.0000000000 1.6780298825 0.0081411630 4.1487198978 0.7366156788
2452536.0000000000 1.6627091216 0.0097849441 3.5025867031 0.2845620393
2452537.0000000000 1.6132759633 0.0112222946 3.3090515921 0.2908203644
2452538.0000000000 1.5636465594 0.0097378056 3.2404627029 0.3404365846
2452539.0000000000 1.5246885637 0.0097156136 2.9347863016 0.1986497209
2452540.0000000000 1.4927809693 0.0029772489 2.6669053568 0.0903181138
2452541.0000000000 1.4782655044 0.0058568517 2.5642729164 0.1276402028
2452542.0000000000 1.4792098640 0.0029419480 2.6844738110 0.0973973046
2452543.0000000000 1.4744830231 0.0033128972 2.7770494437 0.1377530878
2452544.0000000000 1.4617312197 0.0070461141 2.7654541127 0.1642590899
2452545.0000000000 1.4643853219 0.0086403765 3.0900409834 0.5879934322
2452546.0000000000 1.4659566718 0.0067101621 2.8068687646 0.2246089457
2452547.0000000000 1.4467743309 0.0087487371 2.7842855006 0.4217442599
2452548.0000000000 1.4498396203 0.0062164013 2.6850659008 0.3117385360
2452549.0000000000 1.4316175519 0.0028189245 2.3750336018 0.0865981577
2452550.0000000000 1.4302916839 0.0038902911 2.4527434624 0.2199459508
2452551.0000000000 1.4458138112 0.0050108728 2.7260941607 0.2688621392
2452552.0000000000 1.4887103525 0.0103209276 3.5203212795 0.7574910586
2452553.0000000000 1.5108229521 0.0115060228 3.1012271260 0.8599497077
2452554.0000000000 1.5406640514 0.0091646848 2.7964028255 0.2349808453
2452555.0000000000 1.5637864706 0.0076315669 2.8264737964 0.2014304044
2452556.0000000000 1.5946120685 0.0057827749 2.8828900358 0.0855603059
2452557.0000000000 1.6017331494 0.0027645323 2.8884680106 0.0431614060
2452558.0000000000 1.6181972489 0.0063641877 2.9600910151 0.0848898873
2452559.0000000000 1.6407385520 0.0060181355 3.2270959904 0.2100202648
2452560.0000000000 1.6443620803 0.0039529400 3.1118118768 0.0704901782
2452561.0000000000 1.6330333532 0.0059983450 3.1358957650 0.2362718997
2452562.0000000000 1.6197891522 0.0112760371 4.0062121648 1.2757450938
2452563.0000000000 1.6087233103 0.0081575492 3.3618898587 0.3723679265
2452564.0000000000 1.5886381121 0.0076506794 3.3292112562 0.4233870768
2452565.0000000000 1.5921205709 0.0041266335 3.2982383364 0.1591395633
2452566.0000000000 1.5697801752 0.0098559768 3.2304144644 0.2202796448
2452567.0000000000 1.5447922246 0.0063288020 3.1749854029 0.3909048098
2452568.0000000000 1.5528682031 0.0077481913 4.0583307200 0.8777694987
2452569.0000000000 1.5337084285 0.0071887939 3.5223454359 0.3296969733
2452570.0000000000 1.4949756792 0.0088777077 3.0991067288 0.3055718966
2452571.0000000000 1.4660993870 0.0108291676 2.9965322421 0.4060559645
2452572.0000000000 1.4405260684 0.0050337711 2.5924407628 0.1436975196
2452573.0000000000 1.4447564223 0.0075941753 3.0019540835 0.7461172863
2452574.0000000000 1.4438088066 0.0053553287 2.7378599414 0.1374762081
2452575.0000000000 1.4614317976 0.0103417211 2.7249208810 0.1785323089
2452576.0000000000 1.4619910184 0.0047336356 2.8079094946 0.3220139230
2452577.0000000000 1.4819805058 0.0089620612 3.2392410940 0.4347943138
2452578.0000000000 1.5126675840 0.0074208208 3.4624955483 0.3595718194
2452579.0000000000 1.5488881412 0.0120974509 3.7087863368 0.8753159722
2452580.0000000000 1.5555365231 0.0042807554 3.0712884143 0.2233171034
2452581.0000000000 1.5587489985 0.0042212072 3.0127305618 0.2708714467
2452582.0000000000 1.5613502269 0.0068703370 3.0329748484 0.5133743286
2452583.0000000000 1.5698674316 0.0046331572 3.2028832612 0.3045501229
2452584.0000000000 1.5948336704 0.0100371288 3.0469157058 0.3631827943
2452585.0000000000 1.5967985924 0.0059188014 3.1557009328 0.3459004558
2452586.0000000000 1.5912748109 0.0061837772 3.1536604572 0.1808481989
2452587.0000000000 1.5973139731 0.0063196978 3.3215618100 0.3088865508
2452588.0000000000 1.6169784491 0.0179211700 3.9363597185 1.2387178138
2452589.0000000000 1.6764596414 0.0434825662 4.0887034506 0.8183934153
2452590.0000000000 1.6011016811 0.0091011601 4.4292297063 1.0381963737
