# date[JD] transmitted_flux_171[arb.units] transmitted_flux_171_unc[arb.units] transmitted_flux_195[arb.units] transmitted_flux_195_unc[arb.units] transmitted_flux_284[arb.units] transmitted_flux_284_unc[arb.units] transmitted_flux_304[arb.units] transmitted_flux_304_unc[arb.units] transmitted_flux_sumEITBands[arb.units] transmitted_flux_sumEITBands_unc[arb.units]
2.452716000000000000e+06 1.264509608438841372e-14 3.793528825316524275e-15 1.149847303623723160e-14 3.449541910871170348e-15 2.643699832587054623e-16 7.931099497761164114e-17 2.433947481927337567e-15 7.301842445782009939e-16 2.684188658581168998e-14 8.052565975743505101e-15
2.452717000000000000e+06 1.262064181925071820e-14 3.786192545775215616e-15 1.145658226514284700e-14 3.436974679542854179e-15 2.629484238817389832e-16 7.888452716452168756e-17 2.429666998366338528e-15 7.289000995099014796e-16 2.676983950664164049e-14 8.030951851992491200e-15
2.452718000000000000e+06 1.238102063412837818e-14 3.714306190238513768e-15 1.104768391993456218e-14 3.314305175980368812e-15 2.467088602804685273e-16 7.401265808414052616e-17 2.384938018312864778e-15 7.154814054938594531e-16 2.606035143265627736e-14 7.818105429796882893e-15
2.452719000000000000e+06 1.207036868584791186e-14 3.621110605754372769e-15 1.051766263170371406e-14 3.155298789511114534e-15 2.263882849123377627e-16 6.791648547370132880e-17 2.327781801700765379e-15 6.983345405102293375e-16 2.514220140416472995e-14 7.542660421249419301e-15
2.452720000000000000e+06 1.196621984020412629e-14 3.589865952061236781e-15 1.034059967753740749e-14 3.102179903261222246e-15 2.185691169475898771e-16 6.557073508427695820e-17 2.307793854819359995e-15 6.923381564458079592e-16 2.483318248950848256e-14 7.449954746852543822e-15
2.452721000000000000e+06 1.172429971102393206e-14 3.517289913307179461e-15 9.928051041520124593e-15 2.978415312456037615e-15 2.018423099413125404e-16 6.055269298239375720e-17 2.262526372924267507e-15 6.787579118772800944e-16 2.411671943540964013e-14 7.235015830622889830e-15
2.452722000000000000e+06 1.173416116711058506e-14 3.520248350133174966e-15 9.944542268583124616e-15 2.983362680574937543e-15 2.028982177568077305e-16 6.086946532704231916e-17 2.264685073237294079e-15 6.794055219711882236e-16 2.414628672668781085e-14 7.243886018006341992e-15
2.452723000000000000e+06 1.199792752121094423e-14 3.599378256363283427e-15 1.039452278390384408e-14 3.118356835171152671e-15 2.207948834780254539e-16 6.623846504340763616e-17 2.313754687537551083e-15 6.941264062612653840e-16 2.492699987613036411e-14 7.478099962839110178e-15
2.452724000000000000e+06 1.212351541154311080e-14 3.637054623462933083e-15 1.060817141555799633e-14 3.182451424667398900e-15 2.303937653288874465e-16 6.911812959866623147e-17 2.338003553850116387e-15 7.014010661550349753e-16 2.530008414628010663e-14 7.590025243884031673e-15
2.452725000000000000e+06 1.265759556491285733e-14 3.797278669473857672e-15 1.151928520164086889e-14 3.455785560492260746e-15 2.668554774022913799e-16 8.005664322068741151e-17 2.437555591954333983e-15 7.312666775863002541e-16 2.688129183591035168e-14 8.064387550773105504e-15
2.452726000000000000e+06 1.332717851083516864e-14 3.998153553250550118e-15 1.266177983465710312e-14 3.798533950397131410e-15 3.122502102772042993e-16 9.367506308316127255e-17 2.562105038334720388e-15 7.686315115004158600e-16 2.886331359410419181e-14 8.658994078231257859e-15
2.452727000000000000e+06 1.329308975055879284e-14 3.987926925167637537e-15 1.260422369513342049e-14 3.781267108540026464e-15 3.089484898976607265e-16 9.268454696929819330e-17 2.554948704232576852e-15 7.664846112697729374e-16 2.876121063982244801e-14 8.628363191946735033e-15
2.452728000000000000e+06 1.355133609124197525e-14 4.065400827372592260e-15 1.304431836082770523e-14 3.913295508248311410e-15 3.269913719629908903e-16 9.809741158889727449e-17 2.603423542176993963e-15 7.810270626530982086e-16 2.952606936620966287e-14 8.857820809862898229e-15
2.452729000000000000e+06 1.354908078082026656e-14 4.064724234246078865e-15 1.304086368987649553e-14 3.912259106962948975e-15 3.263387889651370760e-16 9.790163668954113020e-17 2.602592240521900459e-15 7.807776721565700590e-16 2.951887550018379884e-14 8.855662650055139337e-15
2.452730000000000000e+06 1.354218888154727362e-14 4.062656664464182245e-15 1.302889625440586610e-14 3.908668876321759199e-15 3.262292345334245864e-16 9.786877036002737840e-17 2.601607462630936857e-15 7.804822387892809389e-16 2.949892183311750314e-14 8.849676549935249995e-15
2.452731000000000000e+06 1.380731377199670559e-14 4.142194131599011204e-15 1.348161390876234297e-14 4.044484172628703681e-15 3.441936611032091171e-16 1.032580983309627549e-16 2.650920268431922845e-15 7.952760805295765183e-16 3.028404161029418304e-14 9.085212483088254281e-15
2.452732000000000000e+06 1.431318242791430300e-14 4.293954728374290425e-15 1.434476800234242005e-14 4.303430400702727278e-15 3.779071169008532279e-16 1.133721350702559437e-16 2.744527261042718858e-15 8.233581783128154207e-16 3.178038480820029572e-14 9.534115442460086824e-15
2.452733000000000000e+06 1.422926561644094613e-14 4.268779684932282576e-15 1.420153463423945861e-14 4.260460390271838845e-15 3.723810407308532102e-16 1.117143122192559483e-16 2.729202825982718876e-15 8.187608477948154261e-16 3.153238411739396869e-14 9.459715235218192500e-15
2.452734000000000000e+06 1.440676224733030164e-14 4.322028674199090019e-15 1.450465899831397891e-14 4.351397699494192727e-15 3.847366654538353519e-16 1.154209996361505809e-16 2.762393399112712610e-15 8.287180197338138225e-16 3.205855131021082309e-14 9.617565393063248506e-15
2.452735000000000000e+06 1.378156871626667066e-14 4.134470614880001040e-15 1.343667061749153332e-14 4.031001185247459365e-15 3.435897366907861638e-16 1.030769210072358615e-16 2.647070067904563200e-15 7.941210203713688810e-16 3.020889913835355028e-14 9.062669741506065085e-15
2.452736000000000000e+06 1.332811622982820346e-14 3.998434868948461511e-15 1.266307367989623187e-14 3.798922103968869089e-15 3.126123812078783585e-16 9.378371436236351000e-17 2.562519477903831082e-15 7.687558433711494034e-16 2.886632176883614512e-14 8.659896530650844166e-15
2.452737000000000000e+06 1.282197750006059694e-14 3.846593250018177978e-15 1.179996147222771942e-14 3.539988441668315036e-15 2.775693341451845678e-16 8.327080024355534323e-17 2.467774213268256938e-15 7.403322639804771800e-16 2.736728251970175180e-14 8.210184755910526487e-15
2.452738000000000000e+06 1.264445821892655663e-14 3.793337465677966674e-15 1.149778285233222775e-14 3.449334855699669034e-15 2.645938618297946917e-16 7.937815854893841736e-17 2.433986329628665231e-15 7.301958988885996678e-16 2.684082126271724671e-14 8.052246378815174014e-15
2.452739000000000000e+06 1.257470356452445566e-14 3.772411069357335436e-15 1.137792042901646718e-14 3.413376128704939838e-15 2.600983347990718323e-16 7.802950043972153245e-17 2.421218804073897951e-15 7.263656412221693852e-16 2.663394113241389035e-14 7.990182339724168053e-15
2.452740000000000000e+06 1.229458200050314882e-14 3.688374600150944174e-15 1.090040188487888682e-14 3.270120565463665888e-15 2.414755258302932589e-16 7.244265774908796040e-17 2.369400217032265205e-15 7.108200651096792460e-16 2.580585962824459682e-14 7.741757888473376836e-15
2.452741000000000000e+06 1.217787642537410589e-14 3.653362927612230977e-15 1.070152852697528369e-14 3.210458558092584790e-15 2.331899288570020415e-16 6.995697865710062970e-17 2.347385874829957503e-15 7.042157624489871326e-16 2.545998075603634616e-14 7.637994226810902901e-15
2.452742000000000000e+06 1.205485233099403437e-14 3.616455699298209996e-15 1.049198978540103988e-14 3.147596935620311571e-15 2.243279716566284699e-16 6.729839149698853849e-17 2.324076000822294034e-15 6.972228002466881510e-16 2.509524608887399651e-14 7.528573826662198639e-15
2.452743000000000000e+06 1.204187215128970296e-14 3.612561645386910413e-15 1.046989631315624655e-14 3.140968893946873886e-15 2.233944550584533642e-16 6.701833651753601913e-17 2.321617569512572007e-15 6.964852708537716020e-16 2.505678048901697202e-14 7.517034146705091920e-15
2.452744000000000000e+06 1.206303519805075838e-14 3.618910559415227042e-15 1.050600880986889281e-14 3.151802642960667134e-15 2.248029543103132431e-16 6.744088629309398525e-17 2.325533484926007123e-15 6.976600454778019790e-16 2.511938044715596777e-14 7.535814134146789068e-15
2.452745000000000000e+06 1.196066120429640900e-14 3.588198361288921912e-15 1.033095493356911939e-14 3.099286480070736528e-15 2.184231969925060567e-16 6.552695909775180960e-17 2.306949423113091899e-15 6.920848269339277275e-16 2.481698875797112352e-14 7.445096627391338002e-15
2.452746000000000000e+06 1.207890846477175016e-14 3.623672539431524258e-15 1.053322764542516981e-14 3.159968293627550705e-15 2.257138856287779673e-16 6.771416568863338772e-17 2.328349911305185035e-15 6.985049733915553134e-16 2.516619990713088075e-14 7.549859972139262962e-15
2.452747000000000000e+06 1.218151832274478264e-14 3.654455496823434477e-15 1.070482556326647900e-14 3.211447668979943859e-15 2.327977213315956032e-16 6.983931639947866864e-17 2.347578747273166997e-15 7.042736241819502963e-16 2.546672035461602247e-14 7.640016106384806426e-15
2.452748000000000000e+06 1.253006465405581699e-14 3.759019396216745571e-15 1.130250052227947596e-14 3.390750156683842236e-15 2.569963515654009386e-16 7.709890546962027170e-17 2.412838348947152983e-15 7.238515046841458556e-16 2.650239987684784840e-14 7.950719963054352628e-15
2.452750000000000000e+06 1.283402217201758655e-14 3.850206651605275650e-15 1.182090047568788668e-14 3.546270142706365530e-15 2.778932136050081826e-16 8.336796408150245971e-17 2.469613615269348323e-15 7.408840845808045165e-16 2.740242947657982722e-14 8.220728842973948797e-15
2.452751000000000000e+06 1.291411226783905430e-14 3.874233680351715974e-15 1.195702933144483689e-14 3.587108799433450594e-15 2.837820382640303509e-16 8.513461147920909295e-17 2.484894114198029491e-15 7.454682342594088868e-16 2.763981775174595345e-14 8.291945325523785719e-15
2.452752000000000000e+06 1.347407810334006486e-14 4.042223431002019615e-15 1.291270702841127721e-14 3.873812108523381901e-15 3.214213924000894848e-16 9.642641772002684052e-17 2.588778258553701775e-15 7.766334775661105128e-16 2.929698478270513239e-14 8.789095434811540348e-15
2.452753000000000000e+06 1.353262615144747522e-14 4.059787845434241935e-15 1.301201535405384695e-14 3.903604606216152666e-15 3.257552675946101652e-16 9.772658027838303478e-17 2.599986450508368117e-15 7.799959351525104745e-16 2.947038322360429607e-14 8.841114967081290083e-15
2.452754000000000000e+06 1.353529820059223495e-14 4.060589460177669697e-15 1.301717112895382752e-14 3.905151338686149517e-15 3.255364203049456354e-16 9.766092609148368814e-17 2.600137191111286300e-15 7.800411573333861070e-16 2.947814294096229756e-14 8.843442882288689268e-15
2.452755000000000000e+06 1.365008358983633944e-14 4.095025076950901832e-15 1.321312882060773806e-14 3.963938646182319998e-15 3.332917691304100428e-16 9.998753073912301531e-17 2.621481402825507966e-15 7.864444208476521531e-16 2.981798558239999807e-14 8.945395674719997529e-15
2.452756000000000000e+06 1.355437348738039760e-14 4.066312046214119281e-15 1.304939499152164673e-14 3.914818497456494177e-15 3.268259009448754316e-16 9.804777028346261467e-17 2.603702365964939051e-15 7.811107097894816759e-16 2.953429674581185473e-14 8.860289023743557995e-15
2.452757000000000000e+06 1.385644723634877887e-14 4.156934170904634449e-15 1.356376783406047643e-14 4.069130350218142772e-15 3.477056774072373759e-16 1.043117032221712103e-16 2.660225022916174958e-15 7.980675068748527043e-16 3.042814577073266916e-14 9.128443731219802011e-15
2.452758000000000000e+06 1.362419485931784055e-14 4.087258457795352638e-15 1.316802834692774079e-14 3.950408504078322238e-15 3.322771401685701779e-16 9.968314205057104105e-17 2.617283963533994973e-15 7.851851890601986693e-16 2.974178430994814688e-14 8.922535292984443119e-15
2.452759000000000000e+06 1.357659936249115084e-14 4.072979808747345882e-15 1.308774644145284313e-14 3.926323932435852938e-15 3.287010306583729168e-16 9.861030919751186271e-17 2.608127411725283483e-15 7.824382235175850842e-16 2.960117424632764716e-14 8.880352273898295410e-15
2.452760000000000000e+06 1.327345228206744818e-14 3.982035684620233982e-15 1.257075215122180888e-14 3.771225645366542980e-15 3.075314870839669545e-16 9.225944612519004691e-17 2.551226414770542942e-15 7.653679244311630797e-16 2.870296233514376602e-14 8.610888700543129176e-15
2.452761000000000000e+06 1.327867669234456684e-14 3.983603007703370053e-15 1.257971611468055545e-14 3.773914834404165214e-15 3.079568490580923424e-16 9.238705471742769038e-17 2.552259617970113622e-15 7.656778853910341457e-16 2.871860927405332747e-14 8.615582782215997609e-15
2.452762000000000000e+06 1.306351517105611732e-14 3.919054551316834880e-15 1.221171100902486577e-14 3.663513302707460992e-15 2.932468437068274262e-16 8.797405311204821059e-17 2.512187348539220890e-15 7.536562045617663657e-16 2.808066037232703372e-14 8.424198111698108538e-15
2.452763000000000000e+06 1.318532585579741845e-14 3.955597756739226323e-15 1.241931527493167053e-14 3.725794582479501159e-15 3.031572795928415492e-16 9.094718387785245489e-17 2.536146728822600841e-15 7.608440186467803313e-16 2.844394513914453038e-14 8.533183541743357852e-15
2.452764000000000000e+06 1.325082323506076244e-14 3.975246970518228574e-15 1.253170462284686849e-14 3.759511386854060548e-15 3.066915945316621737e-16 9.200747835949865456e-17 2.547582383105722742e-15 7.642747149317167240e-16 2.863680183554501836e-14 8.591040550663504563e-15
2.452765000000000000e+06 1.303587777262817011e-14 3.910763331788451664e-15 1.216530825606769640e-14 3.649592476820309708e-15 2.916214199348187745e-16 8.748642598044560769e-17 2.507196428145672837e-15 7.521589284437018512e-16 2.800000387677636399e-14 8.400001163032908880e-15
2.452766000000000000e+06 1.312579641461970463e-14 3.937738924385912176e-15 1.231851182746207150e-14 3.695553548238621135e-15 2.975198298074440148e-16 8.925594894223318471e-17 2.523836240186638862e-15 7.571508720559916389e-16 2.826566431207585777e-14 8.479699293622757963e-15
2.452767000000000000e+06 1.304177476989888188e-14 3.912532430969664721e-15 1.217522922030414274e-14 3.652568766091242663e-15 2.925571782989024936e-16 8.776715348967075053e-17 2.508746583818406483e-15 7.526239751455219250e-16 2.801830775232033369e-14 8.405492325696100737e-15
2.452768000000000000e+06 1.267697128327222535e-14 3.803091384981667448e-15 1.155184160423068636e-14 3.465552481269205830e-15 2.695155858825839365e-16 8.085467576477517602e-17 2.442280393920068201e-15 7.326841181760204209e-16 2.694060886730556587e-14 8.082182660191671340e-15
2.452769000000000000e+06 1.233651284879518935e-14 3.700953854638557751e-15 1.097191827000480389e-14 3.291575481001440143e-15 2.440876823665686265e-16 7.322630470997055098e-17 2.377009564918766283e-15 7.131028694756298257e-16 2.592952836608532924e-14 7.778858509825598456e-15
2.452770000000000000e+06 1.183619614004793122e-14 3.550858842014379287e-15 1.011866828355521813e-14 3.035600485066565044e-15 2.098838877080306679e-16 6.296516631240917570e-17 2.283715769413915725e-15 6.851147308241745991e-16 2.444846408072510018e-14 7.334539224217528476e-15
2.452771000000000000e+06 1.171985405996255808e-14 3.515956217988767502e-15 9.920653973472555514e-15 2.976196192041766891e-15 2.012999558439489066e-16 6.038998675318468677e-17 2.261504357384202488e-15 6.784513072152605294e-16 2.410331234666326782e-14 7.230993703998979399e-15
2.452772000000000000e+06 1.160605449706547303e-14 3.481816349119641989e-15 9.725934158656393069e-15 2.917780247596918079e-15 1.943676783678110069e-16 5.831030351034330454e-17 2.240978396354946577e-15 6.722935189064837563e-16 2.376733473044462206e-14 7.130200419133386302e-15
2.452773000000000000e+06 1.181685802390289845e-14 3.545057407170870009e-15 1.008613982417795120e-14 3.025841947253385439e-15 2.079039517226147424e-16 6.237118551678441779e-17 2.279570181764200689e-15 6.838710545292600883e-16 2.439047198156766319e-14 7.317141594470298956e-15
2.452774000000000000e+06 1.185399145628665235e-14 3.556197436885995390e-15 1.014931025640939309e-14 3.044793076922817848e-15 2.106931619894273810e-16 6.320794859682821678e-17 2.286700053881858546e-15 6.860100161645576625e-16 2.450069492856733004e-14 7.350208478570199326e-15
2.452775000000000000e+06 1.209582191948447609e-14 3.628746575845342826e-15 1.056147285741274715e-14 3.168441857223823671e-15 2.277215404633942500e-16 6.831646213901828734e-17 2.332200881998872314e-15 6.996602645996615365e-16 2.521721719935949039e-14 7.565165159807846802e-15
2.452776000000000000e+06 1.233633844422890098e-14 3.700901533268670766e-15 1.097220297087091087e-14 3.291660891261273181e-15 2.435088722625163261e-16 7.305266167875491263e-17 2.376514236999966772e-15 7.129542710999899132e-16 2.592856452436229923e-14 7.778569357308688823e-15
2.452777000000000000e+06 1.251622617302491806e-14 3.754867851907474944e-15 1.127918877281082618e-14 3.383756631843247460e-15 2.556251380028042745e-16 7.668754140084125523e-17 2.409909286018360932e-15 7.229727858055081217e-16 2.646094936985690328e-14 7.938284810957071301e-15
2.452778000000000000e+06 1.254897108182184258e-14 3.764691324546553090e-15 1.133461305128898140e-14 3.400383915386694420e-15 2.584863952107482276e-16 7.754591856322447815e-17 2.416525228244554054e-15 7.249575684733659007e-16 2.655859575656612602e-14 7.967578726969837174e-15
2.452779000000000000e+06 1.274734535826692229e-14 3.824203607480077160e-15 1.167266170183898892e-14 3.501798510551696676e-15 2.725881915490929521e-16 8.177645746472786344e-17 2.453960999854569508e-15 7.361882999563709116e-16 2.714655625150957347e-14 8.143966875452872672e-15
