# wavelength effectivearea_Al+1[cm^2] effectivearea_Al+2[cm^2] effectivearea_clear[cm^2]
1.750000000000000000e+02 1.799999999999999919e-06 8.320000000000000386e-07 3.499999999999999947e-06
1.800000000000000000e+02 1.839999999999999959e-06 8.430000000000000180e-07 3.599999999999999837e-06
1.850000000000000000e+02 2.030000000000000046e-06 9.069999999999999558e-07 3.980000000000000010e-06
1.900000000000000000e+02 2.190000000000000208e-06 9.810000000000000096e-07 4.359999999999999760e-06
1.950000000000000000e+02 2.529999999999999917e-06 1.089999999999999940e-06 5.000000000000000409e-06
2.000000000000000000e+02 2.709999999999999888e-06 1.150000000000000001e-06 5.499999999999999857e-06
2.050000000000000000e+02 3.000000000000000076e-06 1.230000000000000082e-06 6.160000000000000314e-06
2.100000000000000000e+02 3.390000000000000154e-06 1.329999999999999972e-06 7.029999999999999608e-06
2.150000000000000000e+02 3.559999999999999797e-06 1.379999999999999916e-06 7.710000000000000720e-06
2.200000000000000000e+02 4.210000000000000349e-06 1.540000000000000079e-06 9.120000000000000773e-06
2.250000000000000000e+02 4.809999999999999687e-06 1.680000000000000009e-06 1.069999999999999920e-05
2.300000000000000000e+02 5.409999999999999872e-06 1.870000000000000095e-06 1.250000000000000060e-05
2.350000000000000000e+02 6.860000000000000388e-06 2.190000000000000208e-06 1.590000000000000023e-05
2.400000000000000000e+02 8.529999999999999646e-06 2.640000000000000135e-06 2.019999999999999972e-05
2.450000000000000000e+02 1.049999999999999942e-05 3.180000000000000047e-06 2.599999999999999840e-05
2.500000000000000000e+02 1.540000000000000163e-05 4.380000000000000416e-06 3.889999999999999686e-05
2.550000000000000000e+02 2.720000000000000046e-05 7.179999999999999866e-06 6.870000000000000293e-05
2.600000000000000000e+02 5.560000000000000299e-05 1.439999999999999935e-05 1.459999999999999981e-04
2.650000000000000000e+02 1.369999999999999961e-04 3.479999999999999885e-05 3.739999999999999835e-04
2.700000000000000000e+02 3.970000000000000005e-04 9.540000000000000140e-05 1.080000000000000014e-03
2.750000000000000000e+02 8.390000000000000105e-04 1.949999999999999965e-04 2.249999999999999830e-03
2.800000000000000000e+02 1.119999999999999902e-03 2.480000000000000108e-04 3.069999999999999812e-03
2.850000000000000000e+02 5.810000000000000277e-04 1.269999999999999970e-04 1.670000000000000043e-03
2.900000000000000000e+02 9.200000000000000007e-05 2.000000000000000164e-05 2.680000000000000090e-04
2.950000000000000000e+02 6.139999999999999659e-06 1.250000000000000102e-06 1.769999999999999994e-05
3.000000000000000000e+02 9.900000000000000505e-07 1.869999999999999937e-07 2.820000000000000105e-06
3.050000000000000000e+02 5.220000000000000420e-07 9.509999999999999792e-08 1.529999999999999963e-06
