#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450334.000000 1360.782000 0.135000
2450335.000000 1360.825000 0.129000
2450336.000000 nan nan
2450337.000000 nan nan
2450338.000000 nan nan
2450339.000000 1360.826000 0.137000
2450340.000000 1360.794000 0.132000
2450341.000000 1360.723000 0.132000
2450342.000000 1360.721000 0.134000
2450343.000000 1360.776000 0.135000
2450344.000000 1360.815000 0.132000
2450345.000000 1360.831000 0.137000
2450346.000000 1360.844000 0.131000
2450347.000000 1360.888000 0.137000
2450348.000000 1360.928000 0.132000
2450349.000000 1360.943000 0.136000
2450350.000000 1360.945000 0.134000
2450351.000000 1360.944000 0.134000
2450352.000000 1360.942000 0.136000
2450353.000000 1360.944000 0.132000
2450354.000000 1360.966000 0.137000
2450355.000000 1360.976000 0.131000
2450356.000000 1360.923000 0.136000
2450357.000000 1360.856000 0.131000
2450358.000000 1360.831000 0.135000
2450359.000000 1360.822000 0.134000
2450360.000000 1360.801000 0.133000
2450361.000000 1360.767000 0.136000
2450362.000000 1360.737000 0.133000
2450363.000000 1360.739000 0.138000
2450364.000000 1360.737000 0.132000
2450365.000000 1360.754000 0.138000
2450366.000000 1360.766000 0.134000
2450367.000000 1360.749000 0.136000
2450368.000000 1360.711000 0.135000
2450369.000000 1360.699000 0.133000
2450370.000000 1360.724000 0.136000
2450371.000000 1360.752000 0.131000
2450372.000000 1360.808000 0.136000
2450373.000000 1360.858000 0.131000
2450374.000000 1360.873000 0.136000
2450375.000000 1360.873000 0.132000
2450376.000000 1360.861000 0.135000
2450377.000000 1360.836000 0.135000
2450378.000000 1360.828000 0.132000
2450379.000000 1360.849000 0.136000
2450380.000000 1360.868000 0.131000
2450381.000000 1360.901000 0.136000
2450382.000000 1360.926000 0.131000
2450383.000000 1360.928000 0.136000
2450384.000000 1360.919000 0.133000
2450385.000000 1360.884000 0.134000
2450386.000000 1360.826000 0.135000
2450387.000000 1360.792000 0.132000
2450388.000000 1360.804000 0.136000
2450389.000000 1360.811000 0.131000
2450390.000000 1360.811000 0.136000
2450391.000000 1360.803000 0.131000
2450392.000000 1360.805000 0.136000
2450393.000000 1360.805000 0.133000
2450394.000000 1360.803000 0.134000
2450395.000000 1360.801000 0.135000
2450396.000000 1360.805000 0.132000
2450397.000000 1360.843000 0.137000
2450398.000000 1360.878000 0.131000
2450399.000000 1360.932000 0.136000
2450400.000000 1360.988000 0.131000
2450401.000000 1361.025000 0.135000
2450402.000000 1361.056000 0.133000
2450403.000000 1361.071000 0.133000
2450404.000000 1361.073000 0.135000
2450405.000000 1361.071000 0.131000
2450406.000000 1361.063000 0.136000
