#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2452583.000000 1361.284000 0.139000
2452584.000000 1361.202000 0.138000
2452585.000000 1361.331000 0.142000
2452586.000000 1361.567000 0.139000
2452587.000000 1361.781000 0.135000
2452588.000000 1361.967000 0.136000
2452589.000000 1362.061000 0.134000
2452590.000000 1361.818000 0.142000
2452591.000000 1361.582000 0.142000
2452592.000000 1361.471000 0.152000
2452593.000000 1361.394000 0.155000
2452594.000000 1361.412000 0.164000
2452595.000000 1361.486000 0.173000
2452596.000000 1361.478000 0.169000
2452597.000000 1361.343000 0.153000
2452598.000000 1361.225000 0.138000
2452599.000000 1361.157000 0.142000
2452600.000000 1361.121000 0.138000
2452601.000000 1361.374000 0.139000
2452602.000000 1361.711000 0.134000
2452603.000000 1361.949000 0.135000
2452604.000000 1362.134000 0.137000
2452605.000000 1362.219000 0.139000
2452606.000000 1362.115000 0.144000
2452607.000000 1362.041000 0.139000
2452608.000000 1362.021000 0.141000
2452609.000000 1362.028000 0.134000
2452610.000000 1362.045000 0.139000
2452611.000000 1362.081000 0.135000
2452612.000000 1362.111000 0.137000
2452613.000000 1362.144000 0.141000
2452614.000000 1362.219000 0.137000
2452615.000000 1362.359000 0.139000
2452616.000000 1362.491000 0.133000
2452617.000000 1362.444000 0.138000
2452618.000000 1362.403000 0.132000
2452619.000000 1362.385000 0.137000
2452620.000000 1362.396000 0.135000
2452621.000000 1362.358000 0.135000
2452622.000000 1362.277000 0.137000
2452623.000000 1362.116000 0.134000
2452624.000000 1361.722000 0.139000
2452625.000000 1361.377000 0.134000
2452626.000000 1361.288000 0.142000
2452627.000000 1361.257000 0.142000
2452628.000000 1361.506000 0.141000
2452629.000000 1361.879000 0.135000
2452630.000000 1362.162000 0.135000
2452631.000000 1362.351000 0.138000
2452632.000000 1362.463000 0.135000
2452633.000000 1362.298000 0.138000
2452634.000000 1362.157000 0.132000
2452635.000000 1362.086000 0.141000
2452636.000000 1362.051000 0.141000
2452637.000000 1362.046000 0.142000
2452638.000000 1362.071000 0.137000
2452639.000000 1362.114000 0.135000
2452640.000000 1362.175000 0.141000
2452641.000000 1362.214000 0.136000
2452642.000000 1362.116000 0.138000
2452643.000000 1362.026000 0.131000
2452644.000000 1361.901000 0.136000
2452645.000000 1361.783000 0.132000
2452646.000000 1361.751000 0.135000
2452647.000000 1361.772000 0.135000
2452648.000000 1361.831000 0.133000
2452649.000000 1361.933000 0.137000
2452650.000000 1362.015000 0.133000
2452651.000000 1361.969000 0.139000
2452652.000000 1361.935000 0.134000
2452653.000000 1361.941000 0.139000
2452654.000000 1361.972000 0.137000
2452655.000000 1362.041000 0.141000
2452656.000000 1362.142000 0.142000
2452657.000000 1362.211000 0.141000
2452658.000000 1362.199000 0.144000
2452659.000000 1362.187000 0.138000
2452660.000000 1362.076000 0.141000
2452661.000000 1361.971000 0.133000
2452662.000000 1361.798000 0.137000
2452663.000000 1361.618000 0.133000
2452664.000000 1361.559000 0.135000
2452665.000000 1361.598000 0.136000
2452666.000000 1361.681000 0.132000
2452667.000000 1361.839000 0.137000
2452668.000000 1361.988000 0.132000
2452669.000000 1362.004000 0.138000
2452670.000000 1362.014000 0.132000
2452671.000000 1361.886000 0.137000
2452672.000000 1361.721000 0.136000
2452673.000000 1361.701000 0.137000
2452674.000000 1361.815000 0.137000
2452675.000000 1361.946000 0.133000
2452676.000000 1362.092000 0.139000
2452677.000000 1362.232000 0.134000
2452678.000000 1362.198000 0.141000
2452679.000000 1362.161000 0.135000
2452680.000000 1362.175000 0.138000
2452681.000000 1362.228000 0.135000
2452682.000000 1362.264000 0.133000
2452683.000000 1362.279000 0.136000
2452684.000000 1362.284000 0.132000
2452685.000000 1362.205000 0.141000
2452686.000000 1362.137000 0.141000
2452687.000000 1362.014000 0.147000
2452688.000000 1361.896000 0.144000
2452689.000000 1361.689000 0.149000
2452690.000000 1361.446000 0.151000
2452691.000000 1361.305000 0.152000
2452692.000000 1361.292000 0.161000
2452693.000000 1361.335000 0.163000
2452694.000000 1361.546000 0.178000
2452695.000000 1361.761000 0.186000
2452696.000000 1361.807000 0.193000
2452697.000000 1361.829000 0.193000
2452698.000000 1361.837000 0.193000
2452699.000000 1361.845000 0.191000
2452700.000000 1361.826000 0.181000
2452701.000000 1361.756000 0.165000
2452702.000000 1361.708000 0.148000
2452703.000000 1361.695000 0.145000
2452704.000000 1361.696000 0.136000
2452705.000000 1361.696000 0.141000
2452706.000000 1361.707000 0.138000
2452707.000000 1361.685000 0.141000
2452708.000000 1361.644000 0.138000
2452709.000000 1361.534000 0.135000
2452710.000000 1361.291000 0.141000
2452711.000000 1361.064000 0.137000
2452712.000000 1360.912000 0.142000
2452713.000000 1360.781000 0.136000
2452714.000000 1360.891000 0.141000
2452715.000000 1361.072000 0.138000
2452716.000000 1361.234000 0.139000
2452717.000000 1361.386000 0.141000
2452718.000000 1361.483000 0.138000
2452719.000000 1361.461000 0.141000
2452720.000000 1361.456000 0.135000
2452721.000000 1361.524000 0.142000
2452722.000000 1361.603000 0.138000
2452723.000000 1361.527000 0.142000
2452724.000000 1361.401000 0.138000
2452725.000000 1361.274000 0.137000
2452726.000000 1361.141000 0.137000
2452727.000000 1361.059000 0.133000
2452728.000000 1361.095000 0.138000
2452729.000000 1361.147000 0.134000
2452730.000000 1361.259000 0.142000
2452731.000000 1361.382000 0.142000
2452732.000000 1361.446000 0.151000
2452733.000000 1361.492000 0.156000
2452734.000000 1361.506000 0.158000
2452735.000000 1361.482000 0.158000
2452736.000000 1361.447000 0.152000
2452737.000000 1361.367000 0.151000
2452738.000000 1361.293000 0.142000
2452739.000000 1361.245000 0.141000
2452740.000000 1361.209000 0.135000
2452741.000000 1361.283000 0.138000
2452742.000000 1361.413000 0.137000
2452743.000000 1361.501000 0.134000
2452744.000000 1361.534000 0.141000
2452745.000000 1361.563000 0.147000
2452746.000000 1361.557000 0.151000
2452747.000000 1361.561000 0.143000
2452748.000000 1361.586000 0.151000
2452749.000000 1361.623000 0.151000
2452750.000000 1361.618000 0.159000
2452751.000000 1361.594000 0.165000
2452752.000000 1361.569000 0.162000
2452753.000000 1361.534000 0.153000
2452754.000000 1361.481000 0.142000
2452755.000000 1361.368000 0.142000
2452756.000000 1361.251000 0.135000
2452757.000000 1361.038000 0.141000
2452758.000000 1360.796000 0.137000
2452759.000000 1360.606000 0.141000
2452760.000000 1360.444000 0.143000
2452761.000000 1360.416000 0.141000
2452762.000000 1360.642000 0.143000
2452763.000000 1360.854000 0.137000
2452764.000000 1361.038000 0.148000
2452765.000000 1361.207000 0.167000
2452766.000000 1361.237000 0.188000
2452767.000000 1361.227000 0.202000
2452768.000000 1361.265000 0.219000
2452769.000000 1361.347000 0.237000
2452770.000000 1361.401000 0.256000
2452771.000000 1361.403000 0.279000
2452772.000000 1361.412000 0.296000
2452773.000000 1361.438000 0.281000
2452774.000000 1361.477000 0.261000
2452775.000000 1361.571000 0.227000
2452776.000000 1361.692000 0.191000
2452777.000000 1361.768000 0.169000
2452778.000000 1361.795000 0.162000
2452779.000000 1361.836000 0.151000
2452780.000000 1361.887000 0.148000
2452781.000000 1361.942000 0.139000
2452782.000000 1361.922000 0.145000
2452783.000000 1361.899000 0.143000
2452784.000000 1361.709000 0.149000
2452785.000000 1361.456000 0.149000
2452786.000000 1361.293000 0.152000
2452787.000000 1361.222000 0.162000
2452788.000000 1361.211000 0.165000
2452789.000000 1361.357000 0.169000
2452790.000000 1361.491000 0.165000
2452791.000000 1361.451000 0.165000
2452792.000000 1361.381000 0.161000
2452793.000000 1361.265000 0.168000
2452794.000000 1361.131000 0.178000
2452795.000000 1360.961000 0.185000
2452796.000000 1360.741000 0.191000
2452797.000000 1360.521000 0.193000
2452798.000000 1360.317000 0.208000
2452799.000000 1360.134000 0.217000
2452800.000000 1360.276000 0.209000
2452801.000000 1360.481000 0.196000
2452802.000000 1360.822000 0.186000
2452803.000000 1361.248000 0.173000
2452804.000000 1361.561000 0.169000
2452805.000000 1361.705000 0.182000
2452806.000000 1361.815000 0.187000
2452807.000000 1361.753000 0.186000
2452808.000000 1361.681000 0.175000
2452809.000000 1361.483000 0.166000
2452810.000000 1361.259000 0.151000
2452811.000000 1361.187000 0.146000
2452812.000000 1361.215000 0.144000
2452813.000000 1361.257000 0.141000
2452814.000000 1361.323000 0.144000
2452815.000000 1361.385000 0.139000
2452816.000000 1361.406000 0.142000
2452817.000000 1361.423000 0.136000
2452818.000000 1361.341000 0.142000
2452819.000000 1361.231000 0.142000
2452820.000000 nan nan
2452821.000000 nan nan
2452822.000000 1360.969000 0.204000
2452823.000000 1360.925000 0.188000
2452824.000000 1360.878000 0.167000
2452825.000000 1360.898000 0.154000
2452826.000000 1360.971000 0.143000
2452827.000000 1361.187000 0.145000
2452828.000000 1361.456000 0.142000
2452829.000000 1361.616000 0.146000
2452830.000000 1361.676000 0.154000
2452831.000000 1361.709000 0.155000
2452832.000000 1361.661000 0.155000
2452833.000000 1361.622000 0.145000
2452834.000000 1361.584000 0.143000
2452835.000000 1361.551000 0.134000
2452836.000000 1361.389000 0.136000
2452837.000000 1361.177000 0.134000
2452838.000000 1360.949000 0.133000
2452839.000000 1360.702000 0.136000
2452840.000000 1360.567000 0.131000
2452841.000000 1360.765000 0.137000
2452842.000000 1360.981000 0.133000
2452843.000000 1361.252000 0.139000
2452844.000000 1361.533000 0.135000
2452845.000000 1361.616000 0.138000
2452846.000000 1361.609000 0.136000
2452847.000000 1361.578000 0.135000
2452848.000000 1361.511000 0.139000
2452849.000000 1361.461000 0.136000
2452850.000000 1361.437000 0.141000
2452851.000000 1361.422000 0.137000
2452852.000000 1361.401000 0.141000
2452853.000000 1361.385000 0.136000
2452854.000000 1361.277000 0.138000
2452855.000000 1361.118000 0.139000
2452856.000000 1360.972000 0.138000
2452857.000000 1360.838000 0.141000
2452858.000000 1360.757000 0.134000
2452859.000000 1360.883000 0.141000
2452860.000000 1361.033000 0.136000
2452861.000000 1361.263000 0.141000
2452862.000000 1361.519000 0.141000
2452863.000000 1361.528000 0.143000
2452864.000000 1361.375000 0.143000
2452865.000000 1361.277000 0.141000
2452866.000000 1361.263000 0.143000
2452867.000000 1361.294000 0.138000
2452868.000000 1361.491000 0.143000
2452869.000000 1361.701000 0.137000
2452870.000000 1361.676000 0.141000
2452871.000000 1361.587000 0.138000
2452872.000000 1361.472000 0.139000
2452873.000000 1361.339000 0.138000
2452874.000000 1361.297000 0.133000
2452875.000000 1361.433000 0.137000
2452876.000000 1361.566000 0.133000
2452877.000000 1361.601000 0.138000
2452878.000000 1361.636000 0.133000
2452879.000000 1361.681000 0.138000
2452880.000000 1361.742000 0.137000
2452881.000000 1361.798000 0.139000
2452882.000000 1361.851000 0.142000
2452883.000000 1361.865000 0.138000
2452884.000000 1361.756000 0.141000
2452885.000000 1361.673000 0.135000
2452886.000000 1361.691000 0.142000
2452887.000000 1361.739000 0.141000
2452888.000000 1361.788000 0.145000
2452889.000000 1361.849000 0.144000
2452890.000000 1361.788000 0.145000
2452891.000000 1361.588000 0.148000
2452892.000000 1361.451000 0.145000
2452893.000000 1361.461000 0.146000
2452894.000000 1361.496000 0.137000
2452895.000000 1361.584000 0.139000
2452896.000000 1361.691000 0.132000
2452897.000000 1361.663000 0.135000
2452898.000000 1361.573000 0.134000
2452899.000000 1361.542000 0.133000
2452900.000000 1361.582000 0.136000
2452901.000000 1361.621000 0.132000
2452902.000000 1361.631000 0.138000
2452903.000000 1361.642000 0.132000
2452904.000000 1361.526000 0.137000
2452905.000000 1361.368000 0.136000
2452906.000000 1361.259000 0.141000
2452907.000000 1361.181000 0.144000
2452908.000000 1361.167000 0.144000
2452909.000000 1361.251000 0.147000
2452910.000000 1361.357000 0.143000
2452911.000000 1361.541000 0.149000
2452912.000000 1361.725000 0.146000
2452913.000000 1361.741000 0.151000
2452914.000000 1361.719000 0.148000
2452915.000000 1361.667000 0.146000
2452916.000000 1361.596000 0.141000
2452917.000000 1361.536000 0.136000
2452918.000000 1361.486000 0.141000
2452919.000000 1361.468000 0.134000
2452920.000000 1361.552000 0.139000
2452921.000000 1361.656000 0.134000
2452922.000000 1361.711000 0.138000
2452923.000000 1361.763000 0.135000
2452924.000000 1361.731000 0.136000
2452925.000000 1361.636000 0.136000
2452926.000000 1361.586000 0.133000
2452927.000000 1361.611000 0.137000
2452928.000000 1361.638000 0.132000
2452929.000000 1361.606000 0.137000
2452930.000000 1361.557000 0.132000
2452931.000000 1361.197000 0.136000
2452932.000000 1360.719000 0.134000
2452933.000000 1360.261000 0.134000
2452934.000000 1359.809000 0.138000
2452935.000000 1359.415000 0.136000
2452936.000000 1359.201000 0.141000
2452937.000000 1358.983000 0.135000
2452938.000000 1358.965000 0.141000
2452939.000000 1358.959000 0.135000
2452940.000000 1359.151000 0.143000
2452941.000000 1359.349000 0.147000
2452942.000000 1359.501000 0.143000
2452943.000000 1359.661000 0.138000
2452944.000000 1360.032000 0.141000
2452945.000000 1360.717000 0.143000
2452946.000000 1361.364000 0.136000
2452947.000000 1361.685000 0.141000
2452948.000000 1361.945000 0.135000
2452949.000000 1361.895000 0.137000
2452950.000000 1361.701000 0.136000
2452951.000000 1361.548000 0.135000
2452952.000000 1361.436000 0.141000
2452953.000000 1361.371000 0.136000
2452954.000000 1361.421000 0.139000
2452955.000000 1361.484000 0.132000
2452956.000000 1361.496000 0.137000
2452957.000000 1361.504000 0.134000
2452958.000000 1361.436000 0.137000
2452959.000000 1361.327000 0.139000
2452960.000000 1361.255000 0.137000
2452961.000000 1361.235000 0.138000
2452962.000000 1361.213000 0.133000
2452963.000000 1361.172000 0.138000
2452964.000000 1361.131000 0.133000
2452965.000000 1361.092000 0.139000
2452966.000000 1361.054000 0.135000
2452967.000000 1361.097000 0.137000
2452968.000000 1361.194000 0.138000
2452969.000000 1361.357000 0.137000
2452970.000000 1361.632000 0.144000
2452971.000000 1361.896000 0.142000
2452972.000000 1362.051000 0.148000
2452973.000000 1362.195000 0.144000
2452974.000000 1362.062000 0.146000
2452975.000000 1361.857000 0.142000
2452976.000000 1361.672000 0.138000
2452977.000000 1361.501000 0.136000
2452978.000000 1361.375000 0.132000
2452979.000000 1361.327000 0.137000
2452980.000000 1361.297000 0.131000
2452981.000000 1361.321000 0.138000
2452982.000000 1361.354000 0.134000
2452983.000000 1361.354000 0.138000
2452984.000000 1361.345000 0.137000
2452985.000000 1361.299000 0.141000
2452986.000000 1361.211000 0.149000
2452987.000000 1361.184000 0.151000
2452988.000000 1361.298000 0.148000
2452989.000000 1361.429000 0.139000
2452990.000000 1361.599000 0.144000
2452991.000000 1361.782000 0.141000
2452992.000000 1361.828000 0.145000
2452993.000000 1361.827000 0.146000
2452994.000000 1361.776000 0.143000
2452995.000000 1361.667000 0.138000
2452996.000000 1361.576000 0.131000
2452997.000000 1361.504000 0.137000
2452998.000000 1361.466000 0.132000
2452999.000000 1361.587000 0.141000
2453000.000000 1361.748000 0.143000
2453001.000000 1361.837000 0.151000
2453002.000000 1361.901000 0.152000
2453003.000000 1361.867000 0.153000
2453004.000000 1361.722000 0.154000
2453005.000000 1361.569000 0.147000
2453006.000000 1361.344000 0.146000
2453007.000000 1361.117000 0.137000
2453008.000000 1360.881000 0.141000
2453009.000000 1360.637000 0.136000
2453010.000000 1360.505000 0.137000
2453011.000000 1360.415000 0.135000
2453012.000000 1360.421000 0.134000
2453013.000000 1360.577000 0.137000
2453014.000000 1360.747000 0.133000
2453015.000000 1360.993000 0.139000
2453016.000000 1361.237000 0.134000
2453017.000000 1361.423000 0.138000
2453018.000000 1361.599000 0.135000
2453019.000000 1361.679000 0.137000
2453020.000000 1361.699000 0.137000
2453021.000000 1361.686000 0.135000
2453022.000000 1361.599000 0.139000
2453023.000000 1361.541000 0.135000
2453024.000000 1361.576000 0.145000
2453025.000000 1361.637000 0.152000
2453026.000000 1361.777000 0.151000
2453027.000000 1361.956000 0.143000
2453028.000000 1361.962000 0.147000
2453029.000000 1361.832000 0.156000
2453030.000000 1361.695000 0.158000
2453031.000000 1361.516000 0.156000
2453032.000000 1361.369000 0.146000
2453033.000000 1361.359000 0.149000
2453034.000000 1361.373000 0.147000
2453035.000000 1361.361000 0.151000
2453036.000000 1361.341000 0.147000
2453037.000000 1361.325000 0.152000
2453038.000000 1361.311000 0.167000
2453039.000000 1361.271000 0.173000
2453040.000000 1361.167000 0.173000
2453041.000000 1361.078000 0.167000
2453042.000000 1361.082000 0.173000
2453043.000000 1361.107000 0.175000
2453044.000000 1361.237000 0.169000
2453045.000000 1361.418000 0.154000
2453046.000000 1361.522000 0.146000
2453047.000000 1361.541000 0.145000
2453048.000000 1361.571000 0.138000
2453049.000000 1361.616000 0.141000
2453050.000000 1361.671000 0.137000
2453051.000000 1361.715000 0.141000
2453052.000000 1361.768000 0.136000
2453053.000000 1361.771000 0.138000
2453054.000000 1361.755000 0.138000
2453055.000000 1361.682000 0.137000
2453056.000000 1361.526000 0.141000
2453057.000000 1361.349000 0.139000
2453058.000000 1361.081000 0.141000
2453059.000000 1360.812000 0.133000
2453060.000000 1360.639000 0.137000
2453061.000000 1360.481000 0.133000
2453062.000000 1360.611000 0.136000
2453063.000000 1360.911000 0.137000
2453064.000000 1361.131000 0.137000
2453065.000000 1361.238000 0.144000
2453066.000000 1361.302000 0.145000
2453067.000000 1361.197000 0.151000
2453068.000000 1361.092000 0.148000
2453069.000000 1361.133000 0.154000
2453070.000000 1361.217000 0.156000
2453071.000000 1361.204000 0.161000
2453072.000000 1361.128000 0.164000
2453073.000000 1361.028000 0.161000
2453074.000000 1360.878000 0.153000
2453075.000000 1360.771000 0.141000
2453076.000000 1360.884000 0.142000
2453077.000000 1361.024000 0.134000
2453078.000000 1361.221000 0.138000
2453079.000000 1361.437000 0.136000
2453080.000000 1361.541000 0.137000
2453081.000000 1361.558000 0.138000
2453082.000000 1361.559000 0.134000
2453083.000000 1361.513000 0.138000
2453084.000000 1361.469000 0.132000
2453085.000000 1361.378000 0.137000
2453086.000000 1361.282000 0.132000
2453087.000000 1361.291000 0.137000
2453088.000000 1361.344000 0.137000
2453089.000000 1361.419000 0.138000
2453090.000000 1361.521000 0.139000
2453091.000000 1361.551000 0.136000
2453092.000000 1361.389000 0.141000
2453093.000000 1361.234000 0.135000
2453094.000000 1361.131000 0.139000
2453095.000000 1361.041000 0.132000
2453096.000000 1361.078000 0.138000
2453097.000000 1361.169000 0.144000
2453098.000000 1361.267000 0.149000
2453099.000000 1361.371000 0.154000
2453100.000000 1361.446000 0.151000
2453101.000000 1361.421000 0.149000
2453102.000000 1361.392000 0.141000
2453103.000000 1361.339000 0.143000
2453104.000000 1361.287000 0.138000
2453105.000000 1361.319000 0.139000
2453106.000000 1361.398000 0.137000
2453107.000000 1361.442000 0.135000
2453108.000000 1361.438000 0.139000
2453109.000000 1361.439000 0.135000
2453110.000000 1361.439000 0.141000
2453111.000000 1361.444000 0.135000
2453112.000000 1361.426000 0.139000
2453113.000000 1361.406000 0.141000
2453114.000000 1361.314000 0.142000
2453115.000000 1361.179000 0.139000
2453116.000000 1361.117000 0.138000
2453117.000000 nan nan
2453118.000000 nan nan
2453119.000000 nan nan
2453120.000000 nan nan
2453121.000000 nan nan
2453122.000000 1361.213000 0.141000
2453123.000000 1361.245000 0.136000
2453124.000000 1361.279000 0.136000
2453125.000000 1361.301000 0.133000
2453126.000000 1361.299000 0.139000
2453127.000000 1361.299000 0.139000
2453128.000000 1361.293000 0.141000
2453129.000000 1361.289000 0.133000
2453130.000000 1361.259000 0.138000
2453131.000000 1361.223000 0.137000
2453132.000000 1361.241000 0.138000
2453133.000000 1361.303000 0.137000
2453134.000000 1361.337000 0.133000
2453135.000000 1361.311000 0.137000
2453136.000000 1361.267000 0.132000
2453137.000000 1361.134000 0.138000
2453138.000000 1360.991000 0.133000
2453139.000000 1360.861000 0.139000
2453140.000000 1360.733000 0.144000
2453141.000000 1360.746000 0.148000
2453142.000000 1360.894000 0.146000
2453143.000000 1361.042000 0.141000
2453144.000000 1361.201000 0.147000
2453145.000000 1361.329000 0.143000
2453146.000000 1361.261000 0.141000
2453147.000000 1361.161000 0.134000
2453148.000000 1361.054000 0.138000
2453149.000000 1360.941000 0.135000
2453150.000000 1360.911000 0.133000
2453151.000000 1360.972000 0.136000
2453152.000000 1361.042000 0.132000
2453153.000000 1361.144000 0.137000
2453154.000000 1361.242000 0.132000
2453155.000000 1361.279000 0.137000
2453156.000000 1361.305000 0.133000
2453157.000000 1361.271000 0.137000
2453158.000000 1361.207000 0.136000
2453159.000000 1361.191000 0.133000
2453160.000000 1361.237000 0.136000
2453161.000000 1361.281000 0.131000
2453162.000000 1361.308000 0.137000
2453163.000000 1361.332000 0.133000
2453164.000000 1361.287000 0.139000
2453165.000000 1361.228000 0.136000
2453166.000000 1361.177000 0.141000
2453167.000000 1361.128000 0.148000
2453168.000000 1361.112000 0.151000
2453169.000000 1361.145000 0.147000
2453170.000000 1361.153000 0.139000
2453171.000000 1361.063000 0.141000
2453172.000000 1360.953000 0.134000
2453173.000000 1360.744000 0.138000
2453174.000000 1360.501000 0.139000
2453175.000000 1360.404000 0.145000
2453176.000000 1360.407000 0.152000
2453177.000000 1360.527000 0.157000
2453178.000000 1360.881000 0.167000
2453179.000000 1361.217000 0.167000
2453180.000000 1361.474000 0.161000
2453181.000000 1361.709000 0.146000
2453182.000000 1361.636000 0.144000
2453183.000000 1361.469000 0.138000
2453184.000000 1361.355000 0.137000
2453185.000000 1361.273000 0.136000
2453186.000000 1361.211000 0.133000
2453187.000000 1361.185000 0.141000
2453188.000000 1361.165000 0.137000
2453189.000000 1361.158000 0.144000
2453190.000000 1361.154000 0.139000
2453191.000000 1361.151000 0.141000
2453192.000000 1361.145000 0.136000
2453193.000000 1361.113000 0.135000
2453194.000000 1361.053000 0.137000
2453195.000000 1361.008000 0.133000
2453196.000000 1360.998000 0.138000
2453197.000000 1361.001000 0.132000
2453198.000000 1361.098000 0.137000
2453199.000000 1361.208000 0.132000
2453200.000000 1361.199000 0.136000
2453201.000000 1361.141000 0.135000
2453202.000000 1360.993000 0.135000
2453203.000000 1360.742000 0.137000
2453204.000000 1360.478000 0.132000
2453205.000000 1360.185000 0.137000
2453206.000000 1359.884000 0.132000
2453207.000000 1359.682000 0.137000
2453208.000000 1359.477000 0.133000
2453209.000000 1359.538000 0.136000
2453210.000000 1359.713000 0.134000
2453211.000000 1359.989000 0.133000
2453212.000000 1360.421000 0.136000
2453213.000000 1360.767000 0.132000
2453214.000000 1360.891000 0.138000
2453215.000000 1360.982000 0.133000
2453216.000000 1360.981000 0.139000
2453217.000000 1360.953000 0.135000
2453218.000000 1360.938000 0.137000
2453219.000000 1360.928000 0.137000
2453220.000000 1360.913000 0.135000
2453221.000000 1360.891000 0.138000
2453222.000000 1360.893000 0.132000
2453223.000000 1361.004000 0.137000
2453224.000000 1361.108000 0.132000
2453225.000000 1361.052000 0.137000
2453226.000000 1360.948000 0.134000
2453227.000000 1360.712000 0.136000
2453228.000000 1360.377000 0.138000
2453229.000000 1360.182000 0.136000
2453230.000000 1360.256000 0.137000
2453231.000000 1360.357000 0.132000
2453232.000000 1360.629000 0.137000
2453233.000000 1360.895000 0.132000
2453234.000000 1360.955000 0.136000
2453235.000000 1360.945000 0.133000
2453236.000000 1360.912000 0.135000
2453237.000000 1360.861000 0.141000
2453238.000000 1360.846000 0.141000
2453239.000000 1360.918000 0.144000
2453240.000000 1360.982000 0.136000
2453241.000000 1361.021000 0.139000
2453242.000000 1361.055000 0.132000
2453243.000000 1361.127000 0.136000
2453244.000000 1361.217000 0.133000
2453245.000000 1361.255000 0.134000
2453246.000000 nan nan
2453247.000000 1361.223000 0.134000
2453248.000000 1361.149000 0.138000
2453249.000000 1361.094000 0.133000
2453250.000000 1361.167000 0.138000
2453251.000000 1361.261000 0.133000
2453252.000000 1361.267000 0.136000
2453253.000000 1361.235000 0.134000
2453254.000000 1361.174000 0.133000
2453255.000000 1361.079000 0.137000
2453256.000000 1361.054000 0.133000
2453257.000000 1361.235000 0.137000
2453258.000000 1361.421000 0.131000
2453259.000000 1361.531000 0.137000
2453260.000000 1361.629000 0.135000
2453261.000000 1361.536000 0.137000
2453262.000000 1361.348000 0.136000
2453263.000000 1361.263000 0.135000
2453264.000000 1361.311000 0.138000
2453265.000000 1361.347000 0.134000
2453266.000000 1361.325000 0.138000
2453267.000000 1361.297000 0.134000
2453268.000000 1361.201000 0.139000
2453269.000000 1361.092000 0.134000
2453270.000000 1361.084000 0.136000
2453271.000000 1361.137000 0.136000
2453272.000000 1361.198000 0.134000
2453273.000000 1361.277000 0.138000
2453274.000000 1361.331000 0.134000
2453275.000000 1361.279000 0.141000
2453276.000000 1361.227000 0.135000
2453277.000000 1361.261000 0.141000
2453278.000000 1361.321000 0.139000
2453279.000000 1361.364000 0.143000
2453280.000000 1361.399000 0.143000
2453281.000000 1361.409000 0.139000
2453282.000000 1361.364000 0.139000
2453283.000000 1361.348000 0.133000
2453284.000000 1361.451000 0.141000
2453285.000000 1361.567000 0.141000
2453286.000000 1361.537000 0.146000
2453287.000000 1361.466000 0.142000
2453288.000000 1361.402000 0.143000
2453289.000000 1361.347000 0.145000
2453290.000000 1361.312000 0.141000
2453291.000000 1361.321000 0.141000
2453292.000000 1361.327000 0.132000
2453293.000000 1361.293000 0.138000
2453294.000000 1361.255000 0.133000
2453295.000000 1361.201000 0.137000
2453296.000000 1361.141000 0.136000
2453297.000000 1361.143000 0.136000
2453298.000000 1361.204000 0.138000
2453299.000000 1361.237000 0.135000
2453300.000000 1361.194000 0.141000
2453301.000000 1361.145000 0.136000
2453302.000000 1361.062000 0.141000
2453303.000000 1360.976000 0.134000
2453304.000000 1360.999000 0.137000
2453305.000000 1361.071000 0.137000
2453306.000000 1361.068000 0.136000
2453307.000000 1360.982000 0.137000
2453308.000000 1360.889000 0.132000
2453309.000000 1360.782000 0.138000
2453310.000000 1360.671000 0.135000
2453311.000000 1360.591000 0.144000
2453312.000000 1360.506000 0.144000
2453313.000000 1360.407000 0.143000
2453314.000000 1360.291000 0.137000
2453315.000000 1360.311000 0.135000
2453316.000000 1360.519000 0.144000
2453317.000000 1360.733000 0.145000
2453318.000000 1361.001000 0.146000
2453319.000000 1361.252000 0.137000
2453320.000000 1361.331000 0.142000
2453321.000000 1361.372000 0.138000
2453322.000000 1361.325000 0.138000
2453323.000000 1361.227000 0.136000
2453324.000000 1361.192000 0.133000
2453325.000000 1361.258000 0.141000
2453326.000000 1361.325000 0.142000
2453327.000000 1361.388000 0.146000
2453328.000000 1361.454000 0.139000
2453329.000000 1361.473000 0.141000
2453330.000000 1361.486000 0.136000
2453331.000000 1361.511000 0.138000
2453332.000000 1361.546000 0.141000
2453333.000000 1361.592000 0.139000
2453334.000000 1361.649000 0.143000
2453335.000000 1361.692000 0.137000
2453336.000000 1361.626000 0.142000
2453337.000000 1361.551000 0.136000
2453338.000000 1361.409000 0.137000
2453339.000000 1361.251000 0.138000
2453340.000000 1361.207000 0.146000
2453341.000000 1361.257000 0.153000
2453342.000000 1361.321000 0.159000
2453343.000000 1361.408000 0.173000
2453344.000000 1361.484000 0.181000
2453345.000000 1361.454000 0.186000
2453346.000000 1361.416000 0.184000
2453347.000000 1361.379000 0.172000
2453348.000000 1361.348000 0.154000
2453349.000000 1361.331000 0.137000
2453350.000000 1361.331000 0.146000
2453351.000000 1361.332000 0.169000
2453352.000000 1361.329000 0.178000
2453353.000000 1361.327000 0.176000
2453354.000000 1361.311000 0.166000
2453355.000000 1361.297000 0.149000
2453356.000000 1361.327000 0.151000
2453357.000000 1361.381000 0.154000
2453358.000000 1361.386000 0.158000
2453359.000000 1361.337000 0.168000
2453360.000000 1361.328000 0.171000
