# t_obs[JD] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450191.000000 170.388071 0.279177 2859.388879 21.459821
2450192.000000 171.168520 0.357673 2949.556672 53.927937
2450193.000000 172.360195 0.295067 3033.549383 24.411381
2450194.000000 172.272302 0.327702 3084.173074 95.373197
2450195.000000 173.904230 0.361487 3369.167241 163.109110
2450196.000000 173.022212 0.644376 3704.220418 978.723849
2450197.000000 170.080021 0.507091 3568.870350 142.665728
2450198.000000 168.250257 0.331593 3076.621696 190.898564
2450199.000000 167.412653 0.366871 2798.890726 55.062344
2450200.000000 167.441212 0.379601 2769.722020 42.257382
2450201.000000 167.205239 0.546092 2737.159229 20.011171
2450202.000000 166.787643 0.379297 2716.810205 12.136965
2450203.000000 167.839580 0.203992 2772.997415 11.319082
2450204.000000 168.102691 0.274621 2790.012706 11.472257
2450205.000000 168.433171 0.278858 2788.774214 9.341578
2450206.000000 169.170830 0.348519 2833.440432 19.538679
2450207.000000 169.972721 0.304633 2919.339390 26.552646
2450208.000000 172.218062 0.747916 3125.351620 74.424029
2450209.000000 175.177641 0.930215 3624.569571 513.620024
2450210.000000 179.980002 1.005004 4164.987429 402.315352
2450211.000000 183.842495 0.992688 4292.272853 376.151427
2450212.000000 183.943123 0.409032 4257.226415 343.817231
2450213.000000 184.559812 0.402508 4068.002931 131.892841
2450214.000000 184.114760 0.490008 4053.723753 237.579718
2450215.000000 182.602717 0.470742 4018.399750 287.642403
2450216.000000 182.203425 0.607396 3809.475225 115.634693
2450217.000000 180.867462 0.799957 3733.626543 80.005283
2450218.000000 179.268013 0.606568 3600.997057 43.843580
2450219.000000 177.951206 0.442749 3494.907661 21.748069
2450220.000000 176.501620 0.307756 3445.254370 22.885563
2450221.000000 176.732750 0.271215 3446.951757 19.045377
2450222.000000 175.863658 0.523285 3388.712554 44.865679
2450223.000000 173.149400 0.393046 3275.134550 61.317267
2450224.000000 170.530332 0.768618 3038.091653 77.379052
2450225.000000 166.916915 0.611040 2808.530449 72.188224
2450226.000000 165.407120 0.339239 2685.992449 19.177990
2450227.000000 164.388967 0.441650 2633.549616 12.286418
2450228.000000 163.959724 0.333679 2617.584689 8.959966
2450229.000000 164.186061 0.262152 2615.271588 5.269808
2450230.000000 164.284861 0.289648 2613.393174 9.121172
2450231.000000 164.321505 0.288299 2630.838011 10.008417
2450232.000000 164.229065 0.337786 2632.086188 8.328779
2450233.000000 164.004220 1.211818 2646.757600 13.627581
2450234.000000 164.909159 0.296295 2695.613702 15.408134
2450235.000000 167.313575 0.693251 2827.868686 56.470726
2450236.000000 168.855525 0.669739 2954.038845 46.368165
2450237.000000 170.403363 0.248969 3041.398830 10.599989
2450238.000000 171.338145 0.443494 3091.650804 29.998371
2450239.000000 173.475694 0.407690 3174.057839 8.561101
2450240.000000 174.140298 0.575299 3251.615715 52.481629
2450241.000000 174.668014 0.410227 3350.151276 95.249393
2450242.000000 176.752606 0.419763 3628.193387 95.633995
