#wavelength[nm] efficiency[counts/photon]
24.736802150097702 1.1510989271587255e-9
25.632118592310558 7.483486844809541e-9
26.25940374335801 1.9287902789766743e-8
26.647380441224033 3.027511912553792e-8
27.28267304529381 4.241983728732099e-8
28.06958729230576 5.4923829218087477e-8
28.82927619904181 6.490136373840759e-8
29.707433813349688 6.919249169204111e-8
30.68390631190827 6.654730398434214e-8
31.520965933561317 5.9596601562623506e-8
32.07899181561049 5.121228218286679e-8
32.7256196453872 3.9714335853387843e-8
33.12867531323032 2.813655090857925e-8
33.5542974395909 1.5192656112159817e-8
34.688090391814036 2.411758568027243e-10
