#wavelength[nm] efficiency[counts/photon]
17.572710718948947 9.251793602160227e-10
17.83703986300273 5.702572502948495e-7
18.307025358964907 5.473991385334357e-7
18.985828590885856 5.224642741958433e-7
19.511866258004297 4.979325751036321e-7
20.033577820632757 4.733105042322371e-7
20.503396927960704 4.492531137059978e-7
20.943162088230842 4.245817563230602e-7
21.543263496160954 4.002845337582961e-7
22.110045580086492 3.754943670299719e-7
22.67545495777963 3.511737462175468e-7
23.43123373161127 3.267247907595893e-7
24.184662265984414 3.019994039770697e-7
24.962175555162364 2.785464154833161e-7
25.67354936223385 2.550868264703743e-7
26.495342826696284 2.310871806060146e-7
27.394756589027057 2.0629472148180468e-7
28.42347511873389 1.820493940170048e-7
29.501881454337685 1.5879133822166994e-7
30.696947021116056 1.3612843582714385e-7
32.35087084394247 1.1510688888678094e-7
34.24243923360801 9.721691282255591e-8
36.71064823377722 7.96737209221439e-8
39.257080690613854 6.409198989448654e-8
41.78643751386262 5.254345275925416e-8
44.93856619645536 4.0494382839598686e-8
47.918191462510045 3.192287747855424e-8
51.05940089098142 2.4822457891059022e-8
54.07455013044424 1.57163499998419e-8
57.18635036781545 1.189018317033608e-8
60.23775153096114 7.571467417940132e-9
63.47767101668953 3.8268782627117305e-9
66.62276977948603 3.1423214223605035e-9
70.07138220969752 2.1761951287377908e-10
