# t_obs[JD] heliocentric_dist[km] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450128.000000 146468000.000000 177.520000 0.385434 2872.480000 13.285200
2450129.000000 146512000.000000 178.025000 0.235213 2916.740000 10.069100
2450130.000000 146533000.000000 179.160000 0.610643 2994.960000 32.376300
2450131.000000 146577000.000000 180.695000 0.297817 3087.330000 23.191200
2450132.000000 146599000.000000 181.315000 0.405761 3088.850000 22.560500
2450133.000000 146643000.000000 180.780000 0.469623 3124.100000 60.257600
2450134.000000 146665000.000000 183.350000 0.374451 3257.350000 19.796500
2450135.000000 146710000.000000 183.950000 0.308987 3264.300000 30.054600
2450136.000000 146733000.000000 183.780000 0.374808 3280.310000 34.751900
2450137.000000 146777000.000000 184.255000 0.787088 3285.320000 51.989700
2450138.000000 146799000.000000 186.515000 0.211065 3520.160000 77.435300
2450139.000000 146843000.000000 185.790000 0.414654 3506.980000 89.827600
2450140.000000 146866000.000000 184.405000 0.285685 3344.670000 31.441000
2450141.000000 146913000.000000 184.365000 0.238985 3311.750000 18.114800
2450142.000000 146946000.000000 184.020000 0.379627 3293.190000 28.403800
2450143.000000 146989000.000000 183.475000 0.290179 3285.030000 8.485590
2450144.000000 147031000.000000 182.685000 0.376231 3210.520000 38.190200
2450145.000000 147057000.000000 180.085000 0.556960 3076.420000 36.120400
2450146.000000 147103000.000000 177.830000 0.288354 2959.890000 17.383900
2450147.000000 147127000.000000 176.630000 0.661815 2903.320000 33.132100
2450148.000000 147172000.000000 175.565000 0.328415 2862.330000 18.662400
2450149.000000 147204000.000000 175.225000 0.358378 2857.860000 9.845290
2450150.000000 147252000.000000 174.505000 0.571670 2848.490000 12.789300
2450151.000000 147298000.000000 174.655000 0.314857 2846.940000 23.366000
2450152.000000 147320000.000000 174.475000 0.666031 2848.510000 48.174200
2450153.000000 147367000.000000 173.485000 0.333756 2802.970000 24.014700
2450154.000000 147393000.000000 176.045000 0.690129 3220.450000 333.935000
2450155.000000 147445000.000000 178.480000 0.596765 3216.430000 99.349600
2450156.000000 147493000.000000 178.505000 0.395316 3139.620000 36.299000
2450157.000000 147517000.000000 177.840000 0.322487 3120.590000 25.128800
2450158.000000 147564000.000000 177.370000 0.241728 3119.410000 22.315900
2450159.000000 147597000.000000 177.990000 0.358623 3154.390000 15.360400
2450160.000000 147645000.000000 178.015000 0.341779 3155.020000 20.886700
2450161.000000 147691000.000000 177.500000 0.363282 3118.530000 27.565600
2450162.000000 147716000.000000 176.820000 0.354508 3064.030000 22.246700
2450163.000000 147764000.000000 175.520000 0.468656 3007.730000 31.545700
2450164.000000 147811000.000000 175.805000 0.293699 3052.210000 33.543800
2450165.000000 147843000.000000 177.190000 0.371254 3476.660000 249.915000
2450166.000000 147891000.000000 175.275000 0.651555 3086.070000 177.276000
2450167.000000 147918000.000000 175.085000 0.332960 3023.530000 30.063000
2450168.000000 147972000.000000 174.905000 0.369963 3030.130000 45.640200
2450169.000000 148019000.000000 175.630000 0.278395 3098.010000 46.323000
2450170.000000 148044000.000000 176.515000 0.370280 3100.130000 55.014400
2450171.000000 148092000.000000 176.975000 0.353597 3090.090000 14.684700
2450172.000000 148135000.000000 175.475000 0.329254 3046.500000 35.744500
2450173.000000 148171000.000000 173.645000 0.392121 2968.590000 11.385600
2450174.000000 148218000.000000 173.780000 0.325740 2924.800000 30.543400
2450175.000000 148242000.000000 173.320000 0.395937 2897.130000 37.266300
2450176.000000 148294000.000000 175.020000 0.289373 3030.940000 32.128600
2450177.000000 148343000.000000 176.740000 0.330032 3224.210000 64.057700
2450178.000000 148368000.000000 175.770000 1.995722 3188.320000 33.410900
2450179.000000 148416000.000000 175.725000 1.335199 3172.150000 48.553300
2450180.000000 148440000.000000 172.960000 0.441548 2960.220000 60.051900
2450181.000000 148490000.000000 172.755000 0.363326 2912.480000 13.316800
2450182.000000 148536000.000000 172.160000 0.282571 2878.670000 10.850200
2450183.000000 148564000.000000 172.440000 0.240624 2917.310000 15.514600
2450184.000000 148611000.000000 172.215000 0.247474 2913.170000 7.309080
2450185.000000 148634000.000000 172.280000 0.280884 2914.010000 8.839850
2450186.000000 148680000.000000 172.820000 0.322787 2955.420000 17.795400
2450187.000000 148708000.000000 172.385000 0.290877 2937.900000 16.483700
2450188.000000 148755000.000000 171.965000 0.277166 2928.000000 22.784900
2450189.000000 148795000.000000 170.265000 0.354732 2853.800000 21.332100
2450190.000000 148826000.000000 170.255000 0.341612 2841.910000 16.139400
2450191.000000 148871000.000000 171.220000 0.280540 2873.350000 21.564600
2450192.000000 148892000.000000 171.980000 0.359368 2963.540000 54.183600
2450193.000000 148937000.000000 173.125000 0.296377 3047.010000 24.519700
2450194.000000 148960000.000000 173.010000 0.329105 3097.380000 95.781600
2450195.000000 149006000.000000 174.595000 0.362922 3382.550000 163.757000
2450196.000000 149027000.000000 173.685000 0.646844 3718.410000 982.473000
2450197.000000 149072000.000000 170.680000 0.508880 3581.460000 143.169000
2450198.000000 149093000.000000 168.820000 0.332716 3087.040000 191.545000
2450199.000000 149137000.000000 167.930000 0.368005 2807.540000 55.232500
2450200.000000 149158000.000000 167.935000 0.380721 2777.890000 42.382000
2450201.000000 149201000.000000 167.650000 0.547544 2744.440000 20.064400
2450202.000000 149220000.000000 167.210000 0.380258 2723.690000 12.167700
2450203.000000 149264000.000000 168.215000 0.204448 2779.200000 11.344400
2450204.000000 149285000.000000 168.455000 0.275197 2795.860000 11.496300
2450205.000000 149317000.000000 168.750000 0.279383 2794.020000 9.359150
2450206.000000 149347000.000000 169.455000 0.349105 2838.200000 19.571500
2450207.000000 149363000.000000 170.240000 0.305112 2923.930000 26.594400
2450208.000000 149401000.000000 172.445000 0.748901 3129.470000 74.522100
2450209.000000 149421000.000000 175.385000 0.931316 3628.860000 514.228000
2450210.000000 149465000.000000 180.140000 1.005898 4168.690000 402.673000
2450211.000000 149482000.000000 183.985000 0.993458 4295.600000 376.443000
2450212.000000 149511000.000000 184.050000 0.409269 4259.700000 344.017000
2450213.000000 149541000.000000 184.630000 0.402662 4069.550000 131.943000
2450214.000000 149553000.000000 184.170000 0.490155 4054.940000 237.651000
2450215.000000 149596000.000000 182.605000 0.470748 4018.450000 287.646000
2450216.000000 149613000.000000 182.185000 0.607334 3809.090000 115.623000
2450217.000000 149633000.000000 180.825000 0.799769 3732.750000 79.986500
2450218.000000 149663000.000000 179.190000 0.606304 3599.430000 43.824500
2450219.000000 149683000.000000 177.850000 0.442497 3492.920000 21.735700
2450220.000000 149718000.000000 176.360000 0.307509 3442.490000 22.867200
2450221.000000 149740000.000000 176.565000 0.270957 3443.680000 19.027300
2450222.000000 149750000.000000 175.685000 0.522754 3385.270000 44.820100
2450223.000000 149792000.000000 172.925000 0.392536 3270.890000 61.237800
2450224.000000 149809000.000000 170.290000 0.767535 3033.810000 77.270000
2450225.000000 149815000.000000 166.675000 0.610154 2804.460000 72.083600
2450226.000000 149858000.000000 165.120000 0.338650 2681.330000 19.144700
2450227.000000 149875000.000000 164.085000 0.440833 2628.680000 12.263700
2450228.000000 149881000.000000 163.650000 0.333048 2612.640000 8.943040
2450229.000000 149923000.000000 163.830000 0.261584 2609.600000 5.258380
2450230.000000 149940000.000000 163.910000 0.288987 2607.430000 9.100360
2450231.000000 149946000.000000 163.940000 0.287630 2624.730000 9.985180
2450232.000000 149976000.000000 163.815000 0.336934 2625.450000 8.307780
2450233.000000 149995000.000000 163.570000 1.208610 2639.750000 13.591500
2450234.000000 150011000.000000 164.455000 0.295479 2688.190000 15.365700
2450235.000000 150027000.000000 166.835000 0.691268 2819.780000 56.309200
2450236.000000 150056000.000000 168.340000 0.667695 2945.020000 46.226600
2450237.000000 150072000.000000 169.865000 0.248183 3031.790000 10.566500
2450238.000000 150078000.000000 170.790000 0.442076 3081.760000 29.902400
2450239.000000 150109000.000000 172.885000 0.406302 3163.250000 8.531950
2450240.000000 150124000.000000 173.530000 0.573282 3240.220000 52.297700
2450241.000000 150142000.000000 174.035000 0.408740 3338.010000 94.904200
2450242.000000 150148000.000000 176.105000 0.418225 3614.900000 95.283600
2450243.000000 150185000.000000 174.620000 0.584208 3441.510000 70.392300
2450244.000000 150193000.000000 173.280000 0.461454 3349.010000 86.423200
2450245.000000 150207000.000000 171.275000 0.607594 3200.810000 29.544200
2450246.000000 150214000.000000 169.735000 0.588526 3170.050000 63.622500
2450247.000000 150248000.000000 168.100000 0.510852 3067.870000 24.242600
2450248.000000 150254000.000000 168.180000 0.304650 3070.170000 19.927800
2450249.000000 150270000.000000 167.645000 0.333321 2986.660000 35.216200
2450250.000000 150274000.000000 166.100000 0.411178 2891.670000 28.615900
2450251.000000 150290000.000000 165.175000 0.401802 2822.040000 23.415700
2450252.000000 150318000.000000 164.700000 0.404959 2826.630000 30.170200
2450253.000000 150331000.000000 164.880000 0.239707 2856.020000 20.734000
2450254.000000 150338000.000000 165.835000 0.324018 2939.240000 64.855300
2450255.000000 150342000.000000 167.335000 0.402948 2971.190000 25.598200
2450256.000000 150355000.000000 168.385000 0.260895 3017.080000 18.538400
2450257.000000 150384000.000000 168.555000 0.241936 3024.650000 13.821500
2450258.000000 150389000.000000 169.175000 0.482818 3087.600000 150.716000
2450259.000000 150401000.000000 171.590000 0.871981 3197.720000 60.480900
2450260.000000 150405000.000000 173.800000 0.307213 3274.940000 29.421600
2450261.000000 150409000.000000 174.780000 0.237707 3383.380000 33.306500
2450262.000000 150422000.000000 174.965000 0.399200 3437.850000 22.789300
2450263.000000 150449000.000000 175.475000 0.243900 3485.060000 42.213600
2450264.000000 150452000.000000 175.655000 0.359280 3490.430000 25.457100
2450265.000000 150465000.000000 176.845000 0.330005 3596.910000 36.387100
2450266.000000 150469000.000000 177.055000 0.353488 3660.770000 112.026000
2450267.000000 150471000.000000 177.300000 0.335044 3602.210000 21.829500
2450268.000000 150474000.000000 175.265000 0.589136 3487.080000 36.064700
2450269.000000 150481000.000000 174.105000 0.397589 3417.930000 37.872300
2450270.000000 150487000.000000 173.395000 0.489130 3361.040000 33.878300
2450271.000000 150490000.000000 171.215000 0.272459 3275.020000 24.283200
2450272.000000 150515000.000000 171.445000 0.376792 3484.310000 221.073000
2450273.000000 150516000.000000 174.605000 0.882008 4716.600000 866.604000
2450274.000000 150519000.000000 174.715000 1.843863 6929.900000 6651.680000
2450275.000000 150520000.000000 173.615000 0.775914 5517.980000 1932.710000
2450276.000000 150531000.000000 172.540000 0.526009 4884.500000 709.791000
2450277.000000 150531000.000000 170.555000 0.552628 4072.470000 760.192000
2450278.000000 150532000.000000 169.180000 0.479520 3681.890000 134.640000
2450279.000000 150532000.000000 165.865000 0.931280 3384.610000 354.576000
2450280.000000 150532000.000000 163.110000 0.352715 2806.020000 74.283200
2450281.000000 150532000.000000 162.735000 0.290719 2695.500000 17.661900
2450282.000000 150532000.000000 162.560000 0.309212 2677.970000 13.752400
2450283.000000 150532000.000000 161.225000 0.475591 2621.310000 9.824450
2450284.000000 150531000.000000 161.135000 0.393062 2620.340000 14.375800
2450285.000000 150520000.000000 160.420000 0.245342 2599.280000 12.553100
2450286.000000 150520000.000000 160.190000 0.325582 2597.250000 6.489670
2450287.000000 150519000.000000 160.820000 0.366027 2653.320000 26.224900
2450288.000000 150510000.000000 162.035000 0.559287 2745.920000 39.803400
2450289.000000 150492000.000000 162.195000 0.218455 2803.380000 30.157100
2450290.000000 150489000.000000 165.085000 1.103040 3032.500000 112.320000
2450291.000000 150477000.000000 168.720000 0.474705 3485.690000 110.157000
2450292.000000 150475000.000000 170.905000 0.584700 3822.080000 92.992600
2450293.000000 150471000.000000 172.480000 0.349216 3898.420000 53.363800
2450294.000000 150468000.000000 172.970000 0.508709 3954.740000 118.242000
2450295.000000 150455000.000000 174.540000 0.423217 4136.660000 99.105000
2450296.000000 150427000.000000 173.475000 0.410181 4040.420000 55.319000
2450297.000000 150425000.000000 173.785000 0.393102 4058.300000 57.984700
