# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2459581.041973 145871090187.000000 171.000000 90953338.440306 100521.223272
2459581.046032 145871081596.000000 284.000000 3979885.401511 98457.636325
2459581.055301 145871075564.000000 304.000000 11838108.074640 98654.698640
2459581.541879 145870480665.000000 171.000000 90666963.780388 100398.578703
2459581.545924 145870482146.000000 284.000000 3867297.639453 98343.495362
2459581.551175 145870482146.000000 195.000000 56435849.772225 100284.708967
2459582.041867 145870035420.000000 171.000000 91477135.138863 100405.416565
2459582.045912 145870031291.000000 284.000000 3652186.295234 98242.332893
2459582.051042 145870031291.000000 195.000000 58004309.539351 100283.934739
2459582.055052 145870029344.000000 304.000000 11724724.011258 98556.426981
2459582.541298 145869766979.000000 171.000000 90775428.697632 100150.880934
2459582.545353 145869756442.000000 284.000000 3619761.087776 98121.637694
2459582.550592 145869756442.000000 195.000000 55030122.125701 100150.293959
2459582.554600 145869764146.000000 304.000000 11483283.221758 98484.097537
2459583.041187 145869655444.000000 171.000000 89594627.418157 100125.863119
2459583.045259 145869654115.000000 284.000000 3535439.834887 98116.861291
2459583.050509 145869654115.000000 195.000000 54215189.482710 100038.433285
2459583.054516 145869654968.000000 304.000000 11348706.732817 98469.872633
2459583.540892 145869711905.000000 171.000000 89087819.420046 100036.464094
2459583.544951 145869704655.000000 284.000000 3629613.381072 98091.855791
2459583.550202 145869704655.000000 195.000000 53842256.522658 99968.863414
2459583.554222 145869714233.000000 304.000000 11333199.630423 98408.770001
2459584.040973 145869930657.000000 171.000000 89479995.098769 99946.760630
2459584.044998 145869946742.000000 284.000000 3457171.357612 98075.601302
2459584.050250 145869946742.000000 195.000000 54052612.285021 99878.871276
2459584.054270 145869950432.000000 304.000000 11365671.477786 98379.157143
2459584.541652 145870320767.000000 171.000000 87664973.465921 99825.779116
2459584.545697 145870330030.000000 284.000000 3394398.970959 97936.851280
2459584.550963 145870330030.000000 195.000000 52559122.518059 99707.532439
2459584.554986 145870341475.000000 304.000000 11288550.042655 97993.894902
2459585.041716 145870891462.000000 171.000000 86842281.384660 99767.769150
2459585.045763 145870892959.000000 284.000000 3243853.870535 97924.269611
2459585.051012 145870892959.000000 195.000000 51026510.902168 99694.087902
2459585.055015 145870912102.000000 304.000000 11168020.267909 97967.214390
2459585.541827 145871620382.000000 171.000000 85021416.108646 99583.261234
2459585.545872 145871628521.000000 284.000000 3224462.973000 97805.529625
2459585.551117 145871628521.000000 195.000000 50652992.621404 99553.671340
2459585.555142 145871639903.000000 304.000000 11154193.364932 97790.707943
2459586.041932 145872513321.000000 171.000000 83755077.421343 99558.313421
2459586.051240 145872529119.000000 195.000000 50638964.957962 99550.836273
2459586.055270 145872532805.000000 304.000000 11281486.609373 97790.148539
2459586.541650 145873561974.000000 171.000000 83194241.879655 99490.154491
2459586.545694 145873585446.000000 284.000000 3523154.907837 97679.122848
2459586.550968 145873585446.000000 195.000000 51258324.295829 99498.216432
2459586.554987 145873595750.000000 304.000000 11354412.521425 97832.888838
2459587.041639 145874789244.000000 171.000000 84559095.644780 99497.253743
2459587.045693 145874819264.000000 284.000000 3785043.521377 97674.494099
2459587.050964 145874819264.000000 195.000000 52962676.283425 99507.245556
2459587.054971 145874834995.000000 304.000000 11612154.797638 97824.294610
2459587.541749 145876183142.000000 171.000000 86963868.783399 99434.144636
2459587.551063 145876204435.000000 195.000000 54290626.243800 99492.035087
2459587.555075 145876226715.000000 304.000000 11832241.122129 97724.094416
2459588.041931 145877734524.000000 171.000000 87069750.961270 99419.181268
2459588.045990 145877761187.000000 284.000000 4229570.132761 97279.926529
