# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458119.541142 145731605491.000000 171.000000 72173980.823032 95050.268931
2458119.545273 145731643483.000000 284.000000 1856518.764971 93827.127217
2458119.549900 145731643483.000000 195.000000 35548491.426543 95775.616541
2458119.553962 145731683331.000000 304.000000 11831396.796200 94546.132533
2458120.040243 145734551966.000000 171.000000 71093325.168193 95125.813896
2458120.044360 145734602512.000000 284.000000 1831496.023424 93861.356628
2458120.049656 145734602512.000000 195.000000 34930280.286195 95782.013464
2458120.053728 145734639194.000000 304.000000 11825610.262803 94621.607959
2458120.540435 145737657591.000000 171.000000 69737244.808767 95079.884773
2458120.544554 145737704522.000000 284.000000 1713840.153720 93876.126113
2458120.549852 145737704522.000000 195.000000 34168248.949484 96012.397464
2458120.553907 145737753674.000000 304.000000 11646801.484476 94628.303272
2458121.040300 145740914234.000000 171.000000 69953604.613057 95186.275382
2458121.044418 145740957500.000000 284.000000 1737829.796769 93909.223257
2458121.049720 145740957500.000000 195.000000 34145275.912824 95805.176571
2458121.053780 145741002987.000000 304.000000 11862510.792667 94647.317392
2458121.541593 145744312020.000000 171.000000 70304663.552624 95190.690760
2458121.551002 145744366776.000000 195.000000 33916586.639422 95796.589567
2458121.555062 145744408137.000000 304.000000 11777785.372691 94703.347299
2458122.041891 145747857015.000000 171.000000 70774916.865672 95197.606521
2458122.051309 145747907582.000000 195.000000 34352525.092954 95806.242392
2458122.055366 145747959914.000000 304.000000 11900170.244478 94710.117511
2458122.541872 145751553423.000000 171.000000 71056492.640380 95313.827727
2458122.545979 145751614400.000000 284.000000 1722320.725425 93975.550111
2458122.551290 145751614400.000000 195.000000 33708737.735125 95838.927088
2458122.555365 145751662046.000000 304.000000 12026062.903197 94674.990277
2458123.041268 145755389353.000000 171.000000 69567525.376515 95296.890356
2458123.045380 145755446083.000000 284.000000 1725764.827182 93979.470468
2458123.050678 145755446083.000000 195.000000 33563698.547017 95876.060153
2458123.054737 145755504055.000000 304.000000 11843570.674862 94778.229133
2458123.541232 145759368548.000000 171.000000 68506061.063179 95438.032421
2458123.545323 145759434532.000000 284.000000 1694517.782992 94024.156620
2458123.550636 145759434532.000000 195.000000 33481629.372899 95914.761319
2458124.041475 145763491275.000000 171.000000 68019536.175294 95439.986951
2458124.045578 145763550926.000000 284.000000 1701070.290038 94065.731645
2458124.050881 145763550926.000000 195.000000 33507302.633770 95974.783009
2458124.054936 145763612793.000000 304.000000 11722484.689598 94783.998190
2458124.541695 145767758750.000000 171.000000 67728473.467734 95608.128109
2458124.545794 145767813104.000000 284.000000 1698924.982069 94053.348418
2458124.551084 145767813104.000000 195.000000 33617365.446788 96040.567360
2458125.041436 145772156998.000000 171.000000 67428260.716544 95616.121779
2458125.045538 145772220360.000000 284.000000 1715413.289115 94029.290322
2458125.050834 145772220360.000000 195.000000 33602891.019389 96074.506986
2458125.054891 145772283708.000000 304.000000 11832169.962730 94834.753189
2458125.540727 145776685580.000000 171.000000 68203868.442353 95611.666551
2458125.544827 145776755582.000000 284.000000 1719308.051557 94128.842319
2458125.550127 145776755582.000000 195.000000 33987306.695106 96064.447706
2458125.554186 145776812472.000000 304.000000 11805956.301769 94960.334865
2458126.044712 145781433683.000000 284.000000 1816699.553098 94173.616142
2458126.050024 145781433683.000000 195.000000 34784734.488859 96081.247695
2458126.054079 145781499432.000000 304.000000 11923370.586611 94949.444874
2458126.540782 145786168176.000000 171.000000 67907341.815117 95639.137323
2458126.544880 145786238115.000000 284.000000 1775712.971455 94247.860825
2458126.550180 145786238115.000000 195.000000 34608724.966798 96104.427194
2458126.554609 145786310267.000000 304.000000 11888310.123132 95041.250829
2458127.039786 145791102141.000000 171.000000 68285580.756400 95619.862336
2458127.043897 145791178347.000000 284.000000 1828330.408591 94313.710175
2458127.049184 145791178347.000000 195.000000 34957472.120324 96143.479800
2458127.053272 145791242815.000000 304.000000 11959647.580200 95047.329333
2458127.541857 145796185232.000000 171.000000 67423946.893643 95614.909849
2458127.545969 145796252436.000000 284.000000 1830930.112309 94340.217926
2458127.551231 145796252436.000000 195.000000 34643495.192176 96058.125105
2458128.041830 145801381820.000000 171.000000 66259517.263127 95615.909310
2458128.045955 145801455132.000000 284.000000 1857675.324689 94311.388997
2458128.051262 145801455132.000000 195.000000 34655093.683171 96035.712483
2458128.055320 145801530654.000000 304.000000 11949227.736899 95010.821350
2458128.541475 145806717297.000000 171.000000 67415570.594109 95638.907648
2458128.545577 145806795300.000000 284.000000 1870509.826070 94323.659059
2458128.550903 145806795300.000000 195.000000 35187302.426899 96039.543593
2458128.554961 145806876863.000000 304.000000 11978845.793771 95076.928300
2458129.041047 145812184456.000000 171.000000 66876088.420724 95646.374921
2458129.045152 145812268425.000000 284.000000 1910535.199203 94380.367403
2458129.050459 145812268425.000000 195.000000 35827286.089037 96050.841309
2458129.054519 145812338206.000000 304.000000 12035533.630550 95077.363294
2458129.540847 145817791525.000000 171.000000 67745409.343844 95704.061927
2458129.544950 145817865059.000000 284.000000 1917475.668886 94405.946960
2458129.550408 145817865059.000000 195.000000 36077312.602571 96025.729986
2458129.554467 145817939385.000000 304.000000 12104202.673596 95066.467019
2458130.040614 145823517339.000000 171.000000 67721815.788241 95725.680285
2458130.044707 145823593941.000000 284.000000 1903191.692986 94429.947372
2458130.050017 145823593941.000000 195.000000 37210413.901560 96035.712595
2458130.054075 145823671300.000000 304.000000 12053221.585750 94858.142513
2458130.540066 145829365533.000000 171.000000 66971713.219974 95714.551873
2458130.544168 145829445098.000000 284.000000 1889239.086399 94411.878776
2458130.549497 145829445098.000000 195.000000 37231999.134836 96023.170515
2458130.553557 145829526870.000000 304.000000 12044480.705548 94777.447426
2458131.039942 145835343005.000000 171.000000 66755355.537535 95741.872024
2458131.044049 145835425454.000000 284.000000 1927941.606457 94387.752109
2458131.049365 145835425454.000000 195.000000 36310421.763894 96055.540067
2458131.053423 145835508594.000000 304.000000 12000612.916709 94744.854708
2458131.541803 145841454214.000000 171.000000 66111688.222753 95732.764450
2458131.545914 145841539491.000000 284.000000 1963354.471420 94385.691691
2458131.551230 145841539491.000000 195.000000 36390261.115026 96058.895350
2458131.555288 145841625425.000000 304.000000 12366475.440806 94760.008942
2458132.045566 145847774382.000000 284.000000 1979003.795054 94427.804147
2458132.050865 145847774382.000000 195.000000 36627956.491034 96026.042956
2458132.054955 145847863079.000000 304.000000 12234995.989908 94745.859124
2458132.541316 145854051431.000000 171.000000 66080907.925094 95723.066936
2458132.545412 145854137453.000000 284.000000 1948889.507240 94388.139964
2458132.550707 145854137453.000000 195.000000 36592341.131188 95910.799350
2458132.554766 145854232998.000000 304.000000 12057338.327180 94713.137191
2458133.041495 145860541719.000000 171.000000 66109339.228598 95718.835463
2458133.045602 145860627156.000000 284.000000 1949041.482990 94384.315286
2458133.050908 145860627156.000000 195.000000 36503185.516482 95890.975798
2458133.054976 145860723733.000000 304.000000 12158995.243782 94648.153695
2458133.545601 145867241772.000000 284.000000 1943917.625217 94402.059235
2458133.550912 145867241772.000000 195.000000 36231435.113313 95847.769348
2458133.554971 145867336000.000000 304.000000 12149889.898336 94597.566084
2458134.040997 145873886465.000000 171.000000 66280738.273165 95667.104130
2458134.045072 145873977725.000000 284.000000 1920144.678156 94393.037478
2458134.050373 145873977725.000000 195.000000 35717020.944056 95767.283938
2458134.054432 145874072896.000000 304.000000 12250981.461988 94592.257356
2458134.540676 145880748396.000000 171.000000 66339023.975724 95819.033818
2458134.544774 145880847793.000000 284.000000 1951541.440581 94314.440049
2458134.550079 145880847793.000000 195.000000 35694278.059694 95854.147174
