# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2459215.541785 145858079998.000000 171.000000 75077229.045526 97360.853028
2459215.545896 145858076364.000000 284.000000 2791938.671746 95978.727165
2459215.551225 145858076364.000000 195.000000 43314436.644320 96909.815958
2459215.555287 145858074919.000000 304.000000 11443907.384555 96223.167732
2459216.041921 145858044727.000000 171.000000 75529503.626865 97332.373217
2459216.046038 145858035898.000000 284.000000 2767824.676957 95971.597431
2459216.051347 145858035898.000000 195.000000 42541575.879315 96890.067905
2459216.055409 145858044567.000000 304.000000 11372087.127489 96224.279675
2459216.546051 145858145422.000000 284.000000 2738593.296569 95965.213343
2459216.551360 145858145422.000000 195.000000 41775021.433981 96727.955548
2459216.555437 145858148866.000000 304.000000 11283992.400561 96250.665935
2459217.041802 145858389348.000000 171.000000 74843925.206958 97168.097215
2459217.045910 145858399790.000000 284.000000 2720652.852761 95953.195615
2459217.051218 145858399790.000000 195.000000 41768019.810657 96713.329957
2459217.055280 145858412841.000000 304.000000 11270105.560565 96249.052734
2459217.545588 145858808379.000000 284.000000 2686825.899283 95917.313280
2459217.550910 145858808379.000000 195.000000 42221871.403345 96728.136653
2459217.554974 145858814926.000000 304.000000 11277203.997924 96245.074447
2459218.041086 145859349367.000000 171.000000 77130391.690883 97023.625113
2459218.045193 145859363243.000000 284.000000 2642041.321587 95971.216298
2459218.050500 145859363243.000000 195.000000 41570364.322357 96746.218978
2459218.054563 145859363272.000000 304.000000 11175241.484141 96247.698387
2459218.544473 145860072547.000000 284.000000 2534793.372179 95872.289881
2459218.549780 145860072547.000000 195.000000 41210573.809937 96758.355136
2459218.553842 145860081141.000000 304.000000 11207206.001781 96315.794924
2459219.040065 145860913265.000000 171.000000 77232926.681069 97013.660748
2459219.044172 145860927683.000000 284.000000 2440117.596878 95865.691987
2459219.049481 145860927683.000000 195.000000 41751400.142566 96763.792844
2459219.053543 145860945270.000000 304.000000 10948182.272492 96304.356959
2459219.541826 145861928943.000000 171.000000 76110971.567460 96958.155907
2459219.545930 145861935822.000000 284.000000 2386989.786843 95677.840216
2459219.551254 145861935822.000000 195.000000 39826590.210490 96776.754231
2459219.555341 145861961379.000000 304.000000 10919060.740286 96541.508586
2459220.041505 145863086521.000000 171.000000 75019544.788783 96937.075632
2459220.045608 145863102371.000000 284.000000 2272858.100808 95658.571166
2459220.050929 145863102371.000000 195.000000 38813960.797046 96776.088915
2459220.054989 145863119356.000000 304.000000 10853551.056169 96546.302682
2459220.541137 145864409187.000000 171.000000 74734927.955711 96636.045999
2459220.545250 145864431879.000000 284.000000 2154126.466861 96016.008958
2459220.550559 145864431879.000000 195.000000 38495159.688261 96739.013050
2459220.554640 145864455672.000000 304.000000 10820602.080472 96974.010044
2459221.041135 145865883215.000000 171.000000 71780287.401564 96612.746630
2459221.045244 145865912675.000000 284.000000 2091444.367105 96016.200183
2459221.050549 145865912675.000000 195.000000 37831150.347332 96639.083613
2459221.054615 145865928959.000000 304.000000 10885223.595948 97103.459940
2459221.541182 145867514979.000000 171.000000 73450117.211987 96378.002656
2459221.545285 145867550006.000000 284.000000 2055744.173038 96056.783302
2459221.550596 145867550006.000000 195.000000 37801596.333596 96502.751402
2459221.554660 145867571895.000000 304.000000 10842138.141433 97167.861911
2459222.040851 145869319753.000000 171.000000 73804866.809769 96250.289551
2459222.044954 145869330875.000000 284.000000 2076183.709400 96055.630008
2459222.050260 145869330875.000000 195.000000 37596481.762290 96425.448468
2459222.054339 145869359463.000000 304.000000 10837577.899638 97177.206544
2459222.541869 145871256643.000000 171.000000 73245176.756961 96187.605907
2459222.545991 145871288524.000000 284.000000 2055386.418533 96133.401184
2459222.551294 145871288524.000000 195.000000 37202874.150234 96467.709197
2459222.555356 145871322588.000000 304.000000 10687180.471006 97353.558225
2459223.041315 145873372223.000000 171.000000 74082439.053817 96180.258519
2459223.045413 145873409533.000000 284.000000 2091792.645839 96205.929346
2459223.050732 145873409533.000000 195.000000 37516198.255229 96462.262145
2459223.054816 145873432579.000000 304.000000 10849335.603343 97354.317394
2459223.541240 145875651067.000000 171.000000 74385169.001522 96117.145918
2459223.545347 145875678633.000000 284.000000 2072590.985400 96244.158587
2459223.550663 145875678633.000000 195.000000 36997483.821894 96480.840875
2459223.554741 145875707097.000000 304.000000 10707064.718835 97378.897667
2459224.041502 145878081012.000000 171.000000 74104829.821098 96133.002066
2459224.045617 145878112712.000000 284.000000 2045195.483185 96230.543057
2459224.050927 145878112712.000000 195.000000 36406483.138935 96514.289406
2459224.055001 145878160379.000000 304.000000 10591765.853425 97391.089956
2459224.551019 145880711460.000000 195.000000 36402958.995107 96667.226825
2459224.555082 145880749434.000000 304.000000 10673804.671508 97572.311909
2459225.041091 145883450359.000000 171.000000 73659096.559628 96123.541045
2459225.045205 145883488837.000000 284.000000 1991783.249164 96401.233929
2459225.050507 145883488837.000000 195.000000 35282866.172942 96826.181519
2459225.054592 145883529496.000000 304.000000 10691475.172029 97593.324135
2459225.541832 145886373295.000000 171.000000 72601798.947377 96074.147585
2459225.545931 145886414399.000000 284.000000 1950007.864845 96510.221668
2459225.551242 145886414399.000000 195.000000 35581059.205646 96871.033120
2459225.555327 145886457686.000000 304.000000 10465158.069791 97691.941517
2459226.041832 145889455625.000000 171.000000 72971949.760472 96108.413937
2459226.045931 145889500771.000000 284.000000 1976098.262390 96519.954764
2459226.051233 145889500771.000000 195.000000 35403491.304988 96897.115088
2459226.055295 145889546648.000000 304.000000 10585018.877356 97709.338607
2459227.541642 145899729409.000000 171.000000 71762250.619585 96303.441784
2459227.545684 145899777796.000000 284.000000 1871128.087606 96788.171933
2459227.550917 145899777796.000000 195.000000 34250016.142490 97005.848231
2459227.554912 145899829913.000000 304.000000 10386898.218651 97877.190959
2459228.541727 145907406079.000000 171.000000 71617345.071698 96357.579017
2459228.545762 145907463878.000000 284.000000 1901365.194185 96950.433001
2459228.550997 145907463878.000000 195.000000 34150002.488207 97071.817437
2459228.554992 145907516539.000000 304.000000 10607372.628016 97967.292507
2459231.540873 145934424897.000000 171.000000 72653990.506426 96767.315968
2459231.544907 145934488645.000000 284.000000 2211847.897432 97377.632442
2459231.550141 145934488645.000000 195.000000 36620459.445574 97378.886346
2459231.554143 145934561712.000000 304.000000 10603967.212093 98253.971439
2459232.040981 145939496313.000000 171.000000 72564273.146811 96845.392838
2459232.045022 145939564986.000000 284.000000 2252505.654001 97372.240038
2459232.054268 145939641110.000000 304.000000 10650502.285663 98173.628725
2459232.545936 145944799575.000000 284.000000 2292806.250310 97454.133636
2459232.551174 145944799575.000000 195.000000 37663737.129864 97386.594485
2459232.555173 145944873510.000000 304.000000 10697016.082575 98192.723157
2459234.541631 145967232227.000000 171.000000 73225242.037741 99277.270109
2459234.545665 145967312405.000000 284.000000 2381529.057579 99410.215820
2459234.550932 145967312405.000000 195.000000 39017577.887156 99198.018404
2459234.554930 145967390780.000000 304.000000 10802350.252447 100299.992147
2459235.041256 145973239333.000000 171.000000 72972124.811771 99253.317279
2459235.050527 145973325551.000000 195.000000 39210393.843725 99187.024459
2459235.054527 145973407045.000000 304.000000 10981664.530913 100288.801411
2459235.540895 145979406852.000000 171.000000 73497241.548427 99129.542148
2459235.544910 145979492154.000000 284.000000 2419181.603642 99413.870011
2459235.550135 145979492154.000000 195.000000 39246269.246299 98977.023296
2459235.554133 145979583738.000000 304.000000 10976481.583661 100162.718138
2459236.041198 145985724557.000000 171.000000 74497374.965956 99040.904155
2459236.045233 145985813113.000000 284.000000 2500718.550957 99347.595887
2459236.050472 145985813113.000000 195.000000 39747040.463624 98766.129716
2459236.054473 145985899684.000000 304.000000 10932823.023205 100032.544029
2459236.540209 145992189840.000000 171.000000 73923961.869588 98844.591044
2459236.544309 145992277578.000000 284.000000 2494351.944623 99232.772008
2459236.549625 145992277578.000000 195.000000 39759811.387436 98539.777556
2459236.553695 145992370065.000000 304.000000 10965584.446252 99666.432976
2459237.044431 145998898431.000000 284.000000 2582888.779607 99250.400685
2459237.049737 145998898431.000000 195.000000 40272911.210016 98480.796194
2459237.053799 145998990060.000000 304.000000 11040819.633029 99664.491741
2459237.541830 146005565260.000000 171.000000 75199051.088679 98716.769958
2459237.545947 146005660651.000000 284.000000 2577387.341669 99200.174580
2459237.551254 146005660651.000000 195.000000 40479291.255070 98356.219827
2459237.555328 146005751501.000000 304.000000 11036633.942496 132183.261638
2459238.041210 146012467473.000000 171.000000 76395380.514233 98689.790496
2459238.045314 146012562151.000000 284.000000 2546039.256969 99201.873092
2459238.050642 146012562151.000000 195.000000 42179823.310220 98359.341649
2459238.539833 146019517128.000000 171.000000 74925227.239490 98650.246893
2459238.543934 146019613405.000000 284.000000 2553973.173786 99063.628914
2459238.549430 146019613405.000000 195.000000 40434237.895620 98143.322365
2459238.553520 146019711861.000000 304.000000 11162598.374477 98979.196467
2459239.039720 146026706211.000000 171.000000 75144207.696887 98543.965516
2459239.043829 146026804045.000000 284.000000 2479414.945027 99054.561154
2459239.049134 146026804045.000000 195.000000 41346747.011261 98141.075374
2459239.053206 146026904057.000000 304.000000 11016020.515535 98920.209058
2459239.539592 146034030325.000000 171.000000 74934068.316699 98510.383165
2459239.548783 146034140836.000000 195.000000 41708190.729872 98043.724591
2459239.552871 146034242388.000000 304.000000 11205719.674526 98640.726193
2459240.039588 146041502034.000000 171.000000 73495864.230541 98484.004136
2459240.043712 146041602953.000000 284.000000 2566761.389834 98790.813550
2459240.049020 146041602953.000000 195.000000 41524054.539766 98012.339358
2459240.053083 146041710685.000000 304.000000 11045993.734121 98638.702095
2459240.539120 146049104266.000000 171.000000 73914298.419584 98482.924127
2459240.543210 146049217932.000000 284.000000 2533392.531319 98343.815588
2459240.548528 146049217932.000000 195.000000 41495818.063478 97964.585036
2459240.552745 146049322607.000000 304.000000 11033866.037919 98639.679741
2459241.038940 146056852728.000000 171.000000 73439235.373661 98381.257768
2459241.043045 146056956855.000000 284.000000 2502951.635485 98279.016706
2459241.048363 146056956855.000000 195.000000 41207376.447044 97913.013133
2459241.052426 146057064852.000000 304.000000 10927316.278410 98625.169282
2459241.541788 146064724135.000000 171.000000 74130308.177733 98488.704889
2459241.545893 146064831564.000000 284.000000 2489592.950684 98082.246638
2459241.555266 146064945976.000000 304.000000 11042528.165546 98621.986971
2459242.041734 146072727850.000000 171.000000 73895857.888833 98399.026710
2459242.045839 146072836992.000000 284.000000 2465477.432149 98020.510359
2459242.051141 146072836992.000000 195.000000 40989609.309442 97914.878541
