# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458497.049476 145875609066.000000 195.000000 29404738.860934 94664.377141
2458497.053531 145875685247.000000 304.000000 10644278.490123 94654.668452
2458497.539348 145880690555.000000 171.000000 71596824.102283 94876.847759
2458497.543453 145880763310.000000 284.000000 1373961.840543 94179.145444
2458497.548751 145880763310.000000 195.000000 29128502.967425 94577.563604
2458497.552802 145880832513.000000 304.000000 10736676.620429 94589.321387
2458498.038821 145885970945.000000 171.000000 71552569.859467 94851.112749
2458498.042922 145886045596.000000 284.000000 1354557.373019 94165.548009
2458498.048218 145886045596.000000 195.000000 29057245.268024 94584.215345
2458498.052274 145886120812.000000 304.000000 10549984.035764 94580.345985
2458498.541616 145891390276.000000 171.000000 72529299.765053 95980.026524
2458498.545725 145891463537.000000 284.000000 1386065.580721 94175.087947
2458498.551018 145891463537.000000 195.000000 29379934.679229 95894.102515
2458498.555070 145891538989.000000 304.000000 10575786.085078 94669.064190
2458499.041887 145896929398.000000 171.000000 72212461.302204 95705.495188
2458499.045991 145897010136.000000 284.000000 1353956.766488 94179.152429
2458499.051291 145897010136.000000 195.000000 28792666.650503 95855.625603
2458499.055342 145897091375.000000 304.000000 10483326.856077 94663.662209
2458499.541456 145902613631.000000 171.000000 71306165.836003 95473.500830
2458499.550854 145902691137.000000 195.000000 28258162.765350 95445.914478
2458499.554929 145902772556.000000 304.000000 10493593.659158 94656.390179
2458500.041458 145908422225.000000 171.000000 72064180.721317 95417.767205
2458500.045575 145908505355.000000 284.000000 1372481.801031 94210.325840
2458500.054939 145908583485.000000 304.000000 10555533.374411 94645.187065
2458500.540424 145914362493.000000 171.000000 71592943.201554 95285.759631
2458500.549825 145914451185.000000 195.000000 29051241.243565 95180.518596
2458500.553893 145914533122.000000 304.000000 10542723.947692 94552.956576
2458501.040314 145920446131.000000 171.000000 70167857.626793 95228.583941
2458501.044421 145920529586.000000 284.000000 1374671.648333 94189.026254
2458501.053785 145920617045.000000 304.000000 10588341.327816 94608.704461
2458501.540232 145926655457.000000 171.000000 70350766.872106 95105.316399
2458501.544347 145926744390.000000 284.000000 1389338.447071 94108.766424
2458501.549641 145926744390.000000 195.000000 29051380.884243 95087.290432
2458501.553695 145926831813.000000 304.000000 10652805.262190 94607.465285
2458502.044474 145933098402.000000 284.000000 1382634.113376 93958.768719
2458502.049771 145933098402.000000 195.000000 29150348.415972 95061.423755
2458502.053823 145933182307.000000 304.000000 10588409.314173 94565.145441
2458502.541199 145939490686.000000 171.000000 70696269.219077 95051.822117
2458502.545297 145939582980.000000 284.000000 1406658.179042 93958.060136
2458502.550595 145939582980.000000 195.000000 29095675.847594 94971.765690
2458502.554649 145939670432.000000 304.000000 10662254.985546 94516.261327
2458503.040084 145946112800.000000 171.000000 69890403.725590 95024.555895
2458503.044191 145946208601.000000 284.000000 1395615.110206 93936.460063
2458503.049488 145946208601.000000 195.000000 29267438.266994 94965.347362
2458503.053557 145946295712.000000 304.000000 10509984.777246 94476.191522
2458503.539729 145952874915.000000 171.000000 70788125.216863 95010.689965
2458503.548885 145952970298.000000 195.000000 29606512.932438 94935.612987
2458503.552938 145953067866.000000 304.000000 10670685.286230 94474.175800
2458504.039573 145959771266.000000 171.000000 70079430.728853 94881.964164
2458504.043690 145959873074.000000 284.000000 1463279.267175 93916.699608
2458504.048986 145959873074.000000 195.000000 29746368.681268 94816.284366
2458504.053038 145959970141.000000 304.000000 10551008.216908 94440.228120
2458504.538284 145966812977.000000 171.000000 70843271.250302 94741.517834
2458504.542378 145966907303.000000 284.000000 1478669.045905 93867.500958
2458504.547943 145966907303.000000 195.000000 29958656.917094 94751.510797
2458504.551998 145967010701.000000 304.000000 10661226.470801 94443.291097
2458505.038454 145973989610.000000 171.000000 70578643.557522 94683.634360
2458505.042553 145974090200.000000 284.000000 1476536.234340 93836.285385
2458505.047860 145974090200.000000 195.000000 29969362.260102 94724.992370
2458505.051913 145974192973.000000 304.000000 10607777.966051 94457.125332
2458505.541846 145981303788.000000 171.000000 71817388.256197 94657.098535
2458505.545946 145981406375.000000 284.000000 1555197.206128 93914.242754
2458505.551244 145981406375.000000 195.000000 30500191.693519 94644.297287
2458505.555298 145981508513.000000 304.000000 10765154.664419 94485.200504
2458506.041050 145988764057.000000 171.000000 70868133.804556 94619.618597
2458506.045161 145988870175.000000 284.000000 1564749.820305 93853.312891
2458506.050470 145988870175.000000 195.000000 30936197.306109 94560.731296
2458506.054523 145988974229.000000 304.000000 10713435.292900 94396.107854
2458506.540824 145996366322.000000 171.000000 71897491.686675 94589.876224
2458506.544965 145996474263.000000 284.000000 1616287.976020 93856.522876
2458506.550266 145996474263.000000 195.000000 30943702.399480 94570.193140
2458506.554320 145996580078.000000 304.000000 10813749.107263 94374.753430
2458507.040374 146004109053.000000 171.000000 72398664.846667 94532.919956
2458507.044474 146004223052.000000 284.000000 1607604.211351 93824.777168
2458507.049771 146004223052.000000 195.000000 30882038.174225 94550.467578
2458507.053825 146004328162.000000 304.000000 10709984.849596 94361.707254
2458507.539475 146011993581.000000 171.000000 72115211.450571 94504.770345
2458507.543592 146012109227.000000 284.000000 1618925.892027 93854.293341
2458507.548885 146012109227.000000 195.000000 31080560.301641 94535.659015
2458507.552949 146012215963.000000 304.000000 10768722.177095 94338.331977
2458508.039590 146020025279.000000 171.000000 72761339.818495 94505.846318
2458508.043693 146020142490.000000 284.000000 1637348.457184 93840.215664
2458508.048996 146020142490.000000 195.000000 31420742.149351 94527.991296
2458508.053068 146020250771.000000 304.000000 10881835.357325 94329.648126
2458508.539675 146028195309.000000 171.000000 72391021.652522 94502.553064
2458508.543775 146028314027.000000 284.000000 1654354.112025 93854.598955
