# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458849.541518 145829820300.000000 171.000000 75713930.305452 95419.121998
2458849.545618 145829822084.000000 284.000000 1425434.632526 94446.867499
2458849.550922 145829822084.000000 195.000000 28992574.084886 95859.758168
2458849.554975 145829825722.000000 304.000000 10498435.449120 95677.923357
2458850.041044 145830547534.000000 171.000000 75816660.476418 95320.862164
2458850.045150 145830560627.000000 284.000000 1454135.885327 94525.957745
2458850.050446 145830560627.000000 195.000000 29438908.817388 95716.967154
2458850.054515 145830575920.000000 304.000000 10403301.054329 95920.184852
2458850.540382 145831402661.000000 171.000000 75257759.987419 95346.571693
2458850.544483 145831426603.000000 284.000000 1467556.838010 94561.997626
2458850.549786 145831426603.000000 195.000000 29335147.692432 95562.847885
2458851.040304 145832394677.000000 171.000000 75318219.151353 95283.415009
2458851.044408 145832413697.000000 284.000000 1463254.535073 94639.844084
2458851.049707 145832413697.000000 195.000000 29164706.915300 95577.628832
2458851.053759 145832419236.000000 304.000000 10447076.311129 95929.258909
2458851.540061 145833516332.000000 171.000000 75533850.485120 95303.819759
2458851.544162 145833530001.000000 284.000000 1500041.390027 94652.169487
2458851.549483 145833530001.000000 195.000000 29987048.930398 95665.455217
2458851.553535 145833545868.000000 304.000000 10454488.645614 96022.304206
2458852.039965 145834759982.000000 171.000000 76045016.445226 95288.971440
2458852.044069 145834783900.000000 284.000000 1494966.682949 94659.069974
2458852.049370 145834783900.000000 195.000000 29304172.348754 95799.499561
2458852.053426 145834809581.000000 304.000000 10473685.507705 96029.203520
2458852.541872 145836147956.000000 171.000000 75824869.122094 95335.414644
2458852.545974 145836165575.000000 284.000000 1490219.787813 94702.122056
2458852.555333 145836185389.000000 304.000000 10459877.581802 95958.041791
2458853.041464 145837670857.000000 171.000000 76037315.858174 95474.093464
2458853.045585 145837682605.000000 284.000000 1499604.994746 94695.565274
2458853.050895 145837682605.000000 195.000000 29539126.280719 95810.635605
2458853.054949 145837711167.000000 304.000000 10520947.391075 95947.982490
2458853.541827 145839318042.000000 171.000000 75956444.008163 95427.352018
