# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s] pinholes[1ifYes] cameraError[1ifYes]
2450114.681136 146113056958.000000 304.000000 27222792.508151 5477.996807 1.000000 1.000000
2450114.733126 146113056958.000000 304.000000 27156234.515120 5470.114455 1.000000 1.000000
2450114.785112 146113056958.000000 304.000000 27131995.265861 5469.862439 1.000000 1.000000
2450114.837152 146113056958.000000 304.000000 27019710.935307 5467.178180 1.000000 1.000000
2450114.889097 146113056958.000000 304.000000 27131164.766651 5468.043396 1.000000 1.000000
2450114.941064 146113056958.000000 304.000000 18759867.047732 4561.659044 1.000000 1.000000
2450114.992160 146113056958.000000 304.000000 26974602.674183 5451.566664 1.000000 1.000000
2450115.043755 146113056958.000000 304.000000 27117167.399954 5464.745282 1.000000 1.000000
2450115.095720 146113056958.000000 304.000000 27066828.026249 5465.605162 1.000000 1.000000
2450115.147861 146113056958.000000 304.000000 26852837.044756 5440.286274 1.000000 1.000000
2450115.199801 146113056958.000000 304.000000 27065163.224233 5461.030708 1.000000 1.000000
2450115.297180 146113056958.000000 195.000000 47968942.522406 7750.178302 1.000000 0.000000
2450115.341809 146113056958.000000 304.000000 27035062.056328 5456.124643 1.000000 1.000000
2450115.375308 146113056958.000000 284.000000 1570206.782636 1545.197086 1.000000 0.000000
2450115.605754 146138641087.000000 284.000000 2365135.462545 1852.561270 1.000000 0.000000
2450115.639709 146138641087.000000 284.000000 2370736.989066 1837.346462 1.000000 0.000000
2450115.688001 146138641087.000000 284.000000 2389044.244861 1872.637845 1.000000 0.000000
2450115.734926 146138641087.000000 284.000000 2379312.896402 1828.517731 1.000000 0.000000
2450115.829516 146138641087.000000 284.000000 2398828.027097 1835.339305 1.000000 0.000000
2450115.877765 146138641087.000000 284.000000 2413071.648024 1837.518771 1.000000 0.000000
2450115.921516 146138641087.000000 284.000000 2419331.293747 1848.644231 1.000000 0.000000
2450115.969826 146138641087.000000 284.000000 2414970.437132 1868.293713 1.000000 0.000000
2450116.018334 146138641087.000000 284.000000 2425294.605952 1859.616551 1.000000 0.000000
2450116.065774 146138641087.000000 284.000000 2447388.063262 1870.486100 1.000000 0.000000
2450116.114042 146138641087.000000 284.000000 2422580.070520 1884.424499 1.000000 0.000000
2450116.162324 146138641087.000000 284.000000 2436199.638547 1850.093168 1.000000 0.000000
2450116.335951 146138641087.000000 171.000000 78713404.280741 10398.104114 1.000000 0.000000
2450116.340899 146138641087.000000 304.000000 27662636.653960 5522.989437 1.000000 1.000000
2450116.347202 146138641087.000000 195.000000 39305377.451263 6970.664064 1.000000 0.000000
2450116.352478 146138641087.000000 284.000000 2453253.730960 1874.453496 1.000000 1.000000
2450116.489343 146138641087.000000 284.000000 2680560.451256 2073.645138 1.000000 0.000000
2450116.535408 146164842847.000000 284.000000 2798767.630923 2176.167405 1.000000 0.000000
2450116.581074 146164842847.000000 284.000000 2705065.281254 2095.016584 1.000000 0.000000
2450116.627157 146164842847.000000 284.000000 2693695.440573 2071.692112 1.000000 0.000000
2450116.673323 146164842847.000000 284.000000 2709533.670997 2139.810360 1.000000 0.000000
2450116.765471 146164842847.000000 284.000000 2689580.986832 2067.099490 1.000000 0.000000
2450116.806985 146164842847.000000 284.000000 2717197.396880 2075.353904 1.000000 0.000000
2450116.853057 146164842847.000000 284.000000 2723017.612672 2079.547337 1.000000 0.000000
2450116.899135 146164842847.000000 284.000000 2700585.231055 2066.278935 1.000000 0.000000
2450116.945205 146164842847.000000 284.000000 2698505.320278 2065.313539 1.000000 0.000000
2450116.991242 146164842847.000000 284.000000 2695011.293680 2069.327198 1.000000 0.000000
2450117.037270 146164842847.000000 284.000000 2685668.509269 2060.702589 1.000000 0.000000
2450117.083291 146164842847.000000 284.000000 2655749.640181 2054.294380 1.000000 0.000000
2450117.129747 146164842847.000000 284.000000 2658247.201809 2059.198181 1.000000 0.000000
2450117.188829 146164842847.000000 195.000000 39199466.150311 6970.593887 1.000000 1.000000
2450118.209329 146191624183.000000 195.000000 37914695.460011 6859.312753 1.000000 1.000000
2450118.218703 146191624183.000000 284.000000 2206699.685698 1793.437170 1.000000 0.000000
2450118.226036 146191624183.000000 171.000000 76834940.552472 10301.263822 1.000000 1.000000
2450118.231959 146191624183.000000 304.000000 27230471.325671 5482.969602 1.000000 0.000000
2450118.256911 146191624183.000000 304.000000 27245636.112974 5536.505181 1.000000 1.000000
2450119.167140 146218971723.000000 195.000000 37053000.630200 6776.138319 1.000000 1.000000
2450119.172138 146218971723.000000 284.000000 2102692.379147 1771.539095 1.000000 0.000000
2450119.180485 146218971723.000000 171.000000 76278715.861156 10241.090997 1.000000 1.000000
2450119.201309 146218971723.000000 304.000000 27367334.380899 5497.037851 1.000000 0.000000
2450119.297466 146218971723.000000 304.000000 27314312.494399 5488.318007 1.000000 1.000000
2450120.241879 146246857130.000000 304.000000 27325306.322407 5492.924114 1.000000 0.000000
2450120.248092 146246857130.000000 195.000000 36017740.661233 6683.247911 1.000000 1.000000
2450120.262575 146246857130.000000 171.000000 76286252.448195 10240.555239 1.000000 1.000000
2450121.294499 146275260637.000000 304.000000 26965662.974104 5453.025136 1.000000 0.000000
2450121.301161 146275260637.000000 284.000000 1902880.021932 1703.430121 1.000000 1.000000
2450121.313375 146275260637.000000 171.000000 76115666.298261 10218.817339 1.000000 0.000000
2450121.318423 146275260637.000000 195.000000 35525214.611418 6790.040947 1.000000 1.000000
2450122.133145 146304158758.000000 171.000000 74209251.033263 10067.072849 1.000000 0.000000
2450122.138256 146304158758.000000 284.000000 1860898.889443 1687.900417 1.000000 1.000000
2450122.168741 146304158758.000000 195.000000 33508668.599300 6437.305402 1.000000 0.000000
2450122.286237 146304158758.000000 304.000000 27178489.574555 5508.924704 1.000000 1.000000
2450123.340665 146333541776.000000 195.000000 33128307.035327 6395.043444 1.000000 1.000000
2450123.352201 146333541776.000000 284.000000 1846039.649546 1655.546872 1.000000 0.000000
2450123.364481 146333541776.000000 171.000000 75892608.747193 10199.150952 1.000000 1.000000
2450124.324566 146363381583.000000 284.000000 1818614.671800 1642.103409 1.000000 0.000000
2450126.127594 146424368756.000000 195.000000 31923289.574308 6278.818932 1.000000 1.000000
2450126.133109 146424368756.000000 284.000000 1785511.910922 1628.940557 1.000000 0.000000
2450126.141355 146424368756.000000 171.000000 73551740.500337 10000.705824 1.000000 1.000000
2450126.146501 146424368756.000000 304.000000 26797174.227941 5433.594458 1.000000 0.000000
2450127.157759 146455490206.000000 171.000000 73576512.373279 10016.388655 1.000000 1.000000
2450127.178323 146455490206.000000 304.000000 26849258.374882 5438.734430 1.000000 0.000000
2450129.169816 146519226461.000000 304.000000 26909655.053964 5424.942174 1.000000 0.000000
2450129.176044 146519226461.000000 195.000000 32158805.446046 6253.622239 1.000000 1.000000
2450129.180153 146519226461.000000 284.000000 1848567.399112 1629.304181 1.000000 0.000000
2450129.187474 146519226461.000000 171.000000 73538854.988883 9916.441733 1.000000 1.000000
2450129.296164 146519226461.000000 171.000000 76098815.229273 10119.586886 1.000000 0.000000
2450130.151550 146551743681.000000 304.000000 17542314.806157 4465.664962 1.000000 1.000000
2450130.266104 146551743681.000000 304.000000 27046032.542916 5449.006948 1.000000 0.000000
2450130.316773 146551743681.000000 284.000000 1943986.580328 1690.139556 1.000000 1.000000
2450130.331933 146551743681.000000 304.000000 26959046.389992 5431.617784 1.000000 0.000000
2450131.075782 146584628976.000000 195.000000 34513237.240780 6501.334193 1.000000 1.000000
2450131.138750 146584628976.000000 195.000000 34204651.066413 6486.602132 1.000000 0.000000
2450131.157097 146584628976.000000 195.000000 33600767.817747 6414.913087 1.000000 0.000000
2450131.175514 146584628976.000000 195.000000 34078544.669940 6476.876494 1.000000 1.000000
2450131.219440 146584628976.000000 195.000000 34326518.223265 6481.512669 1.000000 0.000000
2450131.253369 146584628976.000000 284.000000 2010195.461602 1707.908100 1.000000 1.000000
2450131.273965 146584628976.000000 304.000000 27271984.970249 5477.558273 1.000000 0.000000
2450131.409379 146584628976.000000 195.000000 34420523.029706 6495.944383 1.000000 1.000000
2450131.444534 146584628976.000000 195.000000 34625480.250964 6517.354777 1.000000 0.000000
2450132.184438 146617864476.000000 304.000000 27345501.723605 5483.509740 1.000000 1.000000
2450132.190726 146617864476.000000 284.000000 2006184.816421 1702.885374 1.000000 0.000000
2450134.241702 146685342175.000000 171.000000 87530130.638898 10890.246652 1.000000 1.000000
2450134.290441 146685342175.000000 171.000000 78068739.423222 10236.609883 1.000000 0.000000
2450134.333466 146685342175.000000 304.000000 28247104.554632 5573.848463 1.000000 0.000000
2450134.364090 146685342175.000000 284.000000 2670247.485266 2207.072343 1.000000 0.000000
2450135.319314 146719560141.000000 195.000000 36435964.288108 6636.449182 1.000000 1.000000
2450135.324599 146719560141.000000 284.000000 2628376.360474 2152.099390 1.000000 0.000000
2450136.214122 146754089789.000000 304.000000 28364387.687807 5581.602845 1.000000 0.000000
2450136.235633 146754089789.000000 284.000000 10635911.123764 7140.000805 0.000000 0.000000
2450136.285200 146754089789.000000 284.000000 10667832.656148 7152.067540 0.000000 1.000000
2450136.289041 146754089789.000000 304.000000 28377970.506596 5575.367882 1.000000 0.000000
2450136.601868 146788919558.000000 195.000000 35743460.937002 6514.745893 1.000000 0.000000
2450136.608003 146788919558.000000 171.000000 75501301.144008 9931.714751 1.000000 1.000000
2450136.638595 146788919558.000000 171.000000 75743798.226016 9998.039419 1.000000 0.000000
2450136.643740 146788919558.000000 171.000000 77268412.462274 10111.716428 1.000000 1.000000
2450136.654425 146788919558.000000 171.000000 76002366.883999 10031.613235 1.000000 0.000000
2450136.666993 146788919558.000000 284.000000 2596455.352288 2117.047287 1.000000 1.000000
2450136.671508 146788919558.000000 304.000000 28342448.490229 5565.610491 1.000000 0.000000
2450136.677251 146788919558.000000 195.000000 35917175.744960 6581.538531 1.000000 1.000000
2450136.681664 146788919558.000000 171.000000 75615027.098708 10030.566227 1.000000 0.000000
2450136.770964 146788919558.000000 284.000000 2667202.570521 2176.753929 1.000000 1.000000
2450136.775501 146788919558.000000 304.000000 28419171.934116 5584.160683 1.000000 0.000000
2450136.781220 146788919558.000000 195.000000 36079816.267462 6608.384933 1.000000 1.000000
2450136.785586 146788919558.000000 171.000000 76274496.694644 10102.643291 1.000000 0.000000
2450136.875134 146788919558.000000 284.000000 2662192.941731 2175.091145 1.000000 1.000000
2450136.879653 146788919558.000000 304.000000 28559002.326038 5598.701545 1.000000 0.000000
2450136.885198 146788919558.000000 195.000000 36034700.909484 6611.487501 1.000000 1.000000
2450136.889577 146788919558.000000 171.000000 76234991.872095 10110.969193 1.000000 0.000000
2450137.235430 146788919558.000000 284.000000 2669229.621660 2166.597275 1.000000 1.000000
2450137.239969 146788919558.000000 304.000000 28771159.239487 5615.771942 1.000000 0.000000
2450137.245561 146788919558.000000 195.000000 38248645.872133 6806.389795 1.000000 1.000000
2450137.250824 146788919558.000000 171.000000 77183601.251310 10166.777890 1.000000 0.000000
2450137.530653 146824039393.000000 284.000000 2756376.041822 2270.574079 1.000000 0.000000
2450137.535183 146824039393.000000 171.000000 77044803.590312 10158.001084 1.000000 1.000000
2450137.539647 146824039393.000000 304.000000 29164492.213659 5648.540218 1.000000 0.000000
2450137.545355 146824039393.000000 195.000000 36887016.906600 6699.103988 1.000000 1.000000
2450138.498534 146824039393.000000 284.000000 2797030.195535 2196.256126 1.000000 1.000000
2450138.503066 146859453302.000000 171.000000 87139786.977986 10821.951584 1.000000 0.000000
2450138.507587 146859453302.000000 304.000000 29053781.316529 5639.602154 1.000000 1.000000
2450138.513129 146859453302.000000 195.000000 37238949.350441 6708.906141 1.000000 0.000000
2450138.578019 146859453302.000000 284.000000 2814086.119676 2207.139198 1.000000 0.000000
2450138.582550 146859453302.000000 171.000000 78101317.863865 10205.049870 1.000000 1.000000
2450138.587066 146859453302.000000 304.000000 29234622.351467 5655.934660 1.000000 0.000000
2450138.592628 146859453302.000000 195.000000 38173005.019644 6794.375371 1.000000 1.000000
2450138.656748 146859453302.000000 284.000000 2846705.305461 2221.578560 1.000000 1.000000
2450139.111020 146859453302.000000 284.000000 2778662.963155 2184.759691 1.000000 0.000000
2450139.115982 146859453302.000000 171.000000 77754803.993357 10172.484744 1.000000 1.000000
2450139.122484 146859453302.000000 304.000000 28867270.233120 5623.111451 1.000000 0.000000
2450139.128022 146859453302.000000 195.000000 37558113.617579 6741.050823 1.000000 1.000000
2450139.401475 146859453302.000000 195.000000 37471400.902533 6688.900680 1.000000 0.000000
2450139.893312 146895153756.000000 195.000000 37096446.468556 6645.655167 1.000000 1.000000
2450140.139415 146895153756.000000 304.000000 28206371.790164 5482.961730 1.000000 1.000000
2450140.352817 146895153756.000000 284.000000 2170400.180304 1694.830493 1.000000 1.000000
2450140.358787 146895153756.000000 171.000000 93242833.443063 36574.598311 0.000000 0.000000
2450140.392591 146895153756.000000 304.000000 28036802.295999 5485.718301 1.000000 1.000000
2450140.398620 146895153756.000000 195.000000 38149211.678558 6742.979538 1.000000 0.000000
2450140.698479 146931136092.000000 195.000000 37559031.846092 6654.653471 1.000000 0.000000
2450140.762524 146931136092.000000 195.000000 37661700.252421 6690.516626 1.000000 0.000000
2450140.826853 146931136092.000000 195.000000 38099398.678820 6738.264498 1.000000 0.000000
2450140.890896 146931136092.000000 195.000000 37559155.391765 6685.368366 1.000000 0.000000
2450140.955247 146931136092.000000 195.000000 40556620.205787 6953.902397 1.000000 0.000000
2450141.229962 146931136092.000000 284.000000 2166009.676213 1693.438140 1.000000 1.000000
2450141.235932 146931136092.000000 171.000000 77792814.837553 10073.832753 1.000000 0.000000
2450141.263520 146931136092.000000 304.000000 27784886.855153 5462.142227 1.000000 1.000000
2450141.268775 146931136092.000000 195.000000 37718949.349940 6706.941708 1.000000 0.000000
2450141.333318 146931136092.000000 195.000000 37817476.124974 6712.405482 1.000000 0.000000
2450142.091705 146967409952.000000 284.000000 2669088.483674 2171.378809 1.000000 0.000000
2450142.098693 146967409952.000000 171.000000 78689269.758035 10253.418095 1.000000 1.000000
2450142.103164 146967409952.000000 304.000000 28562825.143623 5594.409228 1.000000 0.000000
2450142.108875 146967409952.000000 195.000000 41461213.072728 8872.857278 1.000000 1.000000
2450143.153780 147003942940.000000 304.000000 28393656.977641 5566.867086 1.000000 0.000000
2450143.158853 147003942940.000000 195.000000 38434951.023867 6819.748799 1.000000 1.000000
2450143.162970 147003942940.000000 284.000000 2241865.249988 1792.747463 1.000000 0.000000
2450143.170634 147003942940.000000 171.000000 78527583.466055 10200.006268 1.000000 1.000000
2450143.184802 147003942940.000000 304.000000 28373898.686781 5567.586995 1.000000 0.000000
2450143.200901 147003942940.000000 195.000000 37041443.437746 6698.869748 1.000000 1.000000
2450143.214984 147003942940.000000 284.000000 2245624.958667 1780.603765 1.000000 0.000000
2450143.227233 147003942940.000000 171.000000 78509716.075070 10222.980709 1.000000 1.000000
2450143.241354 147003942940.000000 304.000000 28366112.402323 5574.973626 1.000000 0.000000
2450143.257472 147003942940.000000 195.000000 36951475.972036 6694.802580 1.000000 1.000000
2450143.271521 147003942940.000000 284.000000 2236491.118482 1772.872856 1.000000 0.000000
2450143.284067 147003942940.000000 171.000000 79977568.617885 10323.075510 1.000000 1.000000
2450144.189568 147040766035.000000 171.000000 79235184.580478 10275.669829 1.000000 0.000000
2450144.218987 147040766035.000000 284.000000 2139593.265573 1772.364144 1.000000 1.000000
2450144.226292 147040766035.000000 171.000000 86664179.165513 10792.258901 1.000000 0.000000
2450144.383807 147040766035.000000 304.000000 28489396.727753 5584.428404 1.000000 1.000000
2450144.406790 147040766035.000000 284.000000 2111156.166629 1752.262034 1.000000 0.000000
2450144.423564 147040766035.000000 171.000000 78925053.192580 10246.345195 1.000000 1.000000
2450144.428367 147040766035.000000 195.000000 36269247.223383 6639.595385 1.000000 0.000000
2450145.157243 147077854561.000000 284.000000 2020761.611676 1729.200129 1.000000 0.000000
2450145.164546 147077854561.000000 171.000000 82788687.526281 10516.360129 1.000000 1.000000
2450145.374994 147077854561.000000 304.000000 28749672.590526 5609.216348 1.000000 0.000000
2450145.439564 147077854561.000000 195.000000 35535789.909969 6564.063944 1.000000 1.000000
2450145.459694 147077854561.000000 284.000000 1978720.744045 1704.897246 1.000000 0.000000
2450145.566666 147115217567.000000 304.000000 28092359.412717 5540.638238 1.000000 0.000000
2450145.581983 147115217567.000000 195.000000 35222929.963106 6544.315862 1.000000 1.000000
2450145.597281 147115217567.000000 284.000000 1969252.681092 1712.620874 1.000000 0.000000
2450145.612605 147115217567.000000 171.000000 86783770.420956 10776.751789 1.000000 1.000000
2450145.907413 147115217567.000000 304.000000 28029686.758215 5536.707219 1.000000 0.000000
2450145.922737 147115217567.000000 195.000000 36162586.038911 6618.086822 1.000000 1.000000
2450145.938029 147115217567.000000 284.000000 1932226.746165 1693.951030 1.000000 0.000000
2450145.953346 147115217567.000000 171.000000 76264097.848934 10046.468135 1.000000 1.000000
2450146.153347 147115217567.000000 304.000000 28149165.541313 5548.292459 1.000000 1.000000
2450146.168652 147115217567.000000 195.000000 34339900.192768 6445.032315 1.000000 0.000000
2450146.183981 147115217567.000000 284.000000 1923651.354553 1692.367265 1.000000 1.000000
2450146.199306 147115217567.000000 171.000000 76378341.084481 10046.525576 1.000000 0.000000
2450146.509895 147152835064.000000 195.000000 33844572.403908 6394.863680 1.000000 0.000000
2450146.525218 147152835064.000000 284.000000 1911451.941778 1691.450368 1.000000 1.000000
2450146.540540 147152835064.000000 171.000000 76336390.674142 10043.694292 1.000000 0.000000
2450147.110213 147152835064.000000 195.000000 33876025.276051 6403.808711 1.000000 0.000000
2450147.124191 147152835064.000000 284.000000 1880415.263985 1677.887684 1.000000 1.000000
2450147.136598 147152835064.000000 171.000000 76189945.876520 10033.201674 1.000000 0.000000
2450147.358042 147152835064.000000 284.000000 1859965.348845 1685.396815 1.000000 1.000000
2450147.370411 147152835064.000000 171.000000 74888507.810108 9932.776025 1.000000 0.000000
2450147.384430 147152835064.000000 304.000000 27607052.794968 5496.391600 1.000000 1.000000
2450147.400464 147152835064.000000 195.000000 32710332.287813 6292.602592 1.000000 0.000000
2450147.468287 147152835064.000000 195.000000 32553225.411750 6278.909930 1.000000 1.000000
2450147.782763 147190725167.000000 304.000000 27986726.690157 5553.904001 1.000000 0.000000
2450147.798084 147190725167.000000 195.000000 33400187.159015 6349.793192 1.000000 1.000000
2450147.813419 147190725167.000000 284.000000 1857190.582451 1671.004432 1.000000 0.000000
2450147.828712 147190725167.000000 171.000000 74936334.808793 9932.711110 1.000000 1.000000
2450148.334302 147190725167.000000 195.000000 32881018.858078 6279.535913 1.000000 1.000000
2450148.344357 147190725167.000000 304.000000 26801940.457765 5396.846516 1.000000 0.000000
2450148.390086 147190725167.000000 304.000000 26909920.985781 5410.372964 1.000000 1.000000
2450148.464142 147190725167.000000 284.000000 1833516.351715 1662.310233 1.000000 0.000000
2450148.479407 147190725167.000000 171.000000 80325861.747285 10325.635525 1.000000 1.000000
2450148.510054 147228874886.000000 195.000000 33053690.720691 6299.049107 1.000000 1.000000
2450149.125032 147228874886.000000 284.000000 1841228.221763 1668.597755 1.000000 0.000000
2450149.140287 147228874886.000000 171.000000 81790829.468162 10418.806941 1.000000 1.000000
2450149.155675 147228874886.000000 304.000000 26588001.142836 5374.604712 1.000000 0.000000
2450149.170922 147228874886.000000 195.000000 32736706.666869 6260.639180 1.000000 1.000000
2450149.763774 147267263584.000000 304.000000 26699220.385776 5387.716426 1.000000 1.000000
2450149.779062 147267263584.000000 195.000000 32858473.008643 6270.100964 1.000000 0.000000
2450150.661560 147305888866.000000 284.000000 1829833.186765 1635.661936 1.000000 0.000000
2450150.676868 147305888866.000000 171.000000 77135909.261259 10120.892013 1.000000 1.000000
2450150.692248 147305888866.000000 304.000000 27660110.906300 5481.464576 1.000000 0.000000
2450150.707554 147305888866.000000 195.000000 32409037.775093 6228.175448 1.000000 1.000000
2450150.990750 147305888866.000000 284.000000 1809676.934729 1625.042294 1.000000 0.000000
2450151.021408 147305888866.000000 304.000000 26355256.448584 5348.473155 1.000000 0.000000
2450151.036653 147305888866.000000 195.000000 32513309.585114 6405.658704 1.000000 1.000000
2450151.310796 147305888866.000000 195.000000 32559380.467990 6240.891616 1.000000 0.000000
2450151.348219 147305888866.000000 304.000000 26430517.848473 5360.132511 1.000000 0.000000
2450151.353570 147305888866.000000 284.000000 1859554.700327 1644.883732 1.000000 1.000000
