# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s] pinholes[1ifYes] cameraError[1ifYes]
2450098.509462 145807220671.000000 284.000000 170693.155449 554.610992 1.000000 0.000000
2450098.520198 145807220671.000000 195.000000 9975668.892545 3340.360888 1.000000 1.000000
2450098.536640 145807220671.000000 171.000000 63312558.921764 9911.299328 1.000000 0.000000
2450099.079850 145807220671.000000 171.000000 62551383.997885 9512.210569 1.000000 0.000000
2450102.242673 145847213868.000000 171.000000 72606593.320523 10330.977685 1.000000 1.000000
2450102.278505 145847213868.000000 171.000000 66964371.142199 9931.755951 1.000000 0.000000
2450102.401939 145847213868.000000 304.000000 18388366.320982 4614.989250 1.000000 1.000000
2450103.187493 145862557421.000000 171.000000 67949789.119557 9670.263243 1.000000 1.000000
2450103.212478 145862557421.000000 171.000000 67998310.020779 9681.242517 1.000000 0.000000
2450103.238993 145862557421.000000 284.000000 1021509.502740 1247.341099 1.000000 1.000000
2450103.261090 145862557421.000000 195.000000 37600790.198043 6901.624485 1.000000 1.000000
2450103.287879 145862557421.000000 304.000000 18993992.513524 4594.223993 1.000000 0.000000
2450104.325521 145878860750.000000 171.000000 74724161.867387 10049.463097 1.000000 1.000000
2450104.330839 145878860750.000000 304.000000 19973684.128937 4694.371152 1.000000 0.000000
2450104.337477 145878860750.000000 195.000000 41380071.022478 7175.532457 1.000000 1.000000
2450104.376537 145878860750.000000 284.000000 1119966.667030 1284.040705 1.000000 0.000000
2450105.415743 145896091940.000000 304.000000 21175713.284375 4819.878632 1.000000 0.000000
2450105.427692 145896091940.000000 195.000000 41315124.161365 7134.965527 1.000000 1.000000
2450105.474506 145896091940.000000 284.000000 1205125.811190 1306.004753 1.000000 0.000000
2450105.530558 145914214577.000000 171.000000 73289273.797328 9939.723790 1.000000 1.000000
2450106.219240 145914214577.000000 171.000000 76471305.679007 10804.622596 1.000000 1.000000
2450106.403591 145914214577.000000 304.000000 22732522.120223 5029.649277 1.000000 0.000000
2450106.928720 145933201160.000000 304.000000 23098832.630140 5068.761521 1.000000 1.000000
2450107.187502 145933201160.000000 171.000000 76390787.672695 10334.752206 1.000000 1.000000
2450107.701256 145953035319.000000 171.000000 78642561.857404 10351.953982 1.000000 1.000000
2450107.738274 145953035319.000000 171.000000 78473095.896891 10343.501584 1.000000 0.000000
2450107.755351 145953035319.000000 171.000000 78400687.402721 10343.254751 1.000000 0.000000
2450107.800420 145953035319.000000 171.000000 78288681.983864 10335.163034 1.000000 1.000000
2450107.815503 145953035319.000000 171.000000 79260886.764315 10405.985720 1.000000 0.000000
2450107.845604 145953035319.000000 171.000000 78123604.082931 10320.938410 1.000000 0.000000
2450107.875608 145953035319.000000 171.000000 77826921.649294 10301.729919 1.000000 0.000000
2450107.965912 145953035319.000000 171.000000 78147838.404870 10322.364992 1.000000 0.000000
2450107.980939 145953035319.000000 171.000000 78067610.339169 10315.159106 1.000000 1.000000
2450107.995986 145953035319.000000 171.000000 78276225.170359 10373.481821 1.000000 0.000000
2450108.026051 145953035319.000000 171.000000 78510039.213478 10345.893506 1.000000 0.000000
2450108.056086 145953035319.000000 171.000000 78280011.394040 10333.407167 1.000000 0.000000
2450108.116356 145953035319.000000 171.000000 78110014.794879 10316.290745 1.000000 0.000000
2450108.131343 145953035319.000000 171.000000 78027936.326682 10306.972907 1.000000 1.000000
2450108.161351 145953035319.000000 171.000000 78400031.808685 10333.416537 1.000000 1.000000
2450108.191459 145953035319.000000 171.000000 78301731.516139 10329.771168 1.000000 1.000000
2450108.221460 145953035319.000000 171.000000 78547180.437314 10344.659728 1.000000 1.000000
2450108.236494 145953035319.000000 171.000000 79312819.333860 10395.219152 1.000000 0.000000
2450109.190291 145973674367.000000 284.000000 1618792.158629 1621.725553 1.000000 1.000000
2450109.195262 145973674367.000000 171.000000 81075092.861831 10633.500742 1.000000 0.000000
2450109.251403 145973674367.000000 304.000000 24610319.006055 5222.103183 1.000000 1.000000
2450109.257478 145973674367.000000 195.000000 47020859.140914 7682.156667 1.000000 0.000000
2450109.279604 145973674367.000000 171.000000 80215190.432306 10585.676259 1.000000 1.000000
2450109.396580 145973674367.000000 304.000000 24726196.346281 5237.534186 1.000000 0.000000
2450110.234447 145995090593.000000 304.000000 25145037.162903 5271.630781 1.000000 1.000000
2450110.300437 145995090593.000000 171.000000 80914113.324194 10588.190833 1.000000 1.000000
2450110.325028 145995090593.000000 195.000000 47307020.062098 7683.126438 1.000000 1.000000
2450110.380809 145995090593.000000 284.000000 1471808.790129 1447.904601 1.000000 1.000000
2450111.246365 146017277628.000000 171.000000 81010790.410492 10582.215749 1.000000 0.000000
2450111.314549 146017277628.000000 304.000000 25934069.677960 5348.570472 1.000000 0.000000
2450111.326648 146017277628.000000 284.000000 1461713.230188 1439.210764 1.000000 1.000000
2450111.395050 146017277628.000000 195.000000 46875177.056608 7651.475891 1.000000 0.000000
2450112.521876 146063801098.000000 171.000000 82425819.658360 10691.995924 1.000000 1.000000
2450112.578674 146063801098.000000 304.000000 26527877.401226 5425.677355 1.000000 0.000000
2450112.584527 146063801098.000000 284.000000 1509782.171717 1462.820880 1.000000 1.000000
2450112.628163 146063801098.000000 195.000000 48777559.877319 7813.507249 1.000000 1.000000
2450113.232308 146063801098.000000 171.000000 82563444.906949 10685.039203 1.000000 0.000000
2450113.271687 146063801098.000000 284.000000 1515285.718797 1468.626614 1.000000 0.000000
2450113.330962 146063801098.000000 304.000000 26443940.768528 5400.022510 1.000000 0.000000
2450113.361415 146063801098.000000 195.000000 50024625.369132 8203.256396 1.000000 1.000000
2450113.588471 146088102103.000000 284.000000 1494539.943409 1455.888146 1.000000 1.000000
2450113.623928 146088102103.000000 284.000000 1502325.498487 1456.950148 1.000000 1.000000
2450113.671502 146088102103.000000 284.000000 1512352.140797 1464.973646 1.000000 1.000000
2450113.720106 146088102103.000000 284.000000 1511641.394276 1459.618339 1.000000 1.000000
2450113.768531 146088102103.000000 284.000000 1520852.868711 1467.383519 1.000000 1.000000
2450113.816792 146088102103.000000 284.000000 1545669.411877 1483.477366 1.000000 1.000000
2450113.864953 146088102103.000000 284.000000 1546268.068607 1491.252965 1.000000 1.000000
2450113.913244 146088102103.000000 284.000000 1547176.412172 1472.227152 1.000000 1.000000
2450113.961574 146088102103.000000 284.000000 1560201.844933 1485.725599 1.000000 1.000000
2450114.010158 146088102103.000000 284.000000 1554268.014807 1489.343068 1.000000 1.000000
2450114.058613 146088102103.000000 284.000000 1565914.226450 1478.712493 1.000000 1.000000
2450114.126444 146088102103.000000 195.000000 47866620.305706 7741.738549 1.000000 0.000000
2450114.178565 146088102103.000000 284.000000 1582373.693270 1498.306582 1.000000 1.000000
2450114.235723 146088102103.000000 304.000000 27122551.343152 5468.989154 1.000000 0.000000
2450114.342722 146088102103.000000 171.000000 82222871.219689 10668.183096 1.000000 0.000000
2450114.372936 146088102103.000000 284.000000 1577996.968916 1481.989455 1.000000 1.000000
2450114.538035 146113056958.000000 304.000000 27366669.179825 5498.828409 1.000000 1.000000
2450114.577113 146113056958.000000 304.000000 27138971.602340 5467.754596 1.000000 1.000000
2450114.629080 146113056958.000000 304.000000 27119430.463814 5465.562287 1.000000 1.000000
