# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450213.740797 57233429.369954 8060233.184622 0 0
2450213.983195 57179837.057148 8098246.467077 0 0
2450214.357343 57149492.074188 8164628.837731 0 0
2450214.733940 57753365.452944 8323226.664075 0 0
2450214.976059 56064727.379911 8125340.161509 0 0
2450215.218107 74800777.275623 10900803.986810 0 0
2450215.542777 68035875.952965 9989626.568879 0 0
2450215.787069 55785459.259200 8237492.047342 0 0
2450216.031260 66539559.134743 9880324.997931 0 0
2450216.275609 71842123.849020 10727470.666550 0 0
2450216.411555 57423248.562363 8601587.726929 0 0
2450216.654541 57163868.723982 8610413.119668 0 0
2450216.897518 56765338.564479 8597911.345604 0 0
2450217.140516 56558190.211640 8614045.962163 0 0
2450217.311031 57265392.196219 8755571.376713 0 0
2450217.502072 55386116.508962 8505064.787319 0 0
2450217.744334 56305158.181054 8693681.051777 0 0
2450218.231917 54433028.272736 8497599.727095 0 0
2450218.381286 55534533.120241 8698662.042541 0 0
2450218.582463 65672433.064235 10332745.422185 0 0
2450219.233505 54919824.968021 8767853.450224 0 0
2450219.462319 54453034.889046 8737671.808966 0 0
2450219.777840 71036890.499789 11478107.404968 0 0
2450220.406300 51572879.807576 8449903.590650 0 0
2450220.721885 52467032.272968 8656013.910102 0 0
2450221.058206 53366934.127003 8869319.926469 0 0
2450221.557565 68261343.425296 11467845.441351 0 0
2450221.772164 53530003.376790 9035245.235390 0 0
2450221.986625 53603739.000043 9089628.362579 0 0
2450222.238340 50968038.639278 8689701.241943 0 0
2450222.554264 48979179.158660 8407402.677704 0 0
2450222.889769 49517539.187052 8560839.697698 0 0
2450223.154905 48465304.358229 8426311.476427 0 0
2450223.327008 63411388.680476 11064519.166564 0 0
2450223.642623 47667619.389230 8373556.807973 0 0
2450223.978739 47610740.766831 8422886.907198 0 0
2450224.156572 45803870.898301 8133572.983148 0 0
2450225.587633 43135667.079440 7890477.222947 0 0
2450225.903174 44673582.720715 8224676.102386 0 0
2450226.231816 42184254.546175 7818710.872963 0 0
2450226.625724 41144878.002657 7687282.596189 0 0
2450226.877317 42471209.423613 7975409.737277 1 0
2450229.367248 42764177.030127 10004075.581850 0 1
2450229.477986 41240004.762593 9919992.751236 0 0
2450229.799361 41200938.606355 9914297.877299 0 0
2450230.249480 46524048.529512 10217257.178645 0 0
2450230.406056 41911683.591485 9955325.871276 0 0
2450230.830840 43019399.419869 10017277.867603 0 0
2450231.166254 41794315.478363 9953278.285557 0 0
2450231.400078 43511027.738494 10053060.155901 0 0
2450231.715615 41602585.259101 9948282.564362 0 0
2450232.051017 41613193.473099 9955695.870376 0 0
2450232.411523 40651661.296870 9910803.158047 0 0
2450232.727726 41276162.904364 9950348.464537 0 0
2450233.063281 41439988.130963 9969420.573411 0 0
2450233.414686 41658875.943047 9993358.375244 0 0
2450233.730195 41993773.246899 10020688.747500 0 0
2450234.066532 42526279.877025 10065182.265352 0 0
2450234.328051 42172500.246623 10055431.748161 0 0
2450234.408766 42208750.138625 10061117.270415 0 0
2450234.724843 43150128.066841 10128963.634271 0 0
2450235.059842 44311958.116389 10217743.440763 0 0
2450235.337660 44389837.181088 10238074.707125 0 0
2450235.417998 44229121.061495 10232536.124692 0 0
2450236.068191 44648921.730405 10295772.152662 0 0
2450236.503919 45767882.795315 10395926.684981 0 0
2450236.831547 45451158.168071 10398404.223113 0 0
2450237.165972 47476434.480374 10564078.046538 0 0
2450237.700636 48253131.322076 10662418.455675 0 0
2450238.041765 47719396.746610 10654577.755372 0 0
2450238.337090 47321159.837270 10652750.650883 0 0
2450238.652786 48233272.024456 10747965.357206 0 0
2450238.987918 48901791.485392 10833168.224719 0 0
2450239.440963 55817593.312071 11446859.799913 0 0
2450240.312415 49484622.308484 11025226.075278 0 0
2450240.628505 49335420.769477 11048027.261996 0 0
2450240.963643 49708114.033194 11121078.723240 0 0
2450241.345014 49390323.236967 11142650.420607 0 0
2450241.660874 51291757.160644 11351112.772466 0 0
2450241.995422 52935752.143987 11548370.362560 0 0
2450242.528543 53749753.006631 11709279.487179 0 0
2450242.844129 50659206.091448 11466160.740188 0 0
2450243.178997 57257712.203858 12162459.888524 0 0
2450243.344929 49577630.954594 11438242.393345 0 0
2450243.746086 53479270.091746 11884063.589079 0 0
2450244.080630 49045503.672149 11499716.216047 0 0
2450244.344975 49177871.354564 11552841.653533 0 0
2450244.464520 48739039.784455 11527827.648085 0 0
2450245.292012 46619920.516281 11444638.578630 0 0
2450245.478809 47330210.942823 11544520.460830 0 0
2450245.795554 46949794.678913 11557127.961770 0 0
2450246.471442 45476688.101168 11507384.754163 0 0
2450246.793424 45493841.130676 11561099.735444 0 0
2450247.129927 45583904.084577 11622634.838952 0 0
2450247.377554 45088676.778666 11607553.637729 0 0
2450247.693769 45283729.312827 11681159.299457 0 0
2450248.031144 48741363.454438 12128362.726637 0 0
2450248.762242 45161335.465051 11841549.083824 0 0
2450249.099455 44393908.853549 11807350.870660 0 0
2450249.384327 47344703.996354 12205923.061597 0 0
2450249.700017 44136181.350806 11877195.841874 0 0
2450250.325157 57949138.731494 13778757.994697 0 0
2450250.445457 42419062.740468 11791060.887762 0 0
2450250.761077 43564174.259169 11984684.410439 0 0
2450251.097373 42221184.478834 11873160.069968 0 0
2450251.719281 41440730.385094 11877494.699104 0 0
2450252.708265 42284424.311891 12150053.057321 0 0
2450253.043362 42710309.790264 12263564.582531 0 0
2450253.331553 45074989.380557 12639735.080496 0 0
2450253.480291 42083983.785180 12252837.425915 0 0
2450253.796128 47468364.741581 13073653.577939 0 0
2450254.130884 45814547.096423 12898997.402524 0 0
2450254.402400 43657644.889148 12637898.457781 0 0
2450254.718750 43576355.150880 12686483.190929 0 0
2450255.057381 44368703.478444 12865778.806166 0 0
2450255.423285 44919287.808030 13018115.255349 0 0
2450255.738911 45577343.779137 13183025.155802 0 0
2450256.074396 46035210.411708 13321235.951866 0 0
2450256.778408 45696376.824429 13412408.010291 0 0
2450257.116637 45563853.045552 13459550.918323 0 0
2450257.425971 45507714.575380 13513240.554480 0 0
2450257.742278 45802517.490713 13629311.228119 0 0
2450258.076862 46944931.521318 13891478.703735 0 0
2450258.295804 47826560.976767 14089676.644336 1 0
2450259.522101 53438094.820462 10567082.052211 0 1
2450259.838234 55064380.589101 10667325.984363 0 0
2450260.800816 53677439.809259 10590519.511148 0 0
2450261.135746 54706436.670150 10659563.513276 0 0
2450261.413207 53727580.964326 10603785.030834 0 0
2450262.064425 54079557.671175 10644989.818754 0 0
2450262.185081 53608060.089525 10619001.892944 0 0
2450262.213256 53994069.997775 10644081.131647 0 0
2450262.314365 61333949.097775 11129745.559701 0 0
2450262.423559 59437298.540042 11005554.110053 0 0
2450262.456145 53899189.883007 10645972.508276 0 0
2450262.507775 58834752.622622 10971495.013714 0 0
2450262.559472 54394026.732620 10683944.195333 0 0
2450262.610947 54295752.637834 10679552.679137 0 0
2450262.661492 54098063.923349 10668847.161287 0 0
2450262.713053 54183116.026842 10676157.973824 0 0
2450262.764321 53843782.100230 10656552.177033 0 0
2450262.815850 55411004.534682 10758839.913604 0 0
2450262.865873 54807003.543450 10721939.167738 0 0
2450262.916017 59120713.716820 11008233.832603 0 0
2450262.967727 54005549.182880 10674773.300358 0 0
2450263.116018 53777875.400953 10666375.697385 0 0
2450263.119926 53761478.309679 10665494.939577 0 0
2450263.511029 54203775.110664 10714384.712365 0 0
2450263.827379 54238878.115499 10732300.894063 0 0
2450264.164893 54957360.365015 10797718.815545 0 0
2450264.462985 55532206.176601 10853677.515352 0 0
2450264.778768 56206072.631259 10922522.575119 0 0
2450265.115961 64770147.761127 11563041.003829 0 0
2450265.462823 56919075.179730 11021041.295448 0 0
2450265.778897 56499639.322056 11019239.367407 0 0
2450266.117718 55870414.318818 11002312.815836 0 0
2450266.440609 60681012.120087 11383341.984807 0 0
2450266.757081 56824430.541837 11130021.937277 0 0
2450267.094098 56917645.060427 11168916.279894 0 0
2450267.308548 56465571.906127 11156314.995886 0 0
2450267.960709 57716900.588322 11321956.805158 0 0
2450268.317274 54503522.043586 11114263.912586 0 0
2450268.633399 54295051.993673 11134587.304887 0 0
2450268.969479 57376098.016809 11414153.771410 0 0
2450269.424985 53363065.087243 11149161.458230 0 0
2450269.741116 54200715.298172 11254611.248924 0 0
2450270.077199 53450557.008436 11234160.249705 0 0
2450270.416873 52216567.147954 11174854.625109 0 0
2450270.732970 56641590.268702 11586001.634830 0 0
2450271.069289 51292342.234127 11180000.432864 0 0
2450271.361273 50552733.896296 11154171.804006 0 0
2450271.460375 51013348.040489 11204364.347156 0 0
2450271.776471 50675173.808186 11217723.286573 0 0
2450272.419555 49873455.213191 11229890.722969 0 0
2450273.108598 51356673.564842 11453958.232072 0 0
2450273.130863 51724745.196567 11490336.916877 0 0
2450273.270519 51112028.302066 11454126.478821 0 0
2450273.586683 62862477.368935 12646858.312001 0 0
2450274.009831 50959915.103881 11546540.289590 0 0
2450274.359507 50568621.406647 11559811.122244 0 0
2450274.675619 52040625.056780 11750949.414911 0 0
2450275.359804 51197155.214075 11772537.797881 0 0
2450275.676850 50954806.857268 11799700.969125 0 0
2450276.013664 52598599.477615 12022643.228274 0 0
2450276.365978 51274505.950134 11941649.230703 0 0
2450276.682050 50719026.416383 11936617.330576 0 0
2450277.422717 49625028.137349 11938679.648267 0 0
2450277.738790 51658158.014981 12217139.100214 0 0
2450278.073858 49633946.449794 12047749.641560 0 0
2450278.461082 49098305.853799 12051358.509138 0 0
2450278.779277 48460517.486620 12033662.834426 0 0
2450279.114340 46699709.949927 11887821.613986 0 0
2450279.289838 47601963.920301 12018251.297314 0 0
2450279.375078 46955280.496283 11957704.921527 0 0
2450279.691177 47068677.161701 12023471.743086 0 0
2450280.026238 46255304.414915 11981969.968269 0 0
2450280.400729 46044552.741045 12016385.093528 0 0
2450280.716816 46176485.394831 12084942.346185 0 0
2450281.052790 46225704.756506 12145211.647290 0 0
2450281.333214 50297254.263508 12705280.882293 0 0
2450281.649380 46780960.957177 12315106.551253 0 0
2450282.196652 47068089.680067 12444990.509971 0 0
2450282.370642 46536479.091549 12405955.735811 0 0
2450282.385330 46398744.802019 12390608.975113 0 0
2450282.469750 45674461.888641 12311191.962371 0 0
2450282.785839 46727426.963213 12504453.994741 0 0
2450283.813869 44653194.194564 12404227.686058 0 0
2450284.075546 45368751.451808 12545607.251472 0 0
2450284.094466 45453570.586007 12560496.165378 0 0
2450284.543325 45197268.775050 12604202.418009 0 0
2450285.245256 44785555.631948 12666782.356119 0 0
2450285.427797 44561435.228148 12666054.987544 0 0
2450285.743893 44465034.600886 12708561.831519 0 0
2450286.078889 44709270.847350 12802367.463656 0 0
2450286.303094 44860891.197806 12864174.113674 0 0
2450286.385094 44397616.493189 12809598.822421 0 0
2450286.703765 44871115.846428 12938673.879042 0 0
2450287.033931 45325058.066331 13067174.829553 0 0
2450287.347990 46660387.022721 13333411.028978 0 0
2450287.496974 45355575.024726 13156297.385044 0 0
2450287.813529 45548686.860122 13246992.052400 1 0
2450288.356245 57917495.881995 16233089.512999 0 1
2450288.433909 53636762.619921 15806979.710259 0 0
2450288.750075 56733449.849228 16124321.490594 0 0
2450289.328266 46285830.245920 15165385.392983 0 0
2450289.335409 45946350.974211 15135426.673363 0 0
2450289.800068 39482828.408926 14624403.187143 0 0
2450290.274474 40762341.133932 14790846.144797 0 0
2450290.569613 43591677.107762 15095997.141032 0 0
2450291.142997 44389067.777310 15290889.367046 0 0
2450291.229677 44960898.142076 15367981.044203 0 0
2450291.437821 45032707.870868 15428086.177547 0 0
2450291.569603 46869506.319271 15656897.827001 0 0
2450292.124788 47991369.070178 15955622.648381 0 0
2450292.137135 47248691.862464 15877183.584372 0 0
2450292.172011 47414481.534141 15907622.025233 0 0
2450292.363792 47347043.106996 15967902.896138 0 0
2450292.447312 47981191.610571 16071245.144977 0 0
2450292.517006 51155826.470505 16476155.076983 0 0
2450292.551887 50588201.990080 16422484.069221 0 0
2450292.586747 49681496.158231 16328348.933300 0 0
2450292.621561 49464512.328852 16316635.298371 0 0
2450292.656379 49765190.570107 16366941.748779 0 0
2450292.691169 51215066.436455 16557613.906489 0 0
2450292.726018 50002609.877896 16424735.594682 0 0
2450292.760841 50928257.454011 16552775.045600 0 0
2450292.830553 51518388.837741 16656754.511616 0 0
2450292.900746 50518440.410093 16563752.234518 0 0
2450292.935581 51715010.738914 16729327.975587 0 0
2450292.970822 51506376.385202 16719273.541395 0 0
2450293.005658 50899324.234278 16658688.477418 0 0
2450293.040515 51893036.113626 16801017.699085 0 0
2450293.075410 51834690.486461 16810112.989745 0 0
2450293.110278 52295494.473421 16886150.855066 0 0
2450294.184517 45942055.236317 16568166.964222 0 0
2450294.377575 45626493.938039 16617946.636060 0 0
2450294.802903 45670791.137249 16839348.372335 0 0
2450295.127080 46990960.136625 17207693.704113 0 0
2450295.500885 49275980.030949 17786986.339886 0 0
2450295.817144 48329339.243669 17827264.667304 0 0
2450296.220113 47891646.552275 18005653.956222 0 0
2450297.416837 50521368.256795 19320689.069049 0 0
2450297.795147 52413562.419835 20000860.998245 0 0
2450298.393485 51708672.765666 20333905.605364 0 0
2450300.696130 56425235.136783 23599661.105703 1 0
