# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.567611 33516570.635769 6223.258093 0 0
2450191.289183 33532729.410114 6311.298062 0 0
2450194.255214 34794063.656320 6421.838657 0 0
2450195.207583 35503332.847782 6487.244464 0 0
2450196.159989 34820509.692616 6410.488461 0 0
2450196.437653 33903183.709367 6300.019453 0 0
2450198.349129 32706429.405087 6202.018930 0 0
2450198.520293 33101470.012901 6255.509462 0 0
2450198.833375 32417066.904616 6183.880177 0 0
2450198.937728 32149514.017816 6153.268911 0 0
2450199.042089 32333900.564625 6175.661188 0 0
2450199.219921 39514770.876284 6816.815223 0 0
2450199.345139 32049348.645568 6147.939247 0 0
2450199.670725 32222950.385671 6162.577787 0 0
2450200.576939 31957090.932504 6108.453065 0 0
2450201.068195 32080910.999795 6126.847907 0 0
2450201.333361 32482803.817992 6172.142467 0 0
2450201.451353 32529249.973861 6164.004161 0 0
2450201.693618 38187611.917376 6690.752227 0 0
2450201.935613 36057497.222046 6494.529720 0 0
2450202.177775 37225239.366919 6598.392775 0 0
2450202.316893 32316030.756707 6152.155637 0 0
2450202.447081 32408163.245415 6155.548789 0 0
2450202.689923 42003452.900157 7006.030610 0 0
2450202.932967 33480755.818010 6342.525143 0 0
2450203.176640 38749197.798211 6728.598460 0 0
2450203.346082 33021114.245866 6213.805977 0 0
2450203.601498 33830550.428586 6293.134744 0 0
2450203.971175 39932862.511391 6858.093061 0 0
2450204.340798 33439265.235554 6272.048578 0 0
2450204.562402 33303034.171687 6240.039509 0 0
2450204.932151 33944205.789157 6309.006735 0 0
2450205.292383 33333034.327694 6250.781611 0 0
2450205.595714 39592654.570040 6811.912764 0 0
2450205.957008 42996736.299604 7112.634953 0 0
2450206.509475 40657772.105746 6903.972144 0 0
2450206.871177 40550274.845614 6895.025264 0 0
2450207.234798 42072145.125056 7024.534431 0 0
2450207.375746 44588485.826147 7230.955397 0 0
2450207.553457 41308597.299065 6953.129565 0 0
2450207.915437 35831554.232644 6472.736706 0 0
2450208.393263 36240900.458019 6512.453226 0 0
2450208.567823 36552016.367964 6535.291349 0 0
2450208.875045 36596508.634371 6525.928512 0 0
2450209.184507 37360007.648789 6589.255198 0 0
2450209.335144 45899120.756317 7307.870667 0 0
2450209.510612 37881749.199114 6634.192593 0 0
2450209.817326 38920261.563503 6717.362612 0 0
2450210.126492 38845356.090147 6710.892012 0 0
2450210.604391 39842834.919648 6787.402658 0 0
2450210.846870 48446517.909972 7498.982463 0 0
2450211.089119 41286971.202241 6918.994409 0 0
2450211.332643 41283478.998501 6923.287724 0 0
2450211.418632 41581769.678888 6938.805835 0 0
2450211.558839 41505711.891410 6934.419580 0 0
2450211.805896 41406924.575605 6918.804988 0 0
2450212.049961 40713136.625082 6869.184548 0 0
2450212.292204 41096761.254620 6910.713981 0 0
2450212.656448 41487916.010982 6994.069121 0 0
2450212.899251 43886716.755282 7175.100051 0 0
2450213.142042 42562697.037963 7067.112419 0 0
2450213.740797 41331516.854291 6979.177312 0 0
2450213.983195 41300646.730386 6954.152647 0 0
2450214.357343 41271754.542197 7012.123735 0 0
2450214.733940 41756127.435893 6989.364457 0 0
2450214.976059 40536230.224811 6896.266739 0 0
2450215.542777 49252575.875541 7585.427742 0 0
2450215.787069 40378859.919079 6867.274654 0 0
2450216.031260 48180040.811856 7499.526304 0 0
2450216.411555 41578933.907627 6968.631585 0 0
2450216.654541 41420906.103532 6955.047213 0 0
2450216.897518 41137747.853721 6925.484334 0 0
