# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.179292 72034992.150794 15251125.997895 0 0
2450190.243848 72195452.921049 15285098.473336 0 0
2450190.445543 72166842.626089 15279041.139628 0 0
2450190.525995 102903536.213648 23745897.796106 0 0
2450191.431952 103169766.999826 23809094.830530 0 0
2450192.189057 110722233.606109 25560456.255668 0 0
2450194.343133 106287638.262811 24586663.586988 0 0
2450194.362289 106545642.809761 24646956.934309 0 0
2450195.187420 109930026.285929 25461180.833635 0 0
2450196.416830 104820431.574438 24332575.996524 0 0
2450197.165156 103605088.935752 24090027.337630 0 0
2450197.208503 102769442.016807 23898086.131058 0 0
2450198.040838 103104713.391928 24025489.815308 0 0
2450198.244789 102805175.068484 23968408.301981 0 0
2450198.415940 104300185.436143 24328053.846642 0 0
2450198.541171 102249560.026236 23858775.085394 0 0
2450199.240783 101705555.065863 23779206.488789 0 0
2450199.640089 100451365.058702 23515304.571734 0 0
2450199.968804 102668135.643594 24059126.142193 0 0
2450200.581005 101236963.525552 23772605.835493 0 0
2450200.829405 101323415.043504 23813220.179273 0 0
2450201.072195 104582771.925598 24600213.374942 0 0
2450201.352530 103396283.490697 24345647.298910 0 0
2450201.455334 102787044.330742 24211290.662946 0 0
2450201.697582 100608710.943395 23720364.867356 0 0
2450201.939605 100958481.237241 23824628.951156 0 0
2450202.181756 100217146.470838 23671780.768653 0 0
2450202.451129 113104090.300188 26744066.767488 0 0
2450202.693899 103027287.920597 24385978.589472 0 0
2450202.936979 101873302.207290 24136786.226778 0 0
2450203.581996 106664446.308298 25341667.670567 0 0
2450203.951666 100515669.646508 23919377.265602 0 0
2450204.321283 114350876.819359 27256695.025690 0 0
2450204.542921 108084686.376658 25789113.098694 0 0
2450204.912627 102235761.072099 24435421.425096 0 0
2450205.272875 105683764.665266 25302704.723988 0 0
2450205.611027 103781997.543970 24888924.624276 0 0
2450206.524807 123249305.208511 29694098.802504 0 0
2450206.886501 107977317.095029 26063410.374660 0 0
2450207.250137 101867658.998396 24635839.870263 0 0
2450207.568801 121325118.560547 29392577.620595 0 0
2450207.930771 102927377.014260 24984675.579108 0 0
2450208.560355 104028333.297498 25341415.481279 0 0
2450208.869912 107550893.746385 26245644.477339 0 0
2450209.179342 103686604.564125 25347759.597487 0 0
2450209.503152 105813754.824820 25917487.728663 0 0
