# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.518066 27813157.611034 221563.293199 0 0
2450191.375772 28032175.237031 222939.739114 0 0
2450194.269759 27888657.504857 221739.461954 0 0
2450195.309157 27942012.357935 222073.251455 0 0
2450196.174143 27643131.822825 219995.768412 0 0
2450196.458477 27529752.389459 219281.718257 0 0
2450197.181455 27378797.782421 218230.462099 0 0
2450198.119561 27331717.093627 217865.407058 0 0
2450198.307371 27887216.644573 221359.200177 0 0
2450198.457697 27260747.936575 217414.511058 0 0
2450199.104713 27398011.596795 218205.590229 0 0
2450199.282530 27117541.947431 216447.173201 0 0
2450199.655457 27037087.180020 215874.556488 0 0
2450199.984149 27191762.196561 216844.085073 0 0
2450200.647513 27563317.686505 219106.511308 0 0
2450200.895822 27008582.575732 215630.252559 0 0
2450201.521834 27341393.598941 217645.586014 0 0
2450201.763889 27168213.294507 216561.126233 0 0
2450202.005902 27085361.613827 216042.758172 0 0
2450202.248108 27083165.182515 216029.092463 0 0
2450202.517573 27676293.776310 219679.953693 0 0
2450202.760403 27236693.478012 216920.421350 0 0
2450203.004049 28765149.505755 226544.843360 0 0
2450203.247173 27245624.754838 216976.446814 0 0
2450203.632106 27497294.355680 218493.486659 0 0
2450204.001798 27485075.838728 218415.263991 0 0
2450204.371411 27436396.607512 218110.042076 0 0
2450204.389907 27463073.390597 218277.343700 0 0
2450204.593020 27610647.247958 219202.751675 0 0
2450204.962764 27695894.214030 219738.457897 0 0
2450205.323003 28049397.988459 221961.745484 0 0
2450205.641655 27749173.544921 220006.236151 0 0
2450206.002929 29998418.548646 234245.714183 0 0
2450206.555423 29434456.937441 230585.984457 0 0
2450207.280855 27844643.314031 220540.451380 0 0
2450207.405861 27749853.847896 219945.054859 0 0
2450207.599468 27822406.670468 220335.905605 0 0
2450207.961413 27937654.784360 221060.443885 0 0
2450208.524812 28469990.006745 224347.807069 0 0
2450208.832048 28385740.175488 223816.745347 0 0
2450209.141505 28528849.060294 224727.335088 0 0
2450209.467639 28701161.589976 225815.369452 0 0
2450209.774369 29147005.343434 228577.403680 0 0
2450210.083523 29645391.764047 231733.375752 0 0
2450210.511085 29340558.910740 229732.789044 0 0
2450210.674854 30442799.245178 236747.066050 0 0
2450210.917141 29673769.437755 231849.464469 0 0
2450211.159512 29943528.504362 233564.884552 0 0
2450211.403548 29904545.130387 233319.116826 0 0
2450211.629113 29879758.102883 233095.562952 0 0
2450211.878233 29900337.975095 233226.427202 0 0
2450212.120248 30149859.310911 234815.309256 0 0
2450212.726943 30288432.345507 235635.639964 0 0
2450212.969736 30050300.102602 234118.485806 0 0
2450213.212536 30384355.771810 236255.356664 0 0
2450213.415047 30458801.113785 236722.748100 0 0
2450213.568810 30973670.140698 239949.530382 0 0
2450213.811127 30536723.027008 237157.547427 0 0
2450214.053530 30461117.260001 236672.743962 0 0
2450214.562209 31194692.244569 241300.522384 0 0
2450214.804340 31820880.793743 245321.624740 0 0
2450215.046349 29880374.248670 232915.937699 0 0
2450215.288430 30155558.938473 234666.146352 0 0
2450215.450474 31102464.227843 240710.597057 0 0
2450215.613314 30394371.982697 236129.303779 0 0
2450215.857625 30062407.139749 234017.628569 0 0
2450216.101774 30206685.223809 234936.649093 0 0
2450216.317580 30069116.004258 234061.287666 0 0
2450216.482079 29765890.820370 232134.550780 0 0
2450216.725074 30101347.026618 234210.468511 0 0
2450217.211929 29482316.901224 230281.392296 0 0
2450217.377755 28483281.929360 223924.202787 0 0
2450217.407243 29305527.823864 229162.113148 0 0
2450217.572524 29716302.446217 231711.124301 0 0
2450217.815066 29573291.794425 230802.703913 0 0
2450218.058904 29537230.605425 230574.117927 0 0
2450218.302880 29278372.370707 228935.495068 0 0
2450218.451464 29347259.646265 229371.991087 0 0
2450218.678587 29188309.150254 228315.615874 0 0
2450219.370539 29012874.526796 227211.566192 0 0
2450219.558401 28862161.614769 226210.904789 0 0
2450220.313835 29664956.369691 231286.707532 0 0
2450220.502419 28558130.420317 224259.105125 0 0
2450221.395427 28413171.301938 223348.484261 0 0
2450221.580770 28771814.214861 225555.572845 0 0
2450221.794922 28548566.011736 224150.139677 0 0
2450222.009394 28632274.973753 224677.047643 0 0
2450222.334618 27947694.921423 220378.814246 0 0
2450223.423158 27404128.440022 216952.802005 0 0
2450224.253069 27299666.498641 216269.108296 0 0
2450225.516759 27682823.599078 218610.379858 0 0
2450225.683761 26891886.564286 213685.976893 0 0
2450226.637992 27885705.864286 219844.311208 0 0
2450226.889562 27101605.565512 214975.612522 1 0
2450229.349408 28178983.108266 221624.219658 0 1
2450229.579518 28033613.844992 220691.739411 0 0
2450230.234315 32906017.229729 251649.306675 0 0
2450230.318847 29330715.755700 228811.970776 0 0
2450230.415105 28319651.023620 222486.717212 0 0
2450230.611350 28326419.000176 222505.772020 0 0
2450231.299934 27123561.280344 215001.678698 0 0
2450231.496140 26793753.230232 212956.841538 0 0
2450232.507763 26499339.864622 211097.672886 0 0
2450233.304541 26080039.085318 208513.426634 0 0
2450233.510724 26624490.822036 211886.251358 0 0
2450234.303012 26042598.516376 208298.589983 0 0
2450235.308345 26263612.465109 209648.568627 0 0
2450236.600022 26878733.392623 213428.633516 0 0
2450237.285068 26749836.824969 212633.599635 0 0
2450238.237944 27632529.339315 218097.782167 0 0
2450238.433180 26957980.335431 213904.404716 0 0
