# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.567611 46229941.358279 10714528.618604 0 0
2450191.289183 46259918.365622 10721962.263019 0 0
2450194.255214 47847319.213514 11110219.164387 0 0
2450195.207583 48774446.559383 11339616.524192 0 0
2450196.159989 47786520.990273 11127302.591287 0 0
2450198.349129 44801228.391907 10482348.829852 0 0
2450198.520293 45317210.275332 10606869.669243 0 0
2450198.833375 44374420.209231 10395187.791855 0 0
2450198.937728 44004436.303387 10311560.641624 0 0
2450199.042089 44255307.166740 10373448.212595 0 0
2450199.219921 54063368.204303 12679019.294545 0 0
2450199.345139 43862382.881691 10290484.067611 0 0
2450199.670725 44075185.225473 10349591.475718 0 0
2450199.999411 56621370.491386 13309370.087943 0 0
2450200.576939 43657491.242508 10280558.624197 0 0
2450201.068195 43815012.058379 10335169.100059 0 0
2450201.333361 44358607.690135 10473306.429983 0 0
2450201.451353 44416394.844504 10491443.529055 0 0
2450201.693618 52109517.046909 12318409.437388 0 0
2450201.935613 49193167.992578 11639589.331782 0 0
2450202.177775 50777246.211472 12025559.880242 0 0
2450202.316893 44085004.978096 10446294.324173 0 0
2450202.447081 44207103.069089 10480591.580511 0 0
2450202.689923 57244324.341406 13583303.884587 0 0
2450202.932967 45677151.338644 10849277.922527 0 0
2450203.176640 52800201.512567 12553791.012033 0 0
2450203.346082 45013802.828778 10710106.024391 0 0
2450203.601498 46075495.413217 10973613.504167 0 0
2450203.971175 54364579.748586 12968622.772403 0 0
2450204.340798 45527121.878079 10878354.027873 0 0
2450204.562402 45334831.051075 10843302.180841 0 0
2450204.932151 46201515.456156 11069500.355043 0 0
2450205.292383 45356224.688893 10885483.705757 0 0
2450205.595714 53830424.292488 12936997.798824 0 0
2450205.957008 58442410.297915 14070310.296074 0 0
2450206.509475 55226606.575006 13331898.621137 0 0
2450206.871177 55068189.603381 13318445.475272 0 0
2450207.234798 57135797.439854 13844883.617081 0 0
2450207.375746 60530757.824967 14678516.064302 0 0
2450207.553457 56051396.649103 13604039.017750 0 0
2450207.915437 48617314.319141 11822911.051135 0 0
2450208.393263 49160431.309812 11986587.548846 0 0
2450208.567823 49571010.534196 12097510.262652 0 0
2450208.875045 49622344.114122 12131129.927077 0 0
2450209.184507 50645228.734310 12403199.701267 0 0
2450209.335144 62200279.386124 15246371.486539 0 0
2450209.510612 51321224.275786 12591575.219251 0 0
2450209.817326 52718134.437100 12957687.509764 0 0
