# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.567611 33664026.674484 180598.427891 0 0
2450191.289183 33699038.794811 180737.643006 0 0
2450194.255214 34872337.133687 184774.965082 0 0
2450195.207583 35553093.950369 187207.959872 0 0
2450196.159989 34837922.559161 184475.659768 0 0
2450196.437653 33896330.532007 181009.679222 0 0
2450198.349129 32675988.180187 176423.397269 0 0
2450198.520293 33042978.301293 177615.987381 0 0
2450198.833375 32361075.537812 175155.670145 0 0
2450198.937728 32093009.624197 174177.070117 0 0
2450199.042089 32277777.352712 174840.510262 0 0
2450199.219921 39435183.017084 201387.641431 0 0
2450199.345139 31996436.404333 173831.361629 0 0
2450199.670725 32145539.441122 174286.313624 0 0
2450199.999411 41303221.981661 208444.451485 0 0
2450200.576939 31844899.079142 173121.223807 0 0
2450201.068195 31968243.339697 173565.584293 0 0
2450201.333361 32369438.929950 175001.221394 0 0
2450201.451353 32413650.243086 175159.015253 0 0
2450201.693618 38019202.374101 195738.475690 0 0
2450201.935613 35896108.984958 187799.597388 0 0
2450202.177775 37056822.471293 192123.664773 0 0
2450202.316893 32175260.379433 174224.340826 0 0
2450202.447081 32266694.648218 174552.372301 0 0
2450202.689923 41773101.843598 209961.640525 0 0
2450202.932967 33336423.988449 178342.185852 0 0
2450203.176640 38540165.362684 197615.041247 0 0
2450203.346082 32859137.487791 176563.565356 0 0
2450203.601498 33627464.257996 179262.150825 0 0
2450203.971175 39684959.398692 201828.375386 0 0
2450204.340798 33240332.276891 177858.243977 0 0
2450204.562402 33103841.341392 177363.435603 0 0
2450204.932151 33743523.093438 179682.917021 0 0
2450205.292383 33132509.599607 177466.077438 0 0
2450205.595714 39315701.884991 200332.996939 0 0
2450205.957008 42692462.029695 213285.623453 0 0
2450206.509475 40341413.873782 204160.530142 0 0
2450206.871177 40233622.648274 203748.826490 0 0
2450207.234798 41752038.632498 209573.701622 0 0
2450207.375746 44236648.464558 219202.107664 0 0
2450207.553457 40953072.956004 206412.414959 0 0
2450207.915437 35528337.077906 185994.938972 0 0
2450208.393263 35934498.595475 187496.904823 0 0
2450208.567823 36225927.069849 188497.833525 0 0
2450208.875045 36269428.177254 188658.818710 0 0
2450209.184507 37023413.679598 191442.729857 0 0
2450209.335144 45474158.694977 223830.700687 0 0
2450209.510612 37511870.912253 193187.499095 0 0
2450209.817326 38539262.996703 197047.022465 0 0
2450210.126492 38464927.810394 196767.054281 0 0
2450210.604391 39418092.729669 200287.321970 0 0
2450210.846870 47923534.532580 233285.636227 0 0
2450211.089119 40847725.710210 205732.106802 0 0
2450211.332643 40849197.069126 205738.178567 0 0
2450211.418632 41142650.119673 206861.187641 0 0
2450211.558839 41044537.810111 206403.047624 0 0
2450211.805896 40935861.608510 205985.573070 0 0
2450212.049961 40252355.496801 203377.526916 0 0
2450212.292204 40636266.779638 204843.200266 0 0
2450212.656448 41013848.683606 206212.146370 0 0
2450212.899251 43377264.019731 215308.657786 0 0
2450213.142042 42068699.698659 210256.270127 0 0
2450213.498353 52227868.960272 250253.233997 0 0
2450213.740797 40828859.026091 205426.284990 0 0
2450213.983195 40796002.985867 205274.473842 0 0
2450214.357343 40782645.279710 205228.678318 0 0
2450214.733940 41218144.749552 206811.468314 0 0
2450214.976059 40018240.265321 202237.690562 0 0
2450215.218107 53398798.889586 254743.503148 0 0
2450215.542777 48574278.282462 235393.653714 0 0
