# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.228552 1864892.286405 1542.238903 0 0
2450190.437762 1883205.754252 1544.214763 0 0
2450199.624815 2201222.457527 191114.104551 1 0
2450229.584587 1965637.660414 181606.972303 0 1
2450230.616413 2016522.085911 186592.311749 0 0
2450231.501208 1962986.090322 182465.488555 0 0
2450232.512828 1909435.380482 179039.688556 0 0
2450233.310861 1921432.030979 181862.003251 0 0
2450233.515804 1932439.909325 183406.707529 0 0
2450234.510055 2017852.119700 194440.537163 0 0
2450236.605078 2396748.674470 240570.959184 0 0
2450237.486227 2373196.165250 243055.093727 0 0
2450238.437262 2580462.755363 270521.560293 0 0
2450239.541179 2600014.359992 280531.022312 0 0
2450241.445346 2823849.707312 321209.134895 0 0
2450242.343074 3012536.784225 351652.872785 0 0
2450242.349190 3006787.005164 351044.211903 0 0
2450242.628790 3010682.399221 354373.762422 0 0
2450243.530751 2847226.988435 344130.700965 0 0
2450245.579265 2822287.043069 362502.656049 0 0
2450246.573789 2610195.789319 345320.235688 0 0
2450248.546451 2598937.079137 364432.847428 0 0
2450249.484727 2504901.255755 360978.964020 0 0
2450250.545739 2403652.356415 357133.105329 0 0
2450251.503907 2360900.943130 360460.931030 0 0
2450252.308926 2345397.680228 366270.596171 0 0
2450252.492536 2330029.904305 365735.119821 0 0
2450253.396022 2265652.249247 364606.599351 0 0
2450253.580692 2306330.685552 373031.670911 0 0
2450254.503419 2328895.613528 386215.101264 0 0
2450255.523872 2452400.748091 417899.765468 0 0
2450256.351376 2444521.796694 425682.525607 0 0
2450256.562648 2466534.753147 431875.921781 0 0
2450257.341357 2529933.030303 451930.523479 0 0
2450257.526541 2495767.220352 447934.779812 1 0
2450259.622919 3070991.380612 277942.155764 0 1
2450260.585762 3162609.969595 286811.710861 0 0
2450261.513895 3216334.333070 293211.095498 0 0
2450262.160511 3275549.937275 300251.753979 0 0
2450262.179528 3276421.113732 300386.800124 0 0
2450262.201926 3282569.027133 301016.045814 0 0
2450262.253459 3286423.278689 301524.209717 0 0
2450262.303064 3325556.988140 305264.737218 0 0
2450262.418020 3316624.988675 304806.265438 0 0
2450262.444837 3343173.417439 307333.128532 0 0
2450262.548190 3287743.352367 302574.607062 0 0
2450262.599730 3268645.754189 300988.436924 0 0
2450262.650172 3287599.557354 302905.234078 0 0
2450262.701756 3264206.956931 300926.795184 0 0
2450262.753068 3272185.133530 301841.365882 0 0
2450262.804581 3283533.240735 303071.328570 0 0
2450262.854546 3276761.694436 302626.315489 0 0
2450262.904697 3299841.048157 304942.529693 0 0
2450262.956427 3299316.261805 305087.029965 0 0
2450263.612024 3256885.424301 303819.150307 0 0
2450264.563522 3308654.744131 313344.587951 0 0
2450265.362082 3365751.868647 323457.799643 0 0
2450265.563609 3342402.499660 322489.412497 0 0
2450266.541301 3325593.770274 327549.880255 0 0
2450267.409073 3311669.829728 332778.416665 0 0
2450268.418056 3152001.627415 324766.679269 0 0
2450270.517657 3001362.482561 327315.790971 0 0
2450271.561156 2979000.993626 334745.901772 0 0
