# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.179292 72080938.606502 69871.087692 0 0
2450190.243848 72241543.125671 69873.163465 0 0
2450190.445543 72213009.682485 69877.984894 0 0
2450190.525995 105695699.140515 10069343.212688 0 0
2450191.431952 105968580.543573 10099988.404025 0 0
2450192.189057 113735032.369348 10859874.349308 0 0
2450194.343133 109196542.660198 10554221.976804 0 0
2450194.362289 109461584.950711 10581452.494244 0 0
2450195.187420 112947734.072406 10998392.767443 0 0
2450196.416830 107706067.864316 10629091.169168 0 0
2450197.165156 106465793.392486 10606885.435584 0 0
2450197.208503 105607060.333678 10527446.553089 0 0
2450198.040838 105960067.616696 10687259.878344 0 0
2450198.244789 105652043.741785 10688677.501561 0 0
2450198.415940 107188284.980471 10872335.125982 0 0
2450198.541171 105089773.346474 10680138.903484 0 0
2450199.240783 104531417.258906 10743238.121416 0 0
2450199.640089 103250408.819996 10683023.284200 0 0
2450199.968804 105529094.622706 10980936.762761 0 0
2450200.581005 104065894.208108 10947769.191863 0 0
2450200.829405 104154832.448740 11007235.545086 0 0
2450201.072195 107504880.342614 11412762.595271 0 0
2450201.352530 106285043.688703 11343316.791432 0 0
2450201.455334 105658494.395899 11298656.929959 0 0
2450201.697582 103427693.426312 11111989.585182 0 0
2450201.939605 103787046.381248 11203461.628599 0 0
2450202.181756 103024740.360986 11174569.817903 0 0
2450202.451129 116272617.633844 12679439.488221 0 0
2450202.693899 105922062.297046 11607753.058174 0 0
2450202.936979 104735501.415460 11534909.546013 0 0
2450203.581996 109669555.568762 12241301.448608 0 0
2450203.951666 103347334.236296 11626315.668466 0 0
2450204.321283 117571559.625293 13331367.864532 0 0
2450204.542921 111128683.108080 12661365.400328 0 0
2450204.912627 105114925.610404 12073074.789743 0 0
2450205.272875 108659788.864740 12579357.444553 0 0
2450205.611027 106712695.425007 12446868.319455 0 0
2450206.524807 126738733.244225 15088598.379561 0 0
2450206.886501 111034469.306517 13328058.439912 0 0
2450207.250137 104751615.128176 12678707.101244 0 0
2450207.568801 124769053.086150 15211924.078777 0 0
2450207.930771 105848894.863166 13013303.975173 0 0
2450208.560355 106988838.899234 13346313.750348 0 0
2450208.869912 110611486.509025 13897686.378624 0 0
2450209.179342 106635598.157208 13494996.754349 0 0
2450209.503152 108831263.971804 13877187.697823 0 0
2450209.812197 111083005.624814 14266854.228018 0 0
2450210.121353 109118794.757815 14116264.496292 0 0
2450210.608362 111864846.270662 14637382.587115 0 0
